"rownum","Id","rid","i32","GamepadIcon"
0,"BestiaryOpenBookUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadBestiaryBook"
1,"IncursionOpenTempleMap",13,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadIncursionMap"
2,"DelveThrowDynamite",13,0,""
3,"DelveThrowFlare",12,0,""
4,"DelveOpenUpgradeUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadDelveUpgrade"
5,"DelveOpenMapUI",1,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadDelveMap"
6,"BetrayalOpenTraitorsUI","",0,""
7,"SynthesisOpenMapUI","",0,""
8,"DeliriumSkipEncounter",13,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadEndDelirium"
9,"HeistActivateNearbyJob",10,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadHeistNPCJob"
10,"HeistOpenNPCsUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadHeistNPCInventory"
11,"RitualOpenRewardsUI",2,0,""
12,"UltimatumToggleWorldDescriptionVisibility","",0,""
13,"ExpeditionToggleExplosivePlacement",1,90,""
14,"ScourgeUseBloodCrucible",10,100,""
15,"BlightSkipDelay",3,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadSkipBlight"
16,"ArchnemesisOpenInventoryUI",12,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadArchnemesisInventory"
17,"SentinelUseDrone1","",0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/DroneSummons"
18,"SentinelUseDrone2","",0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/DroneSummons"
19,"SentinelUseDrone3","",0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/DroneSummons"
20,"SentinelOpenPanel","",0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/OpenControllerPanel"
21,"SentinelOpenQuickMenu",11,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/ShowSentinelSkillWheel"
22,"LakeOpenMap",1,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadKalandraMap"
23,"SanctumOpenMap",11,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadSanctumBook"
24,"AncestralOpenPanels",12,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/AncestralOpenRoster"
25,"AncestralActivateFieldItem",10,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/AncestralActivateFieldItem"
26,"MicrotransactionMarakethSlaveDriverMapDeviceKillBoardDisplayToggle",0,0,"Art/2DArt/UIImages/InGame/MTX/MapDeviceLeaderboard/MapKillLeaderboardIconDefault"
