"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[5929,5892,5907,1,1]","[5929,5929,1,1]","[5929,5892,5907,1,1]","[5929,5929,1,1]","[5929,5892,5907,1,1]","[5929,5929,1,1]","[5929,5892,5907,1,1]","[5929,5929,1,1]","[5929,5892,5907,1,1]","[5929,5929,1,1]","[5929,5892,5907,1,1]","[5929,5929,1,1]",1319,"[5929,5892,5907,1,1]","[5929,5929,1,1]"
1,"Descent2","[6269,6404,6,5456,6439]","[6269,6404,10,11,11,5455,6439]","[6269,6404,6,5456,6439]","[6269,6404,10,11,11,5455,6439]","[6152,6268,6154,6,5456,6416]","[6152,6268,6154,10,11,11,5455,6416]","[6266,6,5456,6427,6422]","[6266,10,11,11,5455,6427,6422]","[6275,6,5456,6427,6422]","[6275,10,11,11,5455,6427,6422]","[6404,6275,6269,6,5456,6422,6439]","[6404,6275,6269,10,11,11,5455,6422,6439]",1320,"[6269,6275,6404,6,5456,6439,6422]","[6269,6275,6404,10,11,11,5455,6422,6439]"
2,"Descent3","[10,15,10,15,5893,5908,5402,5403,5404,5359,5359,5333,5170,5170,5471]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5360,5361,5333,5170,5170,5471]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5359,5117,5087,5308,5283]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5360,5361,5117,5087,5308,5283]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5359,5117,5117,5226,5947]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5360,5361,5117,5117,5226,5947]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5359,5028,5028,5002,5002]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5360,5361,5028,5028,5002,5002]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5359,5002,5002,5198,5198]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5360,5361,5002,5002,5198,5198]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5359,5198,5198,5255]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5360,5361,5198,5198,5255]",1321,"[10,15,10,15,5893,5908,5402,5403,5404,5359,5359,5198,5198,5308,5087,5087]","[10,15,10,15,5893,5908,5402,5403,5404,5359,5360,5361,5198,5198,5308,5087,5087]"
3,"Descent4","[5401,10,14,1,1,1,6293,6157]","[6,6,6293,6157]","[5401,10,14,1,1,1,6293,6157]","[6,6,6293,6157]","[5401,10,14,1,1,1,6160,6163,6157]","[6,6,6163,6160,6157]","[5401,10,14,1,1,1,6160,6166,6163,6302,6431]","[6,6,6160,6163,6166,6302,6431]","[5401,10,14,1,1,1,6166,6160,6163,6431]","[6,6,6163,6166,6160,6431]","[5401,10,14,1,1,1,6166,6157,6293]","[6,6,6157,6166,6293]",1322,"[5401,10,14,1,1,1,6163,6166,6157]","[6,6,6157,6166,6163]"
4,"Descent5","[6131,0,0,0,0,6,2]","[6131,0,0,0,0,10,11,11,11,11,15,15]","[6131,0,0,0,0,6,2,6145]","[6131,0,0,0,0,10,11,11,11,11,15,15,6145]","[6388,6145,0,0,0,0,6,2]","[6388,6145,0,0,0,0,10,11,11,11,11,15,15]","[6214,0,0,0,0,6,2,6402,6253]","[6402,0,0,0,0,10,11,11,11,11,15,15,6214,6253]","[6214,6402,0,0,0,0,6,2,6253]","[6214,6402,0,0,0,0,10,11,11,11,11,15,15,6253]","[6402,0,0,0,0,6,2,6214,6398,6131]","[6131,6398,0,0,0,0,10,11,11,11,11,15,15,6402,6214]",1323,"[6402,0,0,0,0,6,2,6131,6214]","[6131,0,0,0,0,10,11,11,11,11,15,15,6214,6402]"
5,"Descent6","[5364,6134,5894,5909,6,6,6436]","[5364,5894,5909,6134,11,11,11,11,15,15,6436]","[5364,6134,5894,5909,6299,6,6,6436]","[5364,6299,5894,5909,6134,11,11,11,11,15,15,6436]","[5364,6222,6299,5894,5909,6239,6,6]","[5364,6299,6239,5894,5909,6222,11,11,11,11,15,15]","[5364,6304,5894,5909,6322,6330,6,6,6430,6418]","[5364,5894,5909,6322,6330,6304,11,11,11,11,15,15,6430,6418]","[5364,6240,5894,5909,6330,6233,6130,6,6,6430,6418]","[5364,6130,5894,5909,6233,6330,6240,11,11,11,11,15,15,6430,6418]","[5364,6233,5894,5909,6130,6134,6295,6,6,6436]","[5364,5894,5909,6134,6130,6233,6295,11,11,11,11,15,15,6436]",1324,"[5364,5894,5909,6233,6134,6,6,6436]","[5364,5894,5909,6233,6134,11,11,11,11,15,15,6436]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5172,5172,5472,5334]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5172,5172,5472,5334]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5284,5309,5119,5088]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5284,5309,5119,5088]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5228,5119,5119,5947]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,5228,5119,5119,5947]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5003,5003,5030,5030]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5003,5003,5030,5030]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5003,5003,5200,5200]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5003,5003,5200,5200]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5200,5200,5256]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5200,5200,5256]",1325,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5200,5200,5088,5088,5309]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5200,5200,5088,5088,5309]"
7,"Descent8","[6377,6139,6273,5363,5365,5408,5409,5407,2,6,11]","[6377,6139,6273,5363,5365,5408,5409,5407,12,12,10,10,10,11]","[6377,6139,6273,5363,5365,5408,5409,5407,2,6,11]","[6377,6139,6273,5363,5365,12,12,10,10,10,11,5408,5409,5407]","[6377,6378,6146,6273,5363,5365,5408,5409,5407,2,6,11]","[6377,6378,6146,6273,5363,5365,12,12,10,10,10,11,5408,5409,5407]","[6379,6378,6273,5363,5365,5408,5409,5407,2,6,11]","[6379,6378,6273,5363,5365,12,12,10,10,10,11,5408,5409,5407]","[6379,6378,5363,5365,5408,5409,5407,2,6,11]","[6379,6378,5363,5365,12,12,10,10,10,11,5408,5409,5407]","[6377,6379,6139,5363,5365,5408,5409,5407,2,6,11]","[6377,6379,6139,5363,5365,12,12,10,10,10,11,5408,5409,5407]",1326,"[6378,6379,6377,5363,5365,5408,5409,5407,2,6,11]","[6378,6379,6377,5363,5365,12,12,10,10,10,11,5408,5409,5407]"
8,"Descent9","[4,4,4,6,6,5457,5648,5824,5570,5753,6200,5895,5910,6158,6230,4]","[5455,0,0,0,6,6,5335,5173,5473,6158,6230,5895,5910,6200,5173,0]","[4,4,4,6,6,5457,5700,5860,5601,5790,6200,5895,5910,6158,6230,4]","[5455,0,0,0,6,6,5310,5120,6230,6158,5895,5910,6200,5285,5090,0]","[4,4,4,6,6,5457,5666,5836,5581,5766,6328,5895,5910,6158,6230,6200,4]","[5455,0,0,0,6,6,5229,5947,6230,6158,5895,5910,5120,5120,6328,6200,0]","[4,4,4,6,6,5457,5734,5876,5628,5806,6223,5895,5910,6203,6410,4]","[5455,0,0,0,6,6,5456,5031,5031,6203,6410,5895,5910,6223,5004,5004,0]","[4,4,4,6,6,5457,5683,5848,5591,5778,6203,5895,5910,6223,4]","[5455,0,0,0,6,6,5456,6223,5895,5910,6203,5004,5004,5201,5201,0]","[4,4,4,6,6,5457,5717,5868,5614,5798,6203,6200,5895,5910,6158,6223,6230,4]","[5455,0,0,0,6,6,5456,5201,5201,6223,6230,5895,5910,6158,6200,6203,5257,0]",1327,"[4,4,4,6,6,5457,5700,5860,5601,5790,6203,6200,5895,5910,6223,6158,6230,4]","[5455,0,0,0,6,6,5310,6223,6158,5895,5910,6203,6230,6200,5201,5201,5090,5090,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1328,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
