"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1344,1,"","",112,108,52,"",""
1,326,"[341,325]",1345,2,"","",606,110,52,"",""
2,339,"[24,226,338]",1341,3,"",242,1323,11,52,1,""
3,334,"[329,332]",1346,4,"","",68,111,52,"",76
4,337,[335],1347,5,"","",592,118,52,"",87
5,393,"[391,392]",1348,13,"","",372,122,52,"",""
6,408,[406],1350,15,"","",353,106,52,"",15
7,507,[507],1351,21,"","",1092,"",52,1,""
8,516,[508],1352,22,"","",1093,"",52,1,""
9,517,[509],1353,23,"","",1094,"",52,1,""
10,518,[510],1354,24,"","",1095,"",52,1,""
11,526,"[524,525]",1355,26,"","",1155,"",41,1,""
12,528,"[189,295,310,311]",1356,0,"","",1163,73,52,1,""
