"rownum","IntId","StringId","[i32]","[f32]","[rid]","i32","i32","bool"
0,0,"Default","[25,30,35,40]","[0,0.2,0.2,0.2]","[2029,2030,2031,2032]",3,0,""
1,1,"Powerball1","[20,26,32]","[0,0.5,0.5]","[2881,2882,2883]",4,0,""
2,2,"Powerball2","[20,26,32,38]","[0,0.33,0.33,0.33]","[2881,2882,2883,2884]",4,0,""
3,3,"Powerball3","[20,26,32,38,44]","[0,0.25,0.25,0.25,0.25]","[2881,2882,2883,2884,2885]",4,0,""
4,4,"Powerball4","[20,26,32,38,44,50]","[0,0.2,0.2,0.2,0.2,0.2]","[2881,2882,2883,2884,2885,2886]",4,0,""
5,5,"Powerball5","[20,26,32,38,44,50,56]","[0,0.17,0.17,0.17,0.17,0.16,0.16]","[2881,2882,2883,2884,2885,2886,2887]",4,0,""
6,6,"Powerball6","[20,26,32,38,44,50,56,62]","[0,0.14,0.14,0.14,0.14,0.14,0.15,0.15]","[2881,2882,2883,2884,2885,2886,2887,2888]",4,0,""
7,7,"Powerball7","[20,26,32,38,44,50,56,62,68]","[0,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13]","[2881,2882,2883,2884,2885,2886,2887,2888,2889]",4,0,""
8,8,"Powerball8","[20,26,32,38,44,50,56,62,68,74]","[0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11]","[2881,2882,2883,2884,2885,2886,2887,2888,2889,2890]",4,0,""
9,9,"ViperNaputzi","[40,33,26,19,0]","[0,0.6,0.6,3]","[3149,3150,3151,3152]",4,0,1
10,10,"MetamorphShockNova","[10,15,20,25,30,35,40]","[0,0.2,0.2,0.2,0.2,0.2]","[3193,3193,3193,3193,3193,3193]",2,0,1
11,11,"AfflictionExplosion1","[9,18,28]","[0,0.25,0.25]","[3787,3788,3789]",4,0,""
12,12,"AfflictionExplosion2","[9,18,28,37]","[0,0.25,0.25,0.25]","[3787,3788,3789,3790]",4,0,""
13,13,"AfflictionExplosion3","[9,18,28,37,46]","[0,0.25,0.25,0.25,0.25]","[3787,3788,3789,3790,3791]",4,0,""
14,14,"AfflictionExplosion4","[9,18,28,37,46,55]","[0,0.25,0.25,0.25,0.25,0.25]","[3787,3788,3789,3790,3791,3792]",4,0,""
15,15,"AfflictionExplosion5","[9,18,28,37,46,55,64]","[0,0.25,0.25,0.25,0.25,0.25,0.25]","[3787,3788,3789,3790,3791,3792,3793]",4,0,""
16,16,"AfflictionExplosion6","[9,18,28,37,46,55,64,74]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3787,3788,3789,3790,3791,3792,3793,3794]",4,0,""
17,17,"AfflictionExplosion7","[9,18,28,37,46,55,64,74,83]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3787,3788,3789,3790,3791,3792,3793,3794,3795]",4,0,""
18,18,"AfflictionExplosion8","[9,18,28,37,46,55,64,74,83,92]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3787,3788,3789,3790,3791,3792,3793,3794,3795,3796]",4,0,""
