"rownum","IncursionRoomsKey","IncursionChestsKeys","ChestMarkerMetadata","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,27,"[0,2,5,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,1,0,178,0,2,2,1,1
1,49,"[1,2,3,5,8,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,2,0,290,0,4,4,2,2
2,71,"[2,3,4,5,6,7,8,9,11,12]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,3,0,482,0,7,7,3,3
3,26,"[50,54,55]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,1,0,676,0,1,1,1,1
4,48,"[50,51,54,55]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,2,0,756,0,2,2,2,2
5,70,"[50,51,52,53,54,55]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,3,0,884,0,3,3,3,3
6,28,"[29,30,35,40,41]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,1,0,1118,0,3,3,1,1
7,50,"[29,30,31,33,34,35,36,38,39,40,41]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,2,0,1310,0,5,5,2,2
8,72,"[29,30,31,32,33,34,35,36,37,38,39,40,41]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,3,0,1550,0,8,8,3,3
9,22,"[56,59,64,67,68]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,1,0,1780,0,2,2,2,2
10,44,"[56,58,59,60,62,63,64,65,67,68]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,2,0,1956,0,4,4,3,3
11,66,"[56,57,58,59,60,61,62,63,64,65,66,67,68]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,3,0,2196,0,6,6,4,4
12,23,"[69,71,73,78,81]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,1,0,2426,0,2,2,2,2
13,45,"[69,71,72,73,74,76,77,78,79,81]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,2,0,2602,0,4,4,3,3
14,67,"[69,70,71,72,73,74,75,76,77,78,79,80,81]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,3,0,2842,0,6,6,4,4
15,17,"[42,46,47,49]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,1,0,3052,0,1,1,1,1
16,39,"[42,43,45,46,47,49]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,2,0,3164,0,2,2,2,2
17,61,"[42,43,44,45,46,47,48,49]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,3,0,3324,0,3,3,3,3
18,19,"[15,18,20,23,24,25,26,27,28]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,1,0,3618,0,3,3,2,2
19,41,"[14,16,18,20,23,24,25,26,27,28]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,2,0,3794,0,5,5,3,3
20,63,"[13,16,17,18,19,20,21,22,23,24,25,26,27,28]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,4,0,4050,0,8,8,4,4
21,92,"[82,83,84,85,86,87,88,89,90]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,4366,0,2,2,1,1
22,93,"[85,86,87,88,89,90,91,92]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,4718,0,4,4,2,2
23,94,"[89,90,91,92,93,94,95,96,97,98,99,100,101,102]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,5166,0,6,6,3,3
24,76,[103],"Metadata/Chests/IncursionChests/BossMinionChestMarker",681934949,1,0,5516,0,0,0,0,0
25,77,[104],"Metadata/Chests/IncursionChests/BossFireChestMarker",681289249,1,0,5654,0,0,0,0,0
26,78,[105],"Metadata/Chests/IncursionChests/BossLightningChestMarker",-810707695,1,0,5802,0,0,0,0,0
27,57,[106],"Metadata/Chests/IncursionChests/PoisonChestMarker",-359991825,1,0,5936,0,0,0,0,0
28,60,[107],"Metadata/Chests/IncursionChests/TrapChestMarker",1832981499,1,0,6066,0,0,0,0,0
29,75,[108],"Metadata/Chests/IncursionChests/HealingChestMarker",-1124975487,1,0,6202,0,0,0,0,0
30,59,[109],"Metadata/Chests/IncursionChests/StormChestMarker",-513554431,0,0,6334,0,0,0,0,0
31,21,[110],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6460,0,0,0,0,0
32,43,[110],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6476,0,0,0,0,0
33,65,[110],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6492,0,0,0,0,0
34,47,[111],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0,6610,0,0,0,0,0
35,69,[111],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0,6626,0,0,0,0,0
