"rownum","Stat","StatValue"
0,0,100
1,8118,600
2,9892,1
3,8735,10
4,8736,10
5,2454,10
6,9846,10
7,9847,10
8,5610,10
9,5748,10
10,3617,10
11,2312,100
12,3358,1
13,3357,1
14,5801,10
15,2310,7
16,3044,10
17,4785,1
18,5824,1
19,8548,10
20,6544,5
21,13839,1
22,10335,1
23,9349,10
24,11787,1
25,13312,100
26,4944,0
27,10048,10
28,8450,4
29,11779,10
30,8063,1
31,12127,100
32,13514,10
33,13621,100
34,13622,100
35,13651,100
36,15884,100
37,13748,1
38,13792,100
39,14524,1
40,14584,10
41,15424,1
42,16129,100
43,16145,100
44,16973,1
45,16972,1
46,16141,1
47,16135,1
48,16139,1
49,16970,1
50,16670,10
51,16746,10
52,16812,10
53,16857,10
54,16960,0
55,2334,1
56,4928,1
57,16965,1
58,17013,100
59,17049,100
60,17044,100
61,17048,100
62,17093,10
63,17423,1
64,17693,1
65,18539,1
66,18993,100
67,18994,100
68,18992,1
69,18995,1
70,18996,1
