"rownum","BaseItemTypesKey","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues","RecoveryTime2","BuffStatValues2"
0,5891,"Small Life Flask",1,70,0,30,"",[],30,[]
1,5892,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,5893,"Large Life Flask",1,250,0,35,"",[],35,[]
3,5894,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,5895,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,5896,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,5897,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,5898,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,5899,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,5900,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,5901,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,5902,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,5903,"Small Life Flask",1,70,0,40,"",[],40,[]
13,5904,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,5905,"Large Life Flask",1,200,0,60,"",[],60,[]
15,5906,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,5907,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,5908,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,5909,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,5910,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,5911,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,5912,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,5913,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,5914,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,5915,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,5916,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,5917,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,5918,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,5919,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,5920,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,5921,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,5922,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,5923,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,5924,"Diamond Flask",4,0,0,60,114,[100],40,[100]
34,5925,"Ruby Flask",4,0,0,80,115,"[50,-20]",55,"[50,-20]"
35,5926,"Sapphire Flask",4,0,0,80,116,"[50,-20]",55,"[50,-20]"
36,5927,"Topaz Flask",4,0,0,80,117,"[50,-20]",55,"[50,-20]"
37,5928,"Granite Flask",4,0,0,60,118,[1500],40,[1500]
38,5929,"Quicksilver Flask",4,0,0,60,119,[40],20,[40]
39,5930,"Amethyst Flask",4,0,0,65,120,[35],45,[35]
40,5931,"Quartz Flask",4,0,0,60,121,"[1,10]",40,"[1,10]"
41,5932,"Jade Flask",4,0,0,60,122,[1500],40,[1500]
42,5933,"Basalt Flask",4,0,0,80,123,[20],55,[20]
43,5934,"Aquamarine Flask",4,0,0,80,124,[-60],55,[-60]
44,5935,"Stibnite Flask",4,0,0,80,126,[20],55,[20]
45,5936,"Sulphur Flask",4,0,0,80,127,[40],55,[40]
46,5937,"Silver Flask",4,0,0,60,128,[],40,[]
47,5938,"Bismuth Flask",4,0,0,85,125,[35],55,[35]
48,5939,"Gold Flask",4,0,0,50,129,[30],35,[30]
49,5940,"Corundum Flask",4,0,0,75,1842,[30],50,[30]
50,5941,"Iron Flask",4,0,0,50,130,[200],35,[200]
