"rownum","Event","Character","TextAudio"
0,1,0,[3]
1,9,0,[7]
2,12,0,[9]
3,15,0,[15]
4,22,0,[16]
5,30,0,[22]
6,35,0,[24]
7,38,0,[26]
8,42,0,[27]
9,45,0,[29]
10,46,0,[32]
11,47,0,[33]
12,48,0,[35]
13,49,0,[36]
14,50,0,[38]
15,51,0,[44]
16,53,0,[46]
17,54,0,[47]
18,103,0,[2]
19,109,0,[8]
20,110,0,[13]
21,112,0,[14]
22,117,0,[21]
23,118,0,[19]
24,119,0,[20]
25,120,0,[18]
26,124,0,[28]
27,125,0,[30]
28,126,0,[34]
29,127,0,[39]
30,128,0,[45]
31,130,0,[48]
32,131,0,[49]
33,132,0,[50]
34,133,0,[52]
35,170,0,[4]
36,171,0,[5]
37,172,0,[6]
38,173,0,[10]
39,174,0,[11]
40,176,0,[12]
41,186,0,[40]
42,187,0,[41]
43,188,0,[42]
44,189,0,[43]
45,192,0,[23]
46,193,0,[31]
47,220,0,[1]
48,227,0,[17]
49,232,0,[25]
50,234,0,[37]
51,236,0,[51]
52,245,0,[53]
53,246,0,[54]
54,247,0,"[55,56]"
55,248,0,[57]
56,250,0,"[67,68,69,70,71,72,73,74,75,76]"
57,252,0,[58]
58,253,0,"[59,60]"
59,254,0,"[61,62]"
60,255,0,"[63,64]"
61,256,0,"[65,66]"
62,257,0,[77]
63,258,0,[78]
64,259,0,[79]
65,260,0,[80]
66,261,0,[81]
67,262,0,[82]
68,263,0,[83]
69,9,3,[85]
70,12,3,[87]
71,22,3,[93]
72,38,3,[97]
73,42,3,[98]
74,45,3,[101]
75,46,3,[103]
76,47,3,[104]
77,48,3,[106]
78,49,3,[107]
79,50,3,[109]
80,51,3,[111]
81,53,3,[113]
82,54,3,[114]
83,109,3,[86]
84,110,3,[88]
85,112,3,[89]
86,117,3,[90]
87,118,3,[91]
88,119,3,[92]
89,120,3,[95]
90,122,3,[99]
91,124,3,[100]
92,125,3,[102]
93,126,3,[105]
94,127,3,[110]
95,128,3,[112]
96,130,3,[115]
97,131,3,[116]
98,132,3,[117]
99,133,3,[119]
100,220,3,[84]
101,227,3,[94]
102,234,3,[108]
103,236,3,[118]
104,245,3,"[120,121]"
105,246,3,"[122,123]"
106,247,3,"[124,125]"
107,248,3,"[126,127]"
108,250,3,"[138,139,140,141,142,143,144,145,146,147]"
109,252,3,"[128,129]"
110,253,3,"[130,131]"
111,254,3,"[132,133]"
112,255,3,"[134,135]"
113,256,3,"[136,137]"
114,257,3,[149]
115,258,3,[150]
116,259,3,[151]
117,260,3,[152]
118,261,3,[153]
119,262,3,[154]
120,263,3,[155]
121,1,1,[191]
122,9,1,[157]
123,12,1,[158]
124,15,1,[192]
125,22,1,[159]
126,33,1,[194]
127,38,1,[161]
128,42,1,[221]
129,45,1,[196]
130,46,1,[197]
131,47,1,[198]
132,48,1,[200]
133,49,1,[201]
134,50,1,[203]
135,51,1,[205]
136,53,1,[207]
137,54,1,[208]
138,103,1,[162]
139,109,1,[163]
140,110,1,[164]
141,112,1,[165]
142,117,1,[166]
143,118,1,[167]
144,119,1,[168]
145,120,1,[169]
146,122,1,[170]
147,124,1,[171]
148,125,1,[172]
149,126,1,[199]
150,127,1,[204]
151,128,1,[206]
152,130,1,[209]
153,131,1,[210]
154,132,1,[211]
155,133,1,[213]
156,220,1,[156]
157,227,1,[173]
158,232,1,[195]
159,234,1,[202]
160,236,1,[212]
161,245,1,"[214,215]"
162,246,1,[175]
163,247,1,[176]
164,248,1,[177]
165,250,1,"[216,217,218,219,220]"
166,252,1,[179]
167,253,1,[180]
168,254,1,[181]
169,255,1,[182]
170,256,1,[183]
171,257,1,[184]
172,258,1,[185]
173,259,1,[186]
174,260,1,[187]
175,261,1,[188]
176,262,1,[189]
177,263,1,[190]
178,1,4,[222]
179,9,4,[224]
180,12,4,[227]
