"rownum","Id","MonsterPack","Faction","IsDonutPack","IsElite","MinLevel","MaxLevel"
0,"0",1923,0,"","",1,100
1,"1",1924,0,"","",1,100
2,"2",1925,0,"","",1,100
3,"3",1926,0,"",1,6,100
4,"4",1927,0,"",1,12,100
5,"5",1930,1,"","",1,100
6,"6",1931,1,"","",1,100
7,"7",1932,1,"","",1,100
8,"8",1933,1,"",1,28,100
9,"9",1934,1,"",1,34,100
10,"10",1937,2,"","",1,100
11,"11",1938,2,"","",1,100
12,"12",1939,2,"","",1,100
13,"13",1940,2,"",1,16,100
14,"14",1941,2,"",1,22,100
15,"15",1945,0,1,"",16,100
16,"16",1948,0,1,"",16,100
17,"17",1951,1,1,"",16,100
18,"18",1954,1,1,"",16,100
19,"19",1957,2,1,"",16,100
20,"20",1960,2,1,"",16,100
21,"21",1946,0,1,"",40,100
22,"22",1949,0,1,"",40,100
23,"23",1952,1,1,"",40,100
24,"24",1955,1,1,"",40,100
25,"25",1958,2,1,"",40,100
26,"26",1961,2,1,"",40,100
27,"27",1928,0,"",1,1,5
28,"28",1929,0,"",1,1,11
29,"29",1935,1,"",1,1,27
30,"30",1936,1,"",1,1,33
31,"31",1942,2,"",1,1,15
32,"32",1943,2,"",1,1,21
33,"33",1944,0,1,"",1,15
34,"34",1947,0,1,"",1,15
35,"35",1950,1,1,"",1,15
36,"36",1953,1,1,"",1,15
37,"37",1956,2,1,"",1,15
38,"38",1959,2,1,"",1,15
