"rownum","Id","rid","Name","rid","i32","bool","i32","i32","bool"
0,1,40,"Weapon Skin",2,0,"",0,0,1
1,2,42,"Weapon Effect",2,0,"",0,0,1
2,3,44,"Weapon Added Effect",2,0,"",0,17,""
3,4,40,"Weapon Skin",3,0,"",0,1,1
4,5,42,"Weapon Effect",3,0,"",0,1,1
5,6,44,"Weapon Added Effect",3,0,"",0,17,""
6,7,46,"Helmet Skin",4,0,"",0,4,""
7,8,47,"Helmet Attachment",4,0,"",0,14,""
8,9,48,"Armour Skin",1,0,"",0,2,""
9,10,5,"Armour Attachment",1,0,"",0,3,""
10,11,50,"Gloves Skin",8,0,"",0,5,""
11,12,51,"Boots Skin",9,0,"",0,6,""
12,13,52,"Footprints",9,0,"",0,13,""
13,14,54,"Apparition",5,0,"",0,17,""
14,15,55,"Character Effect",10,0,"",0,12,""
15,16,58,"Portrait","",0,"",0,17,""
16,17,57,"Social Frame","",0,"",0,17,""
17,18,56,"Pet","",0,"",0,17,""
18,19,56,"Pet","",0,"",0,17,""
19,20,59,"Portal","",0,"",0,17,""
20,21,47,"Helmet Attachment",4,0,"",0,15,""
21,22,35,"HUD","",0,"",0,17,""
22,23,34,"Cursor","",0,"",0,17,""
23,24,38,"Belt Skin",10,0,"",0,10,""
24,25,39,"Amulet Skin",5,0,"",0,11,""
25,26,37,"Flask Skin",11,0,"",0,17,1
26,27,37,"Flask Skin",11,1,"",0,17,1
27,28,37,"Flask Skin",11,2,"",0,17,1
28,29,37,"Flask Skin",11,3,"",0,17,1
29,30,37,"Flask Skin",11,4,"",0,17,1
30,31,60,"Ring Skin",6,0,"",0,8,""
31,32,60,"Ring Skin",7,0,"",0,9,""
32,33,61,"Hip Attachment",10,0,"",0,16,""
33,34,63,"Alternate Charge Skin","",0,"",0,17,""
34,35,62,"Extra Effect","",0,"",0,17,""
35,36,36,"Passive Jewel Skin",23,0,1,0,17,""
36,37,8,"Skill Gem Effect","",0,1,0,17,""
