"rownum","Id","Name","BaseIcon_DDSFile","Infected_DDSFile","Shaper_DDSFile","Elder_DDSFile","Drawn_DDSFile","Delirious_DDSFile","UberBlight_DDSFile"
0,"Map","Original","","","","","","",""
1,"Map2","The Awakening","","","","","","",""
2,"MapAtlas","Atlas of Worlds","","","","","","",""
3,"MapWorlds","War for the Atlas","Art/2DItems/Maps/Atlas2Maps/New/Base.dds","","","","","",""
4,"Betrayal","Betrayal","Art/2DItems/Maps/Atlas2Maps/New/Base2.dds","","","","","",""
5,"Synthesis","Synthesis","Art/2DItems/Maps/Atlas2Maps/New/Base3.dds","","","","","",""
6,"Legion","Legion","Art/2DItems/Maps/Atlas2Maps/New/Base4.dds","","","","","",""
7,"Blight","Blight","Art/2DItems/Maps/Atlas2Maps/New/Base5.dds","Art/2DItems/Maps/Atlas2Maps/New/BaseInfected.dds","","","","",""
8,"Metamorphosis","Metamorph","Art/2DItems/Maps/Atlas2Maps/New/Base6.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Drawn.dds","",""
9,"Delirium","Delirium","Art/2DItems/Maps/Atlas2Maps/New/Base7.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Drawn.dds","",""
10,"Harvest","Harvest","Art/2DItems/Maps/Atlas2Maps/New/Base8.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Drawn.dds","",""
11,"Heist","Heist","Art/2DItems/Maps/Atlas2Maps/New/Base9.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Drawn.dds","",""
12,"Ritual","Ritual","Art/2DItems/Maps/Atlas2Maps/New/Base10.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Drawn.dds","",""
13,"Expedition","Expedition","Art/2DItems/Maps/Atlas2Maps/New/Base11.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Drawn.dds","",""
14,"Hellscape","Scourge","Art/2DItems/Maps/Atlas2Maps/New/Base12.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12UberBlighted.dds"
15,"Archnemesis","Archnemesis","Art/2DItems/Maps/Atlas2Maps/New/Base13.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13UberBlighted.dds"
16,"Sentinel","Sentinel","Art/2DItems/Maps/Atlas2Maps/New/Base14.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base14UberBlighted.dds"
17,"Lake","Kalandra","Art/2DItems/Maps/Atlas2Maps/New/Base15.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base15UberBlighted.dds"
18,"Sanctum","The Forbidden Sanctum","Art/2DItems/Maps/Atlas2Maps/New/Base16.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base16UberBlighted.dds"
19,"Crucible","Crucible","Art/2DItems/Maps/Atlas2Maps/New/Base17.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base17UberBlighted.dds"
20,"Ancestral","Ancestor","Art/2DItems/Maps/Atlas2Maps/New/Base18.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base18UberBlighted.dds"
21,"Azmeri","Azmeri","Art/2DItems/Maps/Atlas2Maps/New/Base19.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base19UberBlighted.dds"
