"rownum","Id","Projectile","Animation","bool","bool","i32","bool"
0,0,110,20,"","",0,""
1,1,110,20,"","",0,""
2,2,93,20,"","",0,""
3,3,112,20,"","",0,""
4,4,113,20,"","",0,""
5,5,121,20,"","",0,""
6,6,133,20,"","",0,""
7,7,154,20,"","",0,""
8,8,157,20,"","",0,""
9,9,165,20,"","",0,""
10,10,189,20,"","",0,""
11,11,164,20,"","",0,""
12,12,209,20,"","",0,""
13,13,210,20,"","",0,""
14,14,237,20,"","",0,""
15,15,240,20,"","",0,""
16,16,241,20,"","",0,""
17,17,254,20,"","",0,""
18,18,255,20,"","",0,""
19,19,281,20,"","",0,""
20,20,33,20,"","",0,""
21,21,298,20,"","",0,""
22,22,291,20,"","",0,""
23,23,302,20,"","",0,""
24,24,303,24,"","",0,""
25,25,310,24,"","",0,""
26,26,317,20,"","",0,""
27,27,342,21,"","",0,""
28,28,344,20,1,"",0,""
29,29,343,20,1,"",0,""
30,30,346,20,"","",0,""
31,31,348,20,"","",0,""
32,32,349,20,"","",0,""
33,33,350,20,"","",0,""
34,34,204,20,"","",0,""
35,35,344,21,1,"",0,""
36,36,343,21,1,"",0,""
37,37,379,20,"","",0,""
38,38,382,20,"","",0,""
39,39,383,20,"","",0,""
40,40,384,20,"","",0,""
41,41,379,20,"","",0,""
42,42,386,20,"","",0,""
43,43,390,20,"","",0,""
44,44,413,20,"","",0,""
45,45,385,20,"","",0,""
46,46,416,20,"","",0,""
47,47,417,24,"","",0,""
48,48,421,24,"","",0,""
49,49,422,20,"","",0,""
50,50,433,20,"","",0,""
51,51,456,20,1,"",0,""
52,52,490,20,"","",0,""
53,53,495,20,"","",0,""
54,54,494,20,"","",0,""
55,55,493,20,"","",0,""
56,56,491,20,"","",0,""
57,57,500,20,"","",0,""
58,58,514,24,"","",0,""
59,59,515,24,"","",0,""
60,60,516,20,"","",0,""
61,61,517,20,"","",0,""
62,62,518,20,1,"",0,""
63,63,523,20,"","",0,""
64,64,524,20,"","",0,""
65,65,525,20,"","",0,""
66,66,533,20,"","",0,""
67,67,533,24,"","",0,""
68,68,542,20,"","",0,""
69,69,543,20,"","",0,""
70,70,544,20,"","",0,""
71,71,545,20,"","",0,""
72,72,546,20,"","",0,""
73,73,547,20,"","",0,""
