"rownum","rid","rid","bool","i32","bool","bool","bool"
0,16270,29,1,0,1,"",""
1,16274,30,1,0,1,"",""
2,16275,30,1,0,1,"",""
3,17644,33,1,0,1,"",""
4,16883,37,"",16777216,1,1,""
5,17686,40,"",16777216,"","",""
6,17894,39,"",16777216,"","",""
7,17971,42,"",0,"","",""
8,18397,51,"",16777216,"","",""
9,18460,53,"",16777216,1,1,""
10,18520,54,"",0,1,"",""
11,18548,55,"",0,"","",""
12,18760,56,"",0,1,"",""
13,18762,57,"",0,"","",""
14,18778,58,"",0,1,"",""
15,18867,60,"",0,1,"",""
16,18875,61,"",0,1,"",""
17,18876,61,"",0,1,"",""
18,18878,62,"",0,1,"",""
19,18901,63,1,0,1,"",""
20,18739,65,"",0,1,"",""
21,18738,65,"",0,1,"",""
22,18736,68,"",0,1,"",""
23,18976,70,"",0,1,"",""
24,19031,74,"",16777216,1,1,""
25,19051,75,1,0,1,"",""
26,19057,76,1,0,1,"",""
27,19059,86,1,0,1,1,1
28,19060,86,1,0,1,1,1
29,19089,77,"",0,1,"",""
30,19178,78,"",0,1,"",""
31,19251,86,1,16777216,1,1,1
32,19353,81,"",0,1,"",""
33,19520,84,"",0,1,"",""
34,19609,87,"",16777216,1,1,""
