"rownum","BaseItemTypesKey","Critical","Speed","DamageMin","DamageMax","RangeMax","i32"
0,5000,500,833,1,1,13,0
1,5001,700,714,5,9,120,0
2,5002,700,833,9,16,120,0
3,5003,700,667,9,17,120,0
4,5004,700,769,14,27,120,0
5,5005,700,769,12,37,120,0
6,5006,800,833,23,42,120,0
7,5007,700,741,22,40,120,0
8,5008,700,833,26,48,120,0
9,5009,700,667,21,38,120,0
10,5010,700,769,28,52,120,0
11,5011,700,769,21,64,120,0
12,5012,800,833,33,61,120,0
13,5013,700,741,31,57,120,0
14,5014,700,833,38,71,120,0
15,5015,700,667,29,53,120,0
16,5016,700,769,35,65,120,0
17,5017,700,769,25,75,120,0
18,5018,800,833,35,64,120,0
19,5019,700,741,33,61,120,0
20,5020,750,714,16,30,120,0
21,5021,750,714,25,46,120,0
22,5022,750,714,29,54,120,0
23,5023,700,714,13,25,120,0
24,5024,700,714,27,50,120,0
25,5025,700,714,30,55,120,0
26,5026,700,800,5,9,120,0
27,5027,600,667,6,10,10,0
28,5028,600,690,4,17,10,0
29,5029,630,690,3,26,10,0
30,5030,610,667,7,27,10,0
31,5031,630,690,8,34,10,0
32,5032,650,769,10,41,10,0
33,5033,630,690,11,43,10,0
34,5034,650,833,15,59,10,0
35,5035,620,741,14,54,10,0
36,5036,600,714,11,45,10,0
37,5037,630,714,7,62,10,0
38,5038,610,667,13,52,10,0
39,5039,630,714,15,59,10,0
40,5040,650,833,19,75,10,0
41,5041,630,690,16,64,10,0
42,5042,650,833,22,87,10,0
43,5043,650,741,19,74,10,0
44,5044,650,714,19,76,10,0
45,5045,630,714,10,86,10,0
46,5046,610,667,19,74,10,0
47,5047,630,714,20,79,10,0
48,5048,650,833,24,95,10,0
49,5049,630,667,18,73,10,0
50,5050,650,833,24,97,10,0
51,5051,620,741,22,88,10,0
52,5052,630,714,12,46,10,0
53,5053,630,714,18,71,10,0
54,5054,630,714,20,79,10,0
55,5055,630,690,12,47,10,0
56,5056,630,690,18,73,10,0
57,5057,630,690,21,85,10,0
58,5058,620,625,4,11,11,0
59,5059,650,667,6,17,11,0
60,5060,630,645,7,23,11,0
61,5061,600,625,12,22,11,0
62,5062,630,645,12,31,11,0
63,5063,650,769,16,43,11,0
64,5064,600,625,14,38,11,0
65,5065,630,667,12,46,11,0
66,5066,630,667,15,44,11,0
67,5067,650,769,20,53,11,0
68,5068,630,667,15,51,11,0
69,5069,600,625,23,43,11,0
70,5070,630,667,20,53,11,0
