"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9332,111,"Essence Item",52571,[]
1,9333,131,"Currency Item",52259,[]
2,9334,151,"Unique Item",18701,[]
3,9335,121,"Map Item",22038,[]
4,9336,251,"Unique Map Item",6696,[]
5,9337,301,"Rare Abyss Item",41772,[]
6,9338,301,"Fragment Item",60390,[]
7,9339,301,"Scarab Item",32186,[]
8,9340,151,"Essence Item",23218,[]
9,9341,301,"Fossil Item",19642,[]
10,9342,221,"Expedition Item",40101,[]
11,9343,151,"Stacked Decks",34745,[]
12,9344,151,"Talisman Item",43064,[]
13,9345,161,"Labyrinth Item",19352,[]
14,9346,1001,"6-Linked Armour Item",6078,[]
15,9347,141,"Currency Item",14134,[]
16,9348,1501,"League-specific Unique Item",4526,[]
17,9349,501,"Shaper or Elder Armour Item",61377,[]
18,9350,501,"Shaper or Elder Weapon Item",53204,[]
19,9351,701,"Shaper or Elder Trinket Item",61894,[]
20,9352,501,"Elder Map Item",39336,[]
21,9353,351,"Breach Item",43164,[]
22,9354,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9355,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9356,301,"Item",31223,[]
25,9357,121,"Quality Gem",16288,[]
26,9358,151,"Bestiary Item",28161,[]
27,9359,221,"Blight Item",19373,[]
28,9360,221,"Ultimatum Item",62324,[]
29,9361,431,"Delirium Item",23535,[]
30,9362,111,"Essence Item",46750,[]
31,9363,131,"Currency Item",54300,[]
32,9364,151,"Unique Item",59184,[]
33,9365,121,"Map Item",43361,[]
34,9366,251,"Unique Map Item",37492,[]
35,9367,301,"Rare Abyss Item",2531,[]
36,9368,301,"Fragment Item",4173,[]
37,9369,301,"Scarab Item",25303,[]
38,9370,151,"Essence Item",31454,[]
39,9371,301,"Fossil Item",51101,[]
40,9372,221,"Expedition Item",41074,[]
41,9373,151,"Stacked Decks",47490,[]
42,9374,151,"Talisman Item",23793,[]
43,9375,161,"Labyrinth Item",42868,[]
44,9376,1001,"6-Linked Armour Item",12755,[]
45,9377,141,"Currency Item",30048,[]
46,9378,1501,"League-specific Unique Item",32094,[]
47,9379,501,"Shaper or Elder Armour Item",38195,[]
48,9380,501,"Shaper or Elder Weapon Item",28068,[]
49,9381,701,"Shaper or Elder Trinket Item",52048,[]
50,9382,501,"Elder Map Item",56725,[]
51,9383,351,"Breach Item",39939,[]
52,9384,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9385,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9386,301,"Item",55071,[]
55,9387,121,"Quality Gem",43471,[]
56,9388,151,"Bestiary Item",58563,[]
57,9389,221,"Blight Item",24651,[]
58,9390,221,"Ultimatum Item",65346,[]
59,9391,431,"Delirium Item",12740,[]
