"rownum","Id","i32","SoldItem_TagsKeys","SoldItem_Weights","[rid]","[i32]","[rid]","[i32]","i32","i32","i32","[rid]","i32","i32","[i32]"
0,"A1_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[4],[],0,0,0,[],5,-1,"[750,240,10]"
1,"A2_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",[0],[],0,0,0,[],5,-1,"[688,301,11]"
2,"A3_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[4,0,17]",[],0,0,0,[],5,-1,"[625,362,13]"
3,"A4_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[563,423,14]"
4,"A5_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[500,484,16]"
5,"A6_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[438,545,17]"
6,"A7_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[375,606,19]"
7,"A8_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[313,667,20]"
8,"A9_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[250,728,22]"
9,"A10_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[188,789,23]"
10,"Epilogue_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]","[17,0,4]",[],0,0,0,[],5,-1,"[125,850,25]"
11,"A1_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11]",[],0,0,0,[],5,-1,"[750,240,10]"
12,"A2_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,8,12,19,20,21]",[],0,0,0,[],5,-1,"[688,301,11]"
13,"A3_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[625,362,13]"
14,"A4_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[563,423,14]"
15,"A5_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[500,484,16]"
16,"A6_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[438,545,17]"
17,"A7_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[375,606,19]"
18,"A8_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[313,667,20]"
19,"A9_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[250,728,22]"
20,"A10_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[188,789,23]"
21,"Epilogue_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13,14]","[20,20,20,20,19,1]","[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0,[],5,-1,"[125,850,25]"
22,"NoRandomItems",0,[0],[0],[],[],[],[],0,0,0,[],1,-1,[]
23,"Siosa",0,[],[],[],[],[],[],0,0,0,"[35,35,36,36,37,37]",1,-1,[]
24,"LillyRoth",0,[],[],[],[],[],[],0,0,0,"[35,35,36,36,37,37,38]",1,-1,[]
25,"Cadiro",0,[0],[0],[],[],[],[],0,0,5,[],1,-1,[]
26,"Einhar",0,[0],[0],[],[],[42],[1],0,0,0,[],1,-1,[]
27,"Kirac",0,[0],[0],[],[],[],[],0,0,0,[],1,-1,[]
28,"Whakano",10,"[33,0]","[0,1000]",[38],[1],[],[],67,48,0,[],1,-1,[]
29,"EndlessDelve",0,[],[],[],[],"[10,15,11,8,12,19,20,21,6,7,17,0,4]",[],0,0,0,"[34,35,35,36,36,37,37,38]",1,-1,[]
30,"ExpeditionHaggler",0,[],[],[],[],[],[],0,0,1,[],1,-1,[]
31,"ExpeditionGambler",0,[],[],[],[],[],[],0,0,3,[],1,-1,[]
32,"ExpeditionDealer",0,[],[],[],[],[],[],0,0,2,[],1,-1,[]
33,"ExpeditionSaga",0,[],[],[],[],[],[],0,0,4,[],1,-1,[]
34,"EndlessHeistContracts",8,[],[],[],[],[],[],75,1,0,[],1,-1,[]
