"rownum","Id","Tier","Mod","[i32]","[rid]","Icon","Type","Achievements"
0,"AddedPhysicalHighReducedAttackSpeed",1,32191,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
1,"AddedPhysicalHighReducedAttackSpeed",2,32192,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
2,"AddedPhysicalHighReducedAttackSpeed",3,32193,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
3,"AddedPhysicalHighReducedAttackSpeed",4,32194,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
4,"AddedPhysicalHighReducedAttackSpeed",5,32195,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
5,"AddedPhysical2hHighReducedAttackSpeed",1,32196,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
6,"AddedPhysical2hHighReducedAttackSpeed",2,32197,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
7,"AddedPhysical2hHighReducedAttackSpeed",3,32198,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
8,"AddedPhysical2hHighReducedAttackSpeed",4,32199,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
9,"AddedPhysical2hHighReducedAttackSpeed",5,32200,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
10,"AddedPhysical",1,32201,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
11,"AddedPhysical",2,32202,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
12,"AddedPhysical",3,32203,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
13,"AddedPhysical",4,32204,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
14,"AddedPhysical",5,32205,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
15,"AddedPhysical2h",1,32206,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
16,"AddedPhysical2h",2,32207,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
17,"AddedPhysical2h",3,32208,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
18,"AddedPhysical2h",4,32209,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
19,"AddedPhysical2h",5,32210,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
20,"AddedPhysicalLowFireConvert",1,32211,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
21,"AddedPhysicalLowFireConvert",2,32212,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
22,"AddedPhysicalLowFireConvert",3,32213,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
23,"AddedPhysicalLowFireConvert",4,32214,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
24,"AddedPhysicalLowFireConvert",5,32215,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
