"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,7295,0,0,0,[3065],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7296,0,0,0,[3066],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7297,0,0,0,[3065],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7298,0,0,0,[3066],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7299,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7307,0,1,0,[3065],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7309,0,1,1,[3069],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7311,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7315,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7317,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7321,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7322,2,0,0,[3070],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7325,2,1,1,[3073],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7327,2,1,0,[3072],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7331,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7333,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7335,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7340,3,0,0,[3078],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7342,3,0,0,[3078],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7347,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7348,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7350,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7355,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7357,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7360,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7359
25,7363,4,0,0,[3076],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7364,4,0,0,[3076],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7365,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7372,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7373,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7378,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7380,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7382,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7384,1,0,0,[3080],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7385,1,0,0,[3080],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7386,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7393,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7396,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7399,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7401,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7404,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7406,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7408,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7300,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7301,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7302,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7303,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7304,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7312,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7313,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7314,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,7323,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7329,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7330,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7344,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7345,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7352,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7353,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,7354,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7366,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7367,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7368,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7374,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7375,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7387,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7388,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7389,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7394,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7397,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7402,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7403,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
