"rownum","TaggedStat","rid","[rid]","rid","rid"
0,16133,24,[],"",""
1,16134,9013,[],"",""
2,16240,"",[446],"",""
3,16247,"",[449],"",""
4,16259,"",[],1,""
5,16260,"",[],2,""
6,16261,"",[],4,""
7,16262,"",[],11,""
8,16263,"",[],9,""
9,16264,"",[],10,""
10,16265,"",[],23,""
11,16322,11,[],"",""
12,16323,10,[],"",""
13,16324,16257,[],"",""
14,16325,1748,[],"",""
15,16326,7633,[],"",""
16,16246,"",[],"",1
17,16252,"",[],"",8
18,16253,"",[],"",2
19,16289,"",[],"",3
20,16290,"",[],"",4
21,16291,"",[],"",5
22,16292,"",[],"",6
23,16293,"",[],"",7
24,16294,"",[],"",9
25,16295,"",[],"",10
26,16296,"",[],"",11
27,16297,"",[],"",12
28,16298,"",[],"",13
29,16299,"",[],"",14
30,16300,"",[],"",15
31,16301,"",[],"",16
32,16302,"",[],"",17
33,16303,"",[],"",18
34,16304,"",[],"",19
35,16305,"",[],"",20
36,16306,"",[],"",21
37,16307,"",[],"",22
38,16308,"",[],"",23
39,16410,2396,[],"",""
