"rownum","Id","Projectile","bool","bool","bool","i32"
0,0,13,"","","",0
1,1,31,"","","",0
2,2,74,"","","",0
3,3,89,"","","",0
4,4,74,"","","",0
5,5,95,"","","",0
6,6,20,"","","",0
7,7,98,"","","",0
8,8,117,"","","",0
9,9,60,"","","",0
10,10,125,"","","",0
11,11,126,"","","",0
12,12,140,"","","",0
13,13,160,"","","",0
14,14,204,"","","",0
15,15,226,"","","",0
16,16,277,"","","",0
17,17,278,"","","",0
18,18,284,"","","",0
19,19,210,"","","",0
20,20,266,"","","",0
21,21,304,"","","",0
22,22,121,"","","",0
23,23,267,"","","",0
24,24,323,"","","",0
25,25,322,"","","",0
26,26,329,"","","",0
27,27,379,"","","",0
28,28,400,"","","",0
29,29,409,"","","",0
30,30,429,"","","",0
31,31,438,"","","",0
32,32,439,"","","",0
33,33,440,"","","",0
34,34,441,"","","",0
35,35,442,"","","",0
36,36,443,"","","",0
37,37,445,"","","",0
38,38,448,"","","",0
39,39,538,"","","",0
40,40,539,"","","",0
41,41,540,"","","",0
42,42,570,"","","",0
43,43,560,"","","",0
44,44,582,"","","",0
45,45,506,1,"","",0
46,46,577,"","","",0
47,47,583,"","","",0
48,48,586,"","","",0
49,49,587,"","","",0
50,50,584,"","","",0
51,51,595,"","","",0
52,52,600,"","","",0
53,53,603,"","","",0
54,54,608,"","","",0
55,55,617,"","","",0
56,56,623,"","","",0
57,57,624,"","","",0
58,58,625,"","","",0
59,59,626,"","","",0
60,60,627,"","","",0
61,61,628,"","","",0
62,62,629,"","","",0
63,63,630,"","","",0
64,64,631,"","","",0
65,65,632,"","","",0
66,66,633,"","","",0
67,67,634,"","","",0
68,68,562,"","","",0
69,69,676,"","","",0
70,70,677,1,1,"",0
71,71,694,"","","",0
72,72,685,1,"","",0
73,73,701,"","","",0
74,74,681,"","","",0
75,75,684,1,"","",0
76,76,719,"","","",0
77,77,608,"","","",0
78,78,702,"","","",0
79,79,703,"","","",0
80,80,564,"","","",0
81,81,566,"","","",0
82,82,784,"","","",0
83,83,813,1,"","",0
84,84,793,"","","",0
85,85,814,1,"","",0
86,86,816,"","","",0
87,87,819,1,"","",10
88,88,820,1,"","",0
89,89,821,1,"","",0
90,90,60,"","","",0
91,91,827,"",1,"",0
92,92,830,"","","",0
93,93,831,1,"","",0
94,94,822,1,"","",0
95,95,838,1,"","",0
96,96,839,1,"","",10
97,97,841,1,"","",5
98,98,842,1,"","",5
99,99,857,1,"","",5
100,100,859,"","","",0
101,101,860,1,"","",0
102,102,864,1,"","",0
103,103,872,1,"","",0
104,104,858,1,"","",0
105,105,885,"","","",0
106,106,877,"","","",0
107,107,890,"","","",0
108,108,893,"","","",0
109,109,897,"","","",0
110,110,904,1,"","",0
111,111,908,"","","",0
112,112,911,"","","",0
113,113,912,1,"","",7
114,114,934,"","","",0
115,115,936,"","","",0
116,116,127,"","","",0
117,117,941,1,"","",60
118,118,226,"","","",0
119,119,942,1,"","",100
120,120,960,"","","",0
121,121,955,"",1,"",0
122,122,963,"","","",0
123,123,956,"",1,"",0
124,124,968,"","","",0
125,125,969,"","","",0
126,126,970,"",1,"",0
127,127,976,"","","",0
128,128,954,"",1,"",0
129,129,1008,"","","",0
130,130,1009,"","","",0
131,131,1010,"","","",0
132,132,1011,"","","",0
133,133,1008,"","","",0
134,134,1009,"","","",0
135,135,1012,"",1,"",0
136,136,1013,"",1,"",0
137,137,1029,"","","",0
138,138,1037,"","","",0
139,139,106,1,"","",0
140,140,1058,1,"","",0
141,141,1075,"","",1,0
142,142,1076,"","",1,0
143,143,1081,1,"","",0
144,144,1094,"","","",0
145,145,1095,"",1,"",0
146,146,1096,"",1,"",0
147,147,1104,"","","",0
148,148,1105,"","","",0
149,149,1106,"","","",0
150,150,1120,"","","",0
151,151,1128,"","","",0
152,152,1129,"","","",0
153,153,1133,1,"","",0
154,154,1148,1,"","",30
155,155,1150,"","","",0
156,156,1149,1,"","",30
157,157,21,"","","",0
158,158,617,"","","",0
159,159,702,"","","",0
160,160,1217,"",1,"",0
161,161,1222,"","","",0
162,162,1251,"",1,"",0
163,163,1254,"","","",0
164,164,1261,"",1,"",0
165,165,1262,"","","",0
166,166,1263,"","","",0
167,167,1266,1,"","",0
168,168,1267,"","","",0
169,169,1268,"","","",0
170,170,1269,"","","",0
171,171,1281,"","","",10
172,172,1282,"","","",0
173,173,1285,"","","",0
174,174,1293,1,"","",5
175,175,1294,1,"","",5
