"rownum","Mod","Name","Visual","TextStyles","bool","bool"
0,7121,"Toxic",0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]","",""
1,7122,"Chaosweaver",1,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]","",""
2,7123,"Frostweaver",2,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
3,7124,"Permafrost",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
4,7126,"Hasted",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
5,7127,"Deadeye",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
6,7129,"Bombardier",6,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
7,7130,"Flameweaver",7,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
8,7131,"Incendiary",8,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
9,7132,"Arcane Buffer",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
10,7135,"Echoist",10,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
11,7137,"Stormweaver",11,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
12,7138,"Electrocuting",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
13,7139,"Bonebreaker",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
14,7140,"Bloodletter",14,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
15,7142,"Steel-infused",16,"[""outlinecolour:archnemesismodphysicalgreyoutline"",""archnemesismodphysicalgrey""]","",""
16,7143,"Gargantuan",17,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
17,7145,"Berserker",18,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
18,7136,"Sentinel",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
19,7141,"Juggernaut",20,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
20,7133,"Vampiric",21,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
21,7146,"Overcharged",22,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
22,7147,"Soul Conduit",23,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
