"rownum","i32","[rid]","[rid]","i32","i32","i32","i32","i32","bool","i32","i32","i32","bool","bool","[rid]","i32","i32","i32","i32","i32","i32","bool","bool","i32","i32","bool","i32","bool","rid","[i32]","i32","bool","bool","rid","bool","[i32]","bool","bool","rid","bool","bool","[rid]","bool","bool","bool","bool","i32","bool","bool","i32","i32","i32","bool","rid","rid"
0,0,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",210,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
1,1,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",180,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
2,2,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",210,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
3,3,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",270,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
4,4,[],[],250,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",350,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
5,5,[],[],250,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
6,6,[],[],0,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
7,7,[],[],0,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
8,8,[],[],0,2,3,15,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
9,9,[],[],0,2,2,30,0,1,6,2,100,1,"",[],1,0,7,0,1,0,"","",150,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
10,10,[],[],0,1,3,17,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
11,11,[],[],0,3,3,0,7,1,4,2,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
12,12,[778],[],0,1,4,10,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
13,13,[],[],0,1,2,10,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
14,14,[1937],[],0,1,2,10,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
15,15,[],[],0,2,2,15,0,1,4,2,0,1,"",[],1,0,7,0,1,0,"","",120,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
16,16,[],[],0,1,2,15,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
17,17,[1843],[],100,1,2,20,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
18,18,[],[],250,2,2,40,0,1,3,13,0,1,"",[],1,0,4,0,1,0,"","",350,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
19,19,[1962],[],0,1,3,15,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
20,20,[],[],0,2,2,30,0,1,6,2,100,1,"",[],1,0,7,0,1,0,"","",270,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
21,21,[2084],[],0,2,2,20,0,1,6,2,10,1,"",[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
22,22,[2086],[],250,3,3,55,10,1,3,2,0,1,"",[],1,0,4,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[100],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
23,23,[2085],[],0,3,3,10,15,1,3,2,10,1,"",[],1,0,4,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[160],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
24,24,[],[],0,1,4,10,0,1,13,13,0,"","",[],1,0,4,0,1,0,"","",0,7,"",0,"","",[],1,"","","","",[],"","","","","",[],"","","","",0,"","",0,0,0,1,"",""
25,25,[2091],[],0,1,4,20,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"","","","","",[],"","","","",0,"","",0,0,0,1,"",""
26,26,[2092],[],0,1,4,12,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"","","","","",[],"","","","",0,"","",0,0,0,1,"",""
27,27,[2116],[],750,2,3,50,0,1,6,2,100,1,"",[],3,0,4,0,1,0,"","",150,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
28,28,[2084],[],0,2,3,20,0,1,3,2,0,1,"",[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
29,29,[2084],[],0,2,3,20,0,1,3,2,0,1,1,[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
30,30,[2119],[],0,2,3,20,0,1,3,2,0,1,"",[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
31,31,[2119],[],0,2,3,20,0,1,3,2,0,1,1,[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"",""
