"rownum","Id","StoredItem","bool","ButtonFile","SlotSize","HeistJobsKey","Width","Height","i32","i32","i32","i32","ItemClass"
0,"ContractsBunker","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract1Button",63,0,11,6,0,0,0,542,65
1,"ContractsMines","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract2Button",63,1,11,6,11,0,0,542,65
2,"ContractsDungeon","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract3Button",63,2,11,6,22,0,0,542,65
3,"ContractsReliquary","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract4Button",63,3,11,6,33,0,0,542,65
4,"ContractsLibrary","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract5Button",63,4,11,6,44,0,0,542,65
5,"ContractsRobotTunnels","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract6Button",63,5,11,6,55,0,0,542,65
6,"ContractsSewers","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract7Button",63,6,11,6,66,0,0,542,65
7,"ContractsCourts","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract8Button",63,7,11,6,77,0,0,542,65
8,"ContractsMansion","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Contract9Button",63,8,11,6,88,0,0,542,65
9,"BlueprintsBunker","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint1Button",63,0,11,6,0,6,0,542,70
10,"BlueprintsMines","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint2Button",63,1,11,6,11,6,0,542,70
11,"BlueprintsDungeon","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint3Button",63,2,11,6,22,6,0,542,70
12,"BlueprintsReliquary","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint4Button",63,3,11,6,33,6,0,542,70
13,"BlueprintsLibrary","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint5Button",63,4,11,6,44,6,0,542,70
14,"BlueprintsRobotTunnels","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint6Button",63,5,11,6,55,6,0,542,70
15,"BlueprintsSewers","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint7Button",63,6,11,6,66,6,0,542,70
16,"BlueprintsCourts","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint8Button",63,7,11,6,77,6,0,542,70
17,"BlueprintsMansion","",1,"Art/2DArt/UIImages/InGame/Heist/Storage/Blueprint9Button",63,8,11,6,88,6,0,542,70
18,"Metadata/Items/Heist/HeistCoin",9676,"","",75,"",7,3,99,0,96,960,""
