"rownum","i32","[rid]","[rid]","i32","i32","bool","bool","bool","[rid]","i32","i32","i32","i32","i32","bool","i32","bool","bool","i32","i32","bool","bool","bool","i32","bool","bool","i32","i32","i32"
0,1,[2819],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
1,2,[2829],[],2,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
2,3,[2769],[],4,1,"",1,"",[],1,0,4,90,0,"",1792,"","",110,-65,1,"","",0,"","",13,13,0
3,4,[2769],[],4,1,"",1,1,[],1,0,4,-90,0,"",1792,"","",110,65,1,"","",0,"","",13,13,0
4,5,[2825],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
5,6,[2826],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
6,7,[2873],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
7,8,[2918],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
8,9,[2931],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",15,0,"","","",0,"","",13,13,0
9,10,"[3142,3143,3144]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",55,0,"","","",0,"","",13,13,0
10,11,[3148],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
11,12,[3162],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",27,0,"","","",0,"","",13,13,0
12,13,[3161],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",10,0,"","","",0,"","",13,13,0
13,14,[3166],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
14,15,[3167],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
15,16,[3205],[],2,1,"","","",[],1,0,2,180,0,"",1792,"","",25,0,"","","",0,"","",13,13,0
16,17,[3279],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
17,18,[3091],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
18,19,[3314],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
19,20,[3515],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
20,21,[3514],[],2,1,"","","",[],1,0,2,0,0,"",1792,"","",27,0,1,"","",0,"","",13,13,0
