"rownum","Width","Height","i32","Item"
0,1,1,0,4955
1,1,2,0,4956
2,1,3,0,4957
3,1,4,0,4958
4,2,1,0,4959
5,2,2,0,4960
6,2,3,0,4961
7,2,4,0,4962
8,3,1,0,4965
9,3,2,0,4963
10,3,3,0,4964
11,4,1,0,4966
12,1,1,1,4989
13,1,2,1,4990
14,1,3,1,4991
15,1,4,1,4992
16,2,1,1,4993
17,2,2,1,4994
18,2,3,1,4995
19,2,4,1,4996
20,3,1,1,4998
21,3,2,1,4997
22,4,1,1,4999
23,1,1,2,4967
24,1,2,2,4968
25,1,3,2,4969
26,1,4,2,4970
27,2,1,2,4971
28,2,2,2,4972
29,2,3,2,4973
30,2,4,2,4974
31,3,2,2,4975
32,3,1,2,4976
33,4,1,2,4977
34,1,1,3,4978
35,1,2,3,4979
36,1,3,3,4980
37,1,4,3,4981
38,2,1,3,4982
39,2,2,3,4983
40,2,3,3,4984
41,2,4,3,4985
42,3,2,3,4986
43,3,1,3,4987
44,4,1,3,4988
