"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3692,[8853],"[8854,9030,9029,9034]","[8855,8946,9031,9033]",10,100,1000,"",140,[],[]
1,3693,[8856],"[8857,9030,9029,9034]","[8858,8944,9031,9033]",6,100,2500,"",140,[],[]
2,3694,[8859],"[8860,9030,9029,9034]","[8861,8946,9031,9033]",10,100,1000,3148,140,[],[]
3,3695,[8862],"[8863,9030,9029,9034]","[8864,8946,9031,9033]",10,100,1000,"",140,[],[]
4,3696,[8891],"[8892,9030,9029,9034]","[8893,8947,9031,9033]",30,100,500,"",140,[],[]
5,3697,[8904],"[8905,9030,9029,9034]","[8906,8946,9031,9033]",15,100,1000,"",8,[],[]
6,3698,"[8871,8872]","[8873,9030,9029,9034]","[8874,8946,9031,9033]",15,100,1000,1910,140,[],[]
7,3699,[8897],"[8898,9030,9029,9034]","[8899,8946,9031,9033]",6,100,1000,"",140,[],[]
8,3700,[8865],"[8866,9030,9029,9034]","[8867,8946,9031,9033]",20,100,1000,"",140,[],[]
9,3701,[8868],"[8869,9030,9029,9034]","[8870,8947,9031,9033]",30,100,500,282,140,[],[]
10,3702,[8875],"[8876,9030,9029,9034]","[8877,8944,9031,9033]",1,100,2500,"",140,[],[]
11,3703,[8878],"[8879,9030,9029,9034]","[8880,8944,8881,9031,9033]",1,100,2500,"",140,[],[]
12,3704,[],"[8882,9030,9029,9034]","[8883,8947,9031,9033]",60,100,1,"",140,[],[]
13,3705,[8884],"[8885,9030,9029,9034]","[8886,8947,9031,9033]",60,100,500,"",140,[],[]
14,3706,[8888],"[8889,9030,9029,9034]","[8890,8944,9031,9033]",1,100,2500,"",140,[],[]
15,3707,[8894],"[8895,9030,9029,9034]","[8896,8944,9031,9033]",6,100,2500,"",140,[],[]
16,3708,"[8900,8901]","[8902,9030,9029,9034]","[8903,8946,9031,9033]",20,100,1000,45,140,[],[]
17,3709,[8907],"[8908,9030,9029,9034]","[8909,8947,9031,9033]",40,100,500,"",10,[],[]
18,3710,[8913],"[8914,9030,9029,9034]","[8915,8946,9031,9033]",20,100,1000,"",140,[],[]
19,3711,[8916],"[8917,9030,9029,9034]","[8918,8944,9031,9033]",1,100,2500,"",140,[],[]
20,3712,[8920],"[8921,9030,9029,9034]","[8922,8946,9031,9033]",10,100,1000,"",140,[],[]
21,3713,[8923],"[8925,9030,9029,9034]","[8926,8924,8947,9031,9033]",40,100,500,"",140,[],[]
22,3716,[8927],"[8928,9030,9029,9034]","[8943,8929,8947,9031,9033]",1,100,0,"",140,[],[]
23,3714,[8930],"[8931,9030,9029,9034]","[8932,8945,9032,9033]",1,100,0,"",140,[],[]
24,3715,[8933],"[8934,9030,9029,9034]","[8935,8945,9032,9033]",1,100,0,"",140,[],[]
25,3717,[8936],"[8937,9030,9029,9034]","[8938,8944,9031,9033]",1,100,0,"",140,[],[]
26,3718,[8936],"[8937,9030,9029,9034]","[8939,8944,9031,9033]",1,100,0,"",140,[],[]
27,3719,[8936],"[8937,9030,9029,9034]","[8940,8944,9031,9033]",1,100,0,"",140,[],[]
28,3720,[8936],"[8937,9030,9029,9034]","[8941,8944,9031,9033]",1,100,0,"",140,[],[]
29,3721,[8936],"[8937,9030,9029,9034]","[8942,8944,9031,9033]",1,100,0,"",140,[],[]
30,3722,[20047],"[20048,9030,9029,9034]","[20049,8947,9031,9033]",68,100,0,3951,140,[],[]
31,3723,[20044],"[20045,9030,9029,9034]","[20046,8947,9031,9033]",68,100,0,"",140,[],[]
32,3724,[20050],"[20051,9030,9029,9034]","[20052,8947,9031,9033]",68,100,0,"",140,[],[]
33,7433,[],"[8876,9030,9029,9034]","[8877,8944,9031,9033]",1,100,0,"",140,[],[]
34,7434,[],"[8876,9030,9029,9034]","[8877,8944,9031,9033]",1,100,0,"",140,[],[]
35,7435,[],"[8876,9030,9029,9034]","[8877,8944,9031,9033]",1,100,0,"",140,[],[]
36,7436,[],"[8876,9030,9029,9034]","[8877,8944,9031,9033]",1,100,0,"",140,[],[]
37,7437,[],"[8876,9030,9029,9034]","[8877,8944,9031,9033]",1,100,0,"",140,[],[]
