"rownum","string","[rid]","i32","i32","rid"
0,"storm_rain_ground_object",[545],3,0,""
1,"earthshatter_spike",[384],3,0,""
2,"earthshatter_spike",[384],3,1,""
3,"earthshatter_spike",[384],3,2,""
4,"earthshatter_spike_ancestral",[384],3,0,11882
5,"earthshatter_spike_ancestral",[384],3,1,11882
6,"earthshatter_spike_ancestral",[384],3,2,11882
7,"toxic_rain_spore",[191],3,0,""
8,"toxic_rain_spore",[192],3,1,""
9,"toxic_rain_spore",[351],3,2,""
10,"toxic_rain_spore",[193],3,3,""
11,"toxic_rain_spore",[495],3,4,""
12,"toxic_rain_spore",[515],3,5,""
13,"toxic_rain_spore",[589],3,6,""
14,"toxic_rain_spore",[615],3,7,""
15,"hydrosphere_sphere",[455],3,0,""
16,"hydrosphere_sphere",[619],3,1,""
17,"ring_of_ice_statue",[1175],3,0,""
