"rownum","string","i32","bool","bool"
0,"Sweep",36657,1,""
1,"GroundSlam",19521,1,""
2,"VaalGroundSlam",10915,1,""
3,"DistanceScaledGroundSlam",9104,1,""
4,"VaalDistanceScaledGroundSlam",51752,1,""
5,"Cleave",19088,1,""
6,"TableCharge",11769,1,""
7,"ShieldCharge",59695,1,""
8,"NewShieldCharge",51811,1,""
9,"NewNewShieldCharge",11200,1,""
10,"EnduringCry",49952,1,""
11,"InspiringCry",29102,1,""
12,"AbyssalCry",13569,1,""
13,"LeapSlam",38777,1,""
14,"DoubleStrike",61472,1,""
15,"VaalDoubleStrikeTwo",34869,1,""
16,"VaalDoubleStrike",44225,1,""
17,"ElementalHit",4253,1,""
18,"ImmortalCall",329,1,""
19,"DualStrike",64725,1,""
20,"BladeFlurry",33115,1,""
21,"Frenzy",18947,1,""
22,"CausticArrow",33399,1,""
23,"VaalCausticArrow",55064,1,""
24,"Backstab",50533,1,""
25,"DetonateDead",34927,1,""
26,"DetonateDeadNew",38390,1,""
27,"RepeatingVaalDetonateDead",7804,1,""
28,"FlickerStrike",25426,1,""
29,"BloodRage",15032,1,""
30,"SplitArrow",13732,1,""
31,"ColdSnap",59139,1,""
32,"VaalColdSnap",1850,1,""
33,"NewColdSnap",15561,1,""
34,"IceNova",10056,1,""
35,"Ignite",52892,1,""
36,"Fireball",43598,1,""
37,"Arc",45360,1,""
38,"RaiseZombie",60579,1,""
39,"RighteousFire",30644,1,""
40,"VaalRighteousFireDuration",11288,1,""
41,"VaalRighteousFire",44259,1,""
42,"FireWeapon",5585,1,""
43,"DamageInfusion",32669,1,""
44,"Discharge",53537,1,""
45,"TownPortal",41936,1,""
46,"VaalBreach",44271,1,""
47,"Melee",45448,1,""
48,"SandSpitterProjectile",874,1,""
49,"SeaWitchWave",16030,1,""
50,"MonsterProjectileWeapon",54337,1,""
51,"CobraLash",602,1,""
52,"BloodChieftainSummonMonkeys",16230,1,""
53,"BloodChieftainSummonGhostMonkeys",11230,1,""
54,"SkeletonProjectileFire",10926,1,""
55,"SkeletonProjectileCold",55279,1,""
56,"SkeletonProjectileLightning",23207,1,""
57,"Spark",30809,1,""
58,"IceSpear",20192,1,""
59,"RaiseSpectre",58392,1,""
60,"InfernalBlow",19793,1,""
61,"InfernalBlowNew",53878,1,""
62,"GlacialHammer",51712,1,""
63,"VaalGlacialHammer",50789,1,""
64,"FrostWall",9184,1,""
65,"FreezingPulse",18723,1,""
66,"ShockNova",50531,1,""
67,"ViperStrike",11527,1,""
68,"PhaseRun",43512,1,""
69,"FuseArrow",41011,1,""
70,"ExplosiveArrow",33779,1,""
71,"IncaBossExplosion",15512,1,""
72,"IncaBossSummon",64114,1,""
73,"IncaBossLaser",19024,1,""
74,"IncaBossTravel",19658,1,""
75,"IncaBossSpray",11159,1,""
76,"IncaBossRocks",21135,1,""
77,"IncaBossBallLightning",24068,1,""
78,"IncaBossIcestorm",58683,1,""
79,"TemporalChains",51138,1,""
80,"ElementalWeakness",54405,1,""
81,"DrainEssence",23130,1,""
82,"Punishment",6680,1,""
83,"Enfeeble",1273,1,""
84,"CriticalWeakness",25863,1,""
85,"ProjectileWeakness",35682,1,""
86,"Vulnerability",20357,1,""
87,"IncaMinionProjectile",5983,1,""
88,"LightningWarp",24442,1,""
89,"VaalLightningWarp",64670,1,""
90,"RaiseSkeleton",46427,1,""
91,"VaalSummonSkeletons",29081,1,""
92,"HeavyStrike",53955,1,""
93,"VaalHeavyStrike",60235,1,""
94,"ConversionStrike",33953,1,""
95,"UpgradeMinion",42086,1,""
96,"AliraRainOfArrows",19985,1,""
97,"OakRainOfArrows",14012,1,""
98,"RainOfArrows",62475,1,""
99,"ExpandingRainOfArrows",35600,1,""
100,"FireStorm",50283,1,""
101,"LightningStrike",1829,1,""
102,"VaalNewLightningStrike",24168,1,""
103,"VaalLightningStrike",29134,1,""
104,"LightningShield",24353,1,""
105,"FireShield",51514,1,""
106,"PowerShot",21587,1,""
107,"MassFrenzy",61421,1,""
108,"MassEndurance",30676,1,""
109,"MassPower",2668,1,""
110,"Puncture",42490,1,""
111,"LightningArrow",19630,1,""
112,"VaalLightningArrow",42937,1,""
113,"Taunt",22322,1,""
114,"CastAuraDamage",37237,1,""
115,"CastAuraSpeed",49594,1,""
116,"VaalAuraSpeed",31923,1,""
117,"CastAuraElementalResistances",44706,1,""
118,"CastAuraLifeRegen",52162,1,""
119,"VaalAuraLifeRegen",39839,1,""
120,"CastAuraEnergyShield",31825,1,""
121,"VaalAuraEnergyShield",1809,1,""
122,"CastAuraAccuracyAndCrit",2345,1,""
123,"CastAuraEvasion",35995,1,""
124,"VaalAuraDodge",11180,1,""
125,"CastAuraArmour",35562,1,""
126,"VaalAuraArmour",2023,1,""
127,"CastAuraFireDamage",35264,1,""
128,"CastAuraColdDamage",33842,1,""
129,"CastAuraLightningDamage",33224,1,""
130,"BurningArrow",1045,1,""
131,"CastAuraManaRegen",7270,1,""
132,"VaalAuraNoManaCost",10935,1,""
133,"SpawnInsect",30796,1,""
134,"DetonateMines",50217,1,""
135,"TotemEarthquake",54310,1,""
136,"TotemAuraLifeRegen",49862,1,""
137,"TrapConvert",54089,1,""
138,"TrapBeartrap",170,1,""
139,"MineFreeze",31056,1,""
140,"TrapGroundFire",8658,1,""
141,"TrapGroundCausticCloud",43886,1,""
142,"TrapGroundIce",12701,1,""
143,"TotemTaunt",1915,1,""
144,"TotemConsumeCorpse",61345,1,""
145,"ReviveSkeleton",41308,1,""
146,"SuicideExplosion",44554,1,""
147,"SuicideExplosionSelf",40563,1,""
148,"SummonSpawn",445,1,""
149,"ShadowProjectiles",58859,1,""
150,"InsectSpawnerSpit",14774,1,""
151,"ScavengerThrowFire",48928,1,""
152,"IceShot",24146,1,""
153,"VaalIceShot",48504,1,""
154,"ArcticBreath",58521,1,""
155,"IceShield",25788,1,""
156,"TotemFireSpray",42302,1,""
157,"BrutusHook",49375,1,""
158,"FireWeakness",16554,1,""
159,"ColdWeakness",5864,1,""
160,"LightningWeakness",5244,1,""
161,"LightningThorns",47905,1,""
162,"RangedDemonFemaleProjectile",53256,1,""
163,"StatueSpearThrow",12057,1,""
164,"SummonWaterElementals",64314,1,""
165,"BallLightning",37543,1,""
166,"PietyFireForm",12732,1,""
167,"PietyIceForm",15717,1,""
168,"PietySummonBloodElementals",4970,1,""
169,"AxisClaimSoldierMinions",48383,1,""
170,"Flamethrower",1613,1,""
171,"FlamethrowerChannelled",8195,1,""
172,"ExpandingFireCone",32144,1,""
173,"Cyclone",200,1,""
174,"VaalCyclone",48142,1,""
175,"CycloneChannelled",14124,1,""
176,"MassReviveUndead",25897,1,""
177,"SearingBond",51257,1,""
178,"ZombieBossExtract",51223,1,""
179,"BirdmanConsumeCorpse",18730,1,""
180,"BirdmanBloodProjectile",49727,1,""
181,"RootSpiderBurrow",45539,1,""
182,"RootSpiderEmerge",26214,1,""
183,"MinionTaunt",48715,1,""
184,"Reave",24009,1,""
185,"DominusChillingBond",25582,1,""
186,"DominusLightningSouls",41618,1,""
187,"DominusLightningSlam",32130,1,""
188,"DominusMark",45682,1,""
189,"CastAuraChaosDegeneration",59297,1,""
190,"Hide",62753,1,""
191,"DominusDemonCleave",30815,1,""
192,"DominusDemonProjectile",34532,1,""
193,"DelayedBlast",31809,1,""
194,"DominusDemonCharge",49519,1,""
195,"DominusDash",13576,1,""
196,"LightningProjectileTrap",30414,1,""
197,"SmokeMine",4026,1,""
198,"ProximityShield",26988,1,""
199,"AnimateArmour",7068,1,""
200,"DominusBloodRain",34799,1,""
201,"ThrownWeaponProjectile",53115,1,""
202,"VaalThrownWeapon",35985,1,""
203,"DominusGrab",47477,1,""
204,"DominusDeathTeleport",29563,1,""
205,"ShrineSmokeCloud",1942,1,""
206,"ShrinePlayerSmokeTrail",64283,1,""
207,"AnimateWeapon",20799,1,""
208,"Silence",53883,1,""
209,"TriggerSpawners",27223,1,""
210,"CastAuraFireResistance",20066,1,""
211,"CastAuraColdResistance",25003,1,""
212,"CastAuraLightningResistance",30499,1,""
213,"StormCall",27627,1,""
214,"AttachedStormCall",48518,1,""
215,"VaalStormCall",62531,1,""
216,"AtziriStormCall",39768,1,""
217,"ChargedBlast",8367,1,""
218,"FlameblastChannelled",41248,1,""
219,"RepeatingVaalChargedBlast",65299,1,""
220,"VaalChargedBlast",34564,1,""
221,"SeawitchLightningBeam",32640,1,""
222,"RootSpiderAmbush",5883,1,""
223,"BlindingGaze",57081,1,""
224,"Barrage",8497,1,""
225,"Vortex",10240,1,""
226,"InfernalSwarm",63560,1,""
227,"SummonElemental",3552,1,""
228,"FlameWhip",50246,1,""
229,"SeawitchScreech",36956,1,""
230,"Desecrate",22369,1,""
231,"OfferingOffensive",44771,1,""
232,"VaalOfferingOffensive",20606,1,""
233,"OfferingDefensive",23093,1,""
234,"Upheaval",47442,1,""
235,"Freeze",29774,1,""
236,"FireEnrage",9604,1,""
237,"MassCharge",63112,1,""
238,"AtziriDemonSelfSacrifice",26052,1,""
239,"AtziriSummonDemons",55726,1,""
240,"AtziriStormCallEmpowered",40274,1,""
241,"AtziriFlameblast",37517,1,""
242,"AtziriFlameblastEmpowered",52007,1,""
243,"AtziriSpearThrow",35263,1,""
244,"AtziriSpearThrowEmpowered",9175,1,""
245,"AtziriMirrorImage",27755,1,""
246,"SummonMonsters",59434,1,""
247,"SummonWarbandPack",52969,1,""
