"rownum","Id","HASH16","RewardText","ItemVisualIdentityKey","RewardType","SacrificeItem","SacrificeAmount","SacrificeText","bool","TrialMods"
0,"DoubleDivinationCards1",20652,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24953,24958]"
1,"DoubleDivinationCards2",54378,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24954,24959]"
2,"DoubleDivinationCards3",13401,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24955,24960]"
3,"DoubleDivinationCards4",39568,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24956,24961]"
4,"DoubleDivinationCards5",25975,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24957,24962]"
5,"MirrorRare1",49959,"Item and Mirrored Copy","",3,"",0,"Mirrorable, Rare Item","","[24957,24962]"
6,"Unique1",24507,"","",4,"",0,"","","[24954,24959]"
7,"Unique1_2",27055,"","",4,"",0,"","","[24955,24960]"
8,"Unique2",31270,"","",4,"",0,"","","[24955,24960]"
9,"Unique2_2",56553,"","",4,"",0,"","","[24955,24960]"
10,"Unique2_3",26555,"","",4,"",0,"","","[24956,24961]"
11,"Unique3",62141,"","",4,"",0,"","","[24956,24961]"
12,"Unique3_2",15941,"","",4,"",0,"","","[24955,24960]"
13,"Unique3_3",53117,"","",4,"",0,"","","[24957,24962]"
14,"Unique4",49320,"","",4,"",0,"","","[24954,24959]"
15,"Unique5",18654,"","",4,"",0,"","","[24955,24960]"
16,"Unique6",7505,"","",4,"",0,"","","[24956,24961]"
17,"Unique7",6641,"","",4,"",0,"","","[24957,24962]"
18,"Unique8",5026,"","",4,"",0,"","","[24957,24962]"
19,"Unique9",17340,"","",4,"",0,"","","[24955,24960]"
20,"Unique10",31328,"","",4,"",0,"","","[24956,24961]"
21,"Unique11",40848,"","",4,"",0,"","","[24956,24961]"
22,"Unique12",10845,"","",4,"",0,"","","[24957,24962]"
23,"CurrencyChaos5",10698,"Doubles sacrificed Currency","",1,2,5,"",1,"[24953,24958]"
24,"CurrencyChaos10",32977,"Doubles sacrificed Currency","",1,2,10,"",1,"[24953,24958]"
25,"CurrencyChaos20",41813,"Doubles sacrificed Currency","",1,2,20,"",1,"[24954,24959]"
26,"CurrencyBlessed10",33537,"Doubles sacrificed Currency","",1,23,10,"",1,"[24953,24958]"
27,"CurrencyBlessed20",12316,"Doubles sacrificed Currency","",1,23,20,"",1,"[24954,24959]"
28,"CurrencyScouring15",44257,"Doubles sacrificed Currency","",1,12,15,"",1,"[24953,24958]"
29,"CurrencyScouring30",34349,"Doubles sacrificed Currency","",1,12,30,"",1,"[24954,24959]"
30,"CurrencyFusing10",64174,"Doubles sacrificed Currency","",1,20,10,"",1,"[24953,24958]"
31,"CurrencyFusing20",59104,"Doubles sacrificed Currency","",1,20,20,"",1,"[24953,24958]"
32,"CurrencyRegret20",62668,"Doubles sacrificed Currency","",1,8,20,"",1,"[24953,24958]"
33,"CurrencyRegret40",19592,"Doubles sacrificed Currency","",1,8,40,"",1,"[24954,24959]"
34,"CurrencyGemcutters5",33199,"Doubles sacrificed Currency","",1,18,5,"",1,"[24953,24958]"
35,"CurrencyGemcutters10",60325,"Doubles sacrificed Currency","",1,18,10,"",1,"[24953,24958]"
36,"CurrencyGemcutters20",31540,"Doubles sacrificed Currency","",1,18,20,"",1,"[24954,24959]"
37,"CurrencyVaal5",9165,"Doubles sacrificed Currency","",1,33,5,"",1,"[24953,24958]"
38,"CurrencyVaal10",9804,"Doubles sacrificed Currency","",1,33,10,"",1,"[24953,24958]"
39,"CurrencyVaal20",54195,"Doubles sacrificed Currency","",1,33,20,"",1,"[24954,24959]"
40,"CurrencyRegal5",34962,"Doubles sacrificed Currency","",1,14,5,"",1,"[24953,24958]"
41,"CurrencyRegal10",29237,"Doubles sacrificed Currency","",1,14,10,"",1,"[24953,24958]"
42,"CurrencyAwakenedSextant5",4287,"Doubles sacrificed Currency","",1,181,5,"",1,"[24953,24958]"
43,"CurrencyAwakenedSextant10",54692,"Doubles sacrificed Currency","",1,181,10,"",1,"[24953,24958]"
44,"CurrencyStackedDeck5",18117,"Doubles sacrificed Currency","",1,9021,5,"",1,"[24953,24958]"
45,"CurrencyStackedDeck10",43188,"Doubles sacrificed Currency","",1,9021,10,"",1,"[24953,24958]"
46,"CurrencyDivine1",59332,"Doubles sacrificed Currency","",1,22,1,"",1,"[24954,24959]"
47,"CurrencyDivine4",53728,"Doubles sacrificed Currency","",1,22,4,"",1,"[24955,24960]"
48,"CurrencyDivine8",15262,"Doubles sacrificed Currency","",1,22,8,"",1,"[24956,24961]"
49,"CurrencyAncient1",55631,"Doubles sacrificed Currency","",1,209,1,"",1,"[24954,24959]"
50,"CurrencyAncient2",14932,"Doubles sacrificed Currency","",1,209,2,"",1,"[24955,24960]"
51,"CurrencyAncient4",43751,"Doubles sacrificed Currency","",1,209,4,"",1,"[24956,24961]"
52,"CurrencyAnnulment1",62284,"Doubles sacrificed Currency","",1,203,1,"",1,"[24954,24959]"
53,"CurrencyAnnulment4",50518,"Doubles sacrificed Currency","",1,203,4,"",1,"[24955,24960]"
54,"CurrencyAnnulment8",33670,"Doubles sacrificed Currency","",1,203,8,"",1,"[24956,24961]"
55,"CurrencyExalted1",48788,"Doubles sacrificed Currency","",1,13,1,"",1,"[24954,24959]"
56,"CurrencyExalted4",63287,"Doubles sacrificed Currency","",1,13,4,"",1,"[24955,24960]"
57,"CurrencyExalted8",35965,"Doubles sacrificed Currency","",1,13,8,"",1,"[24956,24961]"
58,"CurrencyUnmaking3",56656,"Doubles sacrificed Currency","",1,9,3,"",1,"[24954,24959]"
59,"CurrencyUnmaking10",56643,"Doubles sacrificed Currency","",1,9,10,"",1,"[24953,24958]"
60,"CurrencyUnmaking20",52368,"Doubles sacrificed Currency","",1,9,20,"",1,"[24954,24959]"
61,"CurrencyHarbinger3",26435,"Doubles sacrificed Currency","",1,206,3,"",1,"[24954,24959]"
62,"CurrencyHorizon10",1387,"Doubles sacrificed Currency","",1,205,10,"",1,"[24953,24958]"
63,"CurrencyVeiledChaos3",44803,"Doubles sacrificed Currency","",1,3,3,"",1,"[24955,24960]"
64,"CurrencyChisel10",11387,"Doubles sacrificed Currency","",1,25,10,"",1,"[24953,24958]"
65,"CurrencyChisel20",42106,"Doubles sacrificed Currency","",1,25,20,"",1,"[24953,24958]"
66,"CurrencySacredOrb1",55009,"Doubles sacrificed Currency","",1,24,1,"",1,"[24956,24961]"
67,"HardModeMirrorRare",24003,"Item and Mirrored Copy","",3,"",0,"Mirrorable, Rare Item","","[24957,24962]"
68,"HardModeCommonUncommon",25785,"","",4,"",0,"","","[24954,24959]"
69,"HardModeUncommonRare",38286,"","",4,"",0,"","","[24955,24960]"
70,"HardModeRareMythic",30525,"","",4,"",0,"","","[24956,24961]"
71,"HardModeChanceOrb1",64080,"Doubles sacrificed Currency","",1,7,1,"",1,"[24953,24958]"
72,"HardModeChanceOrb2",28715,"Doubles sacrificed Currency","",1,7,2,"",1,"[24954,24959]"
73,"HardModeChanceOrb3",34338,"Doubles sacrificed Currency","",1,7,3,"",1,"[24955,24960]"
74,"HardModeAlterationOrb1",37138,"Doubles sacrificed Currency","",1,11,1,"",1,"[24953,24958]"
75,"HardModeAlterationOrb2",53590,"Doubles sacrificed Currency","",1,11,2,"",1,"[24954,24959]"
76,"HardModeAlterationOrb3",49801,"Doubles sacrificed Currency","",1,11,3,"",1,"[24955,24960]"
77,"HardModeFusingOrb1",18053,"Doubles sacrificed Currency","",1,20,1,"",1,"[24953,24958]"
78,"HardModeFusingOrb2",29225,"Doubles sacrificed Currency","",1,20,2,"",1,"[24954,24959]"
79,"HardModeFusingOrb3",13990,"Doubles sacrificed Currency","",1,20,3,"",1,"[24955,24960]"
80,"HardModeAlchemyOrb1",8716,"Doubles sacrificed Currency","",1,6,1,"",1,"[24954,24959]"
81,"HardModeAlchemyOrb2",49479,"Doubles sacrificed Currency","",1,6,2,"",1,"[24955,24960]"
82,"HardModeAlchemyOrb3",26804,"Doubles sacrificed Currency","",1,6,3,"",1,"[24956,24961]"
83,"HardModeChaosOrb1",36161,"Doubles sacrificed Currency","",1,2,1,"",1,"[24955,24960]"
84,"HardModeChaosOrb2",54541,"Doubles sacrificed Currency","",1,2,2,"",1,"[24956,24961]"
85,"HardModeVaalOrb1",50889,"Doubles sacrificed Currency","",1,33,1,"",1,"[24955,24960]"
86,"HardModeVaalOrb2",25329,"Doubles sacrificed Currency","",1,33,2,"",1,"[24956,24961]"
