"rownum","Id","WorldAreasKeys","i32","i32","BossMonsterSpawnChance","BossMonsterCount","BossMonster_MonsterVarietiesKeys","bool","i32","[string]","TagsKeys","MinLevel","MaxLevel","WorldAreas2","i32","PackFormation","i32","bool","[rid]","bool","bool","bool","bool","[string]"
0,"1_1_2a-cannibalfire",[7],1,3,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
1,"1_1_2a-bosspack",[7],4,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
2,"1_1_2-cannibalfire",[6],2,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
3,"1_1_2-bosspack",[6],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
4,"1_1_3a-bosspack",[9],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
5,"1_1_3-nestpack",[8],3,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
6,"1_1_3-bosspack",[8],3,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
7,"1_1_4_0-bosspack",[10],6,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
8,"1_1_5-bosspackmain",[12],2,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
9,"1_1_5-totembosspack",[12],2,5,100,1,"[1022,1023,1024,1025]","",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
10,"1_1_6-corpsewheels",[13],3,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
11,"1_1_6-bosspack",[13],5,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
12,"1_1_7_1-bosspack",[14],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
13,"1_1_7_2-bosspack",[15],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
14,"1_1_7_2-sawbonesskeletons",[15],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
15,"1_1_8-goatmanshamanbosspack",[16],4,4,100,1,[275],1,0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
16,"1_1_8-houndbosspack",[16],3,6,100,1,[333],1,0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
17,"1_1_11_1-bosspack",[19],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
18,"1_1_11_2-bosspack",[20],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
19,"1_1_11_2-merveilstatues",[20],1,1,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
20,"1_2_2a-bosspack",[24],8,14,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
21,"1_2_3-mossmonsteremerge",[25],1,1,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],"","","",1,[]
22,"1_2_3-bosspack",[25],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
23,"1_2_3-bandits",[25],2,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
24,"1_2_3-beast",[25],1,3,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
25,"1_2_4-bandits",[30],2,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
26,"1_2_5_1-bosspack",[26],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
27,"1_2_6_1-bosspack",[28],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
28,"1_2_6_2-bosspack",[29],8,12,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,"","",1,[]
