"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19955,0,11,100,1,6,1,1
1,19956,0,50,100,3,6,1,1
2,20007,0,11,100,1,6,1,1
3,20011,0,11,100,1,6,1,1
4,20012,0,11,100,1,6,1,1
5,20013,0,11,100,1,6,1,1
6,20014,0,11,100,1,6,1,1
7,20019,0,11,100,1,6,1,1
8,20022,150,11,100,1,3,1,1
9,20023,150,25,100,4,5,1,1
10,20024,75,68,100,6,7,1,1
11,20025,150,11,100,1,3,1,1
12,20026,150,25,100,4,5,1,1
13,20027,75,68,100,6,7,1,1
14,20028,150,11,100,1,3,1,1
15,20029,150,25,100,4,5,1,1
16,20030,75,68,100,6,7,1,1
17,20021,75,68,100,3,6,1,1
18,20031,150,40,100,1,3,1,1
19,20032,75,68,100,4,5,1,1
20,20020,37,68,100,6,7,1,1
21,20009,0,11,100,1,3,1,1
22,20033,0,25,100,4,5,1,1
23,20034,0,68,100,6,7,1,1
24,20035,0,68,100,6,7,1,1
25,20015,0,11,100,1,3,1,1
26,20036,0,25,100,4,5,1,1
27,20037,0,68,100,6,7,1,1
28,20010,150,11,100,1,3,1,1
29,20038,75,40,100,4,5,1,1
30,20039,37,68,100,6,7,1,1
31,20016,150,11,100,1,6,1,1
32,20017,75,68,100,4,7,1,1
33,20040,150,68,100,3,7,1,1
