"rownum","Id","[i32]","Script","[rid]","[rid]","rid","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"MicrotransactionBreachHandOnKill","[6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632,655373]","Delay( 1.0,\r\n{\r\n  PlayEffect( Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/breachhole.ao, scale:0.65 );\r\n} );",[],[],4,[],0,0,0,0,0,1778384896,2,0,0,0
1,"MicrotransactionSkySwordOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[585],[1216],"",[],0,0,0,0,0,-905969664,2,0,0,0
2,"MicrotransactionBirdsOnRareKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[586],[1217],1,[],0,0,0,0,0,738197504,3,0,0,0
3,"MicrotransactionMoltenLiquifyOnKill","[6619219,4391028,7471221,6619250,7602286,7209025,7143529,7602273,7274601,5439598,6619248,6553701,3145768,3145774,2687026,59,38797312,0,0,0,460062720,0,0,0,5046272,6488169,7274610,7471220,7209057,6357107,7602275,7274601,4325486,7274604,6553711,7209025,4653156,7471215,5177445,4915310,7077993,108,38993920,0,0,0,459997184,0,0,0,5373952,6881377,7667818,6488147,7667823,6750322,4980837,6750313,7602280,6881390,6750318,7209039,6881355,7077996,0,6963,0,0,0,6963,0,0,0,6963,0,0]","",[592],[],5,[7020],0,0,0,0,0,-671088640,3,0,0,0
4,"MicrotransactionBloodAndGoreOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[595],[],6,[7019],0,0,0,0,0,1073741824,4,0,0,0
5,"RaijuScourgeLightningOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[],[],"","[6963,6963,6963,6963,6963]",16777216,117440512,0,0,0,-905969664,4,0,0,0
6,"MicrotransactionCordycepBowOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","","[603,604]",[],"",[],0,0,33554432,0,0,805306368,5,0,0,0
7,"MicrotransactionStatueOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[],[],"",[7021],0,0,0,0,0,2080374784,5,0,0,0
8,"MicrotransactionAnchorOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[615],[],"",[7197],0,0,0,16777216,0,-268435456,5,687865856,4099932,0
9,"MicrotransactionSharkAttackOnKill","[6619204,6357100,2621561,3211296,3211310,2883635,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,7536687,6357096,7012466,6619183,7012464,6488111,7274600,7340141,6553701,6553695,7798895,3014766,7340133,2883691,3211296,3473454,2687008,852027,8192010,2687008,59,471728128,0,0,0,98041856,0,5046272,6488169,7274610]","",[],[],"",[7198],0,0,0,16777216,0,1543503872,7,0,4161536,0
10,"MicrotransactionTentacleConsumeOnKill","[6619204,6357100,2621561,3211296,3735598,852012,8060938,655373,2097184,2097184,6553665,4522084,6684774,6488165,5242996,6488161,2621547,5046304,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6881357,6488179,7471151,7471201,6226021,7209077,7405673,6619253,7012447,7077993,3080300,6619252,7602286,6488161,6619244,6619183,7012464,6488111,7274600,7340141,6553701,6553695,7798895,3014766,7340133,2883691,3211296,3473454,2687008,852027,8192010,2687008,59,471793664,0,0,0,471859200,0,0,0]","",[],[],"","[7199,7200,7201,7202,7203]",0,0,0,16777216,0,536870912,9,0,20938752,0
11,"MicrotransactionDragonFireOnKill","[6619204,6357100,2621561,3276832,3211310,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,7274543,6226030,6881387,7077996,4456495,6357106,7274599,6226030,6881350,6619250,6619183,7012464,6553647,7536745,7209065,6619252,7471207,7602273,6226021,7274596,7209079,6619182,7012464,2097196,3014705,2097205,3866665,655373,2097277,3866665,0,1296,0,0,0,1496,0,6881357,7471203,7602287,6357106]","",[],[1296],"",[],0,0,0,16777216,0,-2080374784,10,0,4194304,0
12,"MicrotransactionBlackHoleOnKill","[6619204,6357100,2621561,3014704,2883633,8060960,6815860,7536745,6422574,6357100,7012451,6815839,7077999,2097253,2097213,6881350,6553710,7077955,7536751,7536741,5177460,6946914,6488165,2621556,5046304,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6881357,6488179,7667759,6881390,7667825,7536741,4325423,6357100,7012451,7274568,6619244,6422575,6357100,7012451,7274600,6619244,2687008,2097211,6815860,7536745,6422574,6357100,7012451,6815839,7077999,6226021,7274608,6881395,6881396,7209071,3997728,6422560,6357100,7012451]","",[614],[1295],"",[],0,0,0,0,0,201326592,15,0,0,0
13,"MicrotransactionVaalPalmHoleOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[629],[1318],"",[],0,0,0,16777216,0,1946157056,15,-855638016,4050124,0
14,"MicrotransactionCelestialEmperorOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[631],[1344],"",[],0,0,0,0,0,-335544320,15,0,0,0
15,"MicrotransactionBlackstarMeteorOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[641],[1332],"",[],0,0,0,0,0,1509949440,16,0,0,0
16,"MicrotransactionNecroticFlamesOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[633],[1331],"",[],0,0,0,16777216,0,-973078528,16,0,4161536,500
17,"MicrotransactionAesirZeusLightningOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[635],[1333],"",[],0,0,0,16777216,0,1107296256,17,0,4194304,1600
18,"MicrotransactionSulphiteShatterOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[647],[1345],"",[],0,0,0,16777216,0,-1207959552,17,0,4161536,0
19,"MicrotransactionVoodooKingGlovesOnKillNormal","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[],[1390],"",[7394],0,0,0,0,0,1006632960,18,0,0,0
20,"MicrotransactionVoodooKingGlovesOnKillMagic","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[],[1390],"",[7394],0,0,0,0,0,-1241513984,18,0,0,0
