"rownum","Id","ItemVisualIdentity","ItemClass","i32"
0,"UniqueOneHandSword1",7462,9,1
1,"UniqueBow2",7471,13,1
2,"UniqueWand4",9400,8,1
3,"UniqueClaw4",9190,6,3
4,"UniqueStaff4",9437,14,4
5,"UniqueStaff9",10351,14,4
6,"UniqueBow4",8491,13,5
7,"UniqueDagger11",11068,7,5
8,"UniqueOneHandAxe3",9433,11,6
9,"UniqueRapier1",8470,10,7
10,"UniqueBow8",9002,13,9
11,"UniqueOneHandSword12",11077,9,10
12,"UniqueOneHandMace6",11079,12,10
13,"UniqueTwoHandSword2",7481,15,12
14,"UniqueClaw9",11073,6,12
15,"UniqueWand12",11620,8,24
16,"UniqueTwoHandAxe3",8494,16,13
17,"UniqueStaff13",11072,57,13
18,"UniqueDagger12",11069,7,15
19,"UniqueOneHandAxe7",11075,11,16
20,"UniqueTwoHandMace1",7477,17,17
21,"UniqueRapier2",9185,10,17
22,"UniqueDagger3",8484,56,20
23,"UniqueOneHandMace1",8489,12,20
24,"UniqueOneHandMace7",11080,12,20
25,"UniqueOneHandSword16",11688,9,20
26,"UniqueTwoHandMace7",9310,17,22
27,"UniqueOneHandSword7",9584,10,22
28,"UniqueTwoHandSword7",9836,15,22
29,"UniqueClaw6",9193,6,26
30,"UniqueRapier5",12047,10,26
31,"UniqueTwoHandMace2",7478,17,27
32,"UniqueOneHandSword4",9281,9,28
33,"UniqueBow11",9580,13,28
34,"UniqueOneHandSword13",11078,9,28
35,"UniqueOneHandAxe6",10911,11,29
36,"UniqueDagger2",7505,7,30
37,"UniqueWand9",10985,8,30
38,"UniqueBow3",7475,13,32
39,"UniqueOneHandMace8",11081,12,32
40,"UniqueTwoHandAxe2",8468,16,33
41,"UniqueClaw2",8515,6,34
42,"UniqueTwoHandMace10",11682,17,40
43,"UniqueSceptre1",8512,32,41
44,"UniqueSceptre2",9122,32,41
45,"UniqueRapier4",11690,10,43
46,"UniqueTwoHandSword1",7480,15,44
47,"UniqueDagger13",11684,56,44
48,"UniqueTwoHandAxe4",9001,16,45
49,"UniqueClaw8",10917,6,46
50,"UniqueOneHandClaw12",11666,6,46
51,"UniqueOneHandSword18",11722,9,47
52,"UniqueOneHandMace10",11686,12,50
53,"UniqueTwoHandSword3",8469,15,51
54,"UniqueStaff18",12192,14,52
55,"UniqueBow7",8504,13,53
56,"UniqueOneHandSword5",9344,9,53
57,"UniqueTwoHandMace4",8495,17,54
58,"UniqueTwoHandAxe14",11680,16,55
59,"UniqueSceptre10",10908,32,72
60,"UniqueWand11",11604,8,59
61,"UniqueTwoHandMace3",8479,17,57
62,"UniqueTwoHandAxe1",7461,16,58
63,"UniqueDagger8",9439,56,58
64,"UniqueOneHandSword11",10912,9,58
65,"UniqueWand1",8475,8,59
66,"UniqueOneHandAxe1",9213,11,65
67,"UniqueTwoHandSword10",11872,15,59
68,"UniqueOneHandMace4",10906,12,60
69,"UniqueOneHandSword19",11863,9,60
70,"UniqueClaw18",12267,6,60
71,"UniqueDagger16",12268,7,60
72,"UniqueDagger21",12333,7,60
73,"UniqueTwoHandSword11",11902,15,61
74,"UniqueBow5",8493,13,62
75,"UniqueBow6",8498,13,62
76,"UniqueClaw3",9156,6,62
77,"UniqueOneHandSword6",9581,9,62
78,"UniqueTwoHandAxe16",12474,16,62
79,"UniqueTwoHandMace11",11905,17,77
80,"UniqueOneHandAxe10",12308,11,63
81,"UniqueOneHandSword3",9202,9,64
82,"UniqueBow10",9320,13,64
83,"UniqueDagger9",9629,56,64
84,"UniqueTwoHandAxe10",11590,16,64
85,"UniqueOneHandSword17",11697,9,64
86,"UniqueOneHandAxe5",9425,11,65
87,"UniqueTwoHandSword8",10337,15,65
88,"UniqueTwoHandMace12",12171,17,65
89,"UniqueBow1",7467,13,66
90,"UniqueClaw1",8506,6,66
91,"UniqueBow9",9289,13,70
92,"UniqueOneHandMace5",10907,12,66
93,"UniqueClaw10",11538,6,66
94,"UniqueTwoHandAxe15",12167,16,66
95,"UniqueDagger17",12434,56,66
96,"UniqueTwoHandMace6",9279,17,67
97,"UniqueTwoHandSword6",9341,15,67
98,"UniqueStaff7",9588,57,71
99,"UniqueBow15",11710,13,68
100,"UniqueClaw14",11870,6,68
101,"UniqueOneHandSword20",11906,9,77
102,"UniqueBow17",12020,13,77
103,"UniqueTwoHandAxe13",12132,16,68
104,"UniqueOneHandSword24",12234,9,68
105,"UniqueOneHandAxe2",9365,11,69
106,"UniqueClaw13",11705,6,70
107,"UniqueClaw15",12023,6,77
108,"UniqueStaff20",12258,14,66
109,"UniqueStaff27",12318,57,60
110,"UniqueStaff22",12469,57,64
111,"UniqueStaff24",12590,57,68
112,"UniqueOneHandSword29",12521,9,56
113,"UniqueOneHandSword30",12522,9,56
114,"UniqueOneHandSword31",12874,9,62
115,"UniqueTwoHandSword12",12028,15,67
116,"UniqueTwoHandSword13",12028,15,67
117,"UniqueTwoHandSword14",13516,15,67
118,"UniqueDagger20",12314,7,60
119,"UniqueBow18",12067,13,58
120,"UniqueBow19",12068,13,58
121,"UniqueBow22",12644,13,57
122,"UniqueBow23",13462,13,58
123,"UniqueBow21",12454,13,75
124,"UniqueBow20",12435,13,62
125,"UniqueBow16",11887,13,64
126,"UniqueTwoHandAxe7",9553,16,64
127,"UniqueTwoHandAxe9",10995,16,66
