"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","[i32]","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool"
0,"Fire1",4978,100,0,24,1645,"[25,20]",[4],[],[],"[0,0,0,0]",4993,1203,4,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
1,"Fire2",4978,100,25,45,1645,"[30,25]",[4],[],[],"[0,0,0,0]",4993,1203,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
2,"Fire3",4978,100,46,67,1645,"[35,30]",[4],[],[],"[0,0,0,0]",4993,1203,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
3,"Fire4",4978,100,68,77,1645,"[40,35]",[4],[],[],"[0,0,0,0]",4993,1203,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
4,"Fire5",4978,100,78,100,1645,"[50,40]",[4],[],[],"[0,0,0,0]",4993,1203,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
5,"Cold1",4979,100,10,24,1646,"[25,20]",[4],[],[],"[0,0,0,0]",4994,1204,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
6,"Cold2",4979,100,25,45,1646,"[30,25]",[4],[],[],"[0,0,0,0]",4994,1204,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
7,"Cold3",4979,100,46,67,1646,"[35,30]",[4],[],[],"[0,0,0,0]",4994,1204,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
8,"Cold4",4979,100,68,77,1646,"[40,35]",[4],[],[],"[0,0,0,0]",4994,1204,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
9,"Cold5",4979,100,78,100,1646,"[50,40]",[4],[],[],"[0,0,0,0]",4994,1204,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
10,"ChaosPurple1",4980,50,46,67,1647,"[8,25]",[1],[],[],"[0,0,0,0]",4995,1205,5,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
11,"ChaosPurple2",4980,50,68,77,1647,"[10,35]",[1],[],[],"[0,0,0,0]",4995,1205,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
12,"ChaosPurple3",4980,50,78,100,1647,"[12,45]",[1],[],[],"[0,0,0,0]",4995,1205,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
13,"Lightning1",5053,100,0,24,1684,"[25,20]",[1],[],[],"[0,0,0,0]",5067,1212,4,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
14,"Lightning2",5053,100,25,45,1684,"[30,25]",[1],[],[],"[0,0,0,0]",5067,1212,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
15,"Lightning3",5053,100,46,67,1684,"[35,30]",[1],[],[],"[0,0,0,0]",5067,1212,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
16,"Lightning4",5053,100,68,77,1684,"[40,35]",[1],[],[],"[0,0,0,0]",5067,1212,6,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
