"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11705,"{0} Mana",1
1,"Life",13962,"{0} Life",1
2,"ES",14810,"{0} Energy Shield",1
3,"Rage",13999,"{0} Rage",1
4,"ManaPercent",13961,"{0}% Mana",1
5,"LifePercent",13963,"{0}% Life",1
6,"UnreservedManaPercent",14230,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14651,"{0} Mana per second",60
8,"LifePerMinute",14652,"{0} Life per second",60
9,"ManaPercentPerMinute",14655,"{0}% Mana per second",60
10,"LifePercentPerMinute",14656,"{0}% Life per second",60
11,"ESPerMinute",14723,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14724,"{0}% Energy Shield per second",60
