"rownum","BlightTowersKey","i32","MonsterVarietiesKey","Cost","i32"
0,0,1,7501,0,0
1,1,1,7502,100,0
2,2,1,7503,150,0
3,3,1,7504,300,0
4,4,1,7505,500,0
5,5,1,7506,500,0
6,6,11,7507,100,0
7,7,11,7508,150,0
8,8,11,7509,300,0
9,9,11,7510,500,0
10,10,11,7511,500,0
11,11,45,7512,100,0
12,12,45,7513,150,0
13,13,45,7514,300,0
14,14,45,7515,500,0
15,15,45,7516,500,0
16,16,20,7517,100,0
17,17,20,7518,150,0
18,18,20,7519,300,0
19,19,20,7520,500,0
20,20,20,7521,500,0
21,21,6,7522,100,0
22,22,6,7523,150,0
23,23,6,7524,300,0
24,24,6,7525,500,0
25,25,6,7526,500,0
26,26,1,7527,100,0
27,27,1,7528,150,0
28,28,1,7529,300,0
29,29,1,7530,500,0
30,30,1,7531,500,0
