"rownum","Id","InventoryIdKey","InventoryTypeKey","bool","bool","i32","bool","i32"
0,"MainInventory1",0,12,"","",5,"",17
1,"BodyArmour1",1,2,1,1,3,"",2
2,"Weapon1",2,2,1,1,4,"",0
3,"Offhand1",3,2,1,1,4,"",1
4,"Helm1",4,2,1,1,2,"",4
5,"Amulet1",5,1,1,1,1,"",11
6,"Ring1",6,1,1,1,1,"",8
7,"Ring2",6,1,1,1,1,"",9
8,"Gloves1",7,2,1,1,2,"",5
9,"Boots1",8,2,1,1,2,"",6
10,"Belt1",9,2,1,1,1,"",10
11,"Flask1",10,5,"",1,2,"",17
12,"Cursor1",11,4,1,"",4,"",17
13,"Map1",12,3,"","",2,"",17
14,"Weapon2",2,2,1,"",4,"",17
15,"Offhand2",3,2,1,"",4,"",17
16,"StrMasterCrafting",15,2,1,"",4,"",17
17,"StrDexMasterCrafting",15,2,1,"",4,"",17
18,"DexMasterCrafting",15,2,1,"",4,"",17
19,"DexIntMasterCrafting",15,2,1,"",4,"",17
20,"IntMasterCrafting",15,2,1,"",4,"",17
21,"StrIntMasterCrafting",15,2,1,"",4,"",17
22,"PVPMasterCrafting",15,2,1,"",4,"",17
23,"PassiveJewels1",13,60,"","",1,"",17
24,"AnimatedArmour1",14,10,"","",4,"",17
25,"GuildTag1",12,6,"","",1,"",17
26,"StashInventoryId",17,1,"","",1,"",17
27,"DivinationCardTrade",15,4,1,"",8,"",17
28,"Darkshrine",15,2,1,"",4,"",17
29,"TalismanTrade",15,5,"","",1,"",17
30,"Leaguestone1",16,3,"","",1,"",17
31,"BestiaryCrafting",15,2,1,"",4,"",17
32,"IncursionSacrifice",15,2,"","",5,"",17
33,"BetrayalUnveiling",15,2,1,"",4,"",17
34,"ItemSynthesisInput",15,6,"","",4,"",17
35,"ItemSynthesisOutput",15,2,1,"",4,"",17
36,"BlightCraftingInput",15,4,"","",1,"",17
37,"BlightCraftingItem",15,2,1,"",4,"",17
38,"DONOTUSE5",15,5,"","",1,"",17
39,"AtlasUpgrades1",28,4,"","",1,1,17
40,"AtlasUpgradesStorage",28,4,"","",1,1,17
41,"ExpeditionMapMission",15,1,1,"",1,"",17
42,"ExpeditionDeal1",15,2,1,"",4,"",17
43,"HarvestCraftingItem",15,2,1,"",4,"",17
44,"HeistContractMission",15,1,1,"",1,"",17
45,"HeistNpcEquipment1",34,7,"","",2,1,17
46,"HeistNpcEquipment2",34,7,"","",2,1,17
47,"HeistNpcEquipment3",34,7,"","",2,1,17
48,"HeistNpcEquipment4",34,7,"","",2,1,17
49,"HeistNpcEquipment5",34,7,"","",2,1,17
50,"HeistNpcEquipment6",34,7,"","",2,1,17
51,"HeistNpcEquipment7",34,7,"","",2,1,17
52,"HeistNpcEquipment8",34,7,"","",2,1,17
53,"HeistNpcEquipment9",34,7,"","",2,1,17
54,"Trinket1",35,1,1,1,1,"",17
55,"HeistBlueprintMission",15,1,1,"",1,"",17
56,"HeistStorage1",36,107,"","",12,1,17
57,"RitualSavedRewards1",37,100,"","",4,"",17
58,"DONOTUSE1",12,3,"","",2,1,17
59,"DONOTUSE2",12,3,"","",2,1,17
60,"DONOTUSE3",12,3,"","",2,1,17
61,"DONOTUSE4",12,3,"","",2,1,17
62,"RESERVED1",41,11,"","",6,"",17
63,"RESERVED2",42,5,"","",5,"",17
64,"RESERVED3",43,3,"","",1,"",17
65,"RESERVED4",12,64,"","",5,"",17
66,"UltimatumCraftingItem",44,2,1,"",4,"",17
67,"RESERVED5",41,1,1,"",1,"",17
68,"RESERVED6",41,5,"","",5,"",17
69,"ExpeditionStorage1",29,14,"","",9,1,17
70,"HellscapeModificationInventory1",45,6,"","",5,"",17
71,"DONOTUSE6",15,1,1,"",1,"",17
72,"SentinelDroneInventory1",48,6,"","",2,"",17
73,"SentinelStorage1",49,37,"","",10,1,17
74,"LakeTabletInventory1",50,1,1,"",1,"",17
75,"MemoryLineMaps",12,5,"","",1,1,17
76,"Relics1",52,5,"","",4,"",17
77,"RelicStorage1",53,12,"","",12,1,17
78,"SanctumSpecialRelic1",54,1,1,1,2,"",17
79,"RESERVED7",41,2,"","",4,"",17
80,"RESERVED8",41,2,"","",4,"",17
81,"RESERVED9",41,1,1,"",1,"",17
82,"CurrentSanctumRun1",55,1,1,"",1,"",17
83,"CraftPredictionScratch",15,6,"","",4,"",17
84,"ExpandedMainInventory1",0,4,"","",5,"",17
