"rownum","WorldArea","MonsterPacks","i32","i32"
0,6,"[1971,1972]",2,20000
1,7,"[1973,1974,1975]",2,10200
2,8,"[1976,1977,1978,1967]",2,24000
3,9,"[1979,1980,1981]",2,12000
4,10,"[1982,1983,1984]",2,9000
5,11,"[1985,1986,1987]",2,21600
6,12,"[1988,1989,1966]",2,30000
7,13,"[1990,1991,1966]",2,19200
8,14,"[1992,1993]",2,24000
9,15,"[1994,1995,1996]",2,30000
10,16,"[1966,1967]",2,27600
11,17,"[1997,1998,1999,2000,1967]",2,34800
12,18,"[2001,2002,2003,1967]",2,14400
13,19,"[1966,1967]",2,15600
14,20,"[2004,1966,1967]",2,15600
15,22,"[1966,1967]",2,18900
16,23,"[1968,1969]",2,21600
17,24,"[1968,1969]",2,21600
18,25,"[1967,1968,1969,2005]",2,29700
19,30,"[1967,1968,1969]",2,29025
20,26,"[2007,2006]",2,28350
21,27,"[1966,2008]",2,26325
22,28,"[2010,2009]",2,31725
23,29,"[2011,1966]",2,27000
24,31,"[1966,1967]",2,67500
25,32,"[1969,1967]",2,36450
26,33,"[1966,1967]",2,48600
27,34,"[1966,1967]",2,20250
28,35,"[2012,1966]",2,42525
29,36,"[1967,1970,1968,1969]",2,39150
30,37,"[1969,1967]",2,21600
31,38,"[1969,2013,2014]",2,40500
32,39,"[2015,1966]",2,48600
33,40,"[2016,2017,1968]",2,52650
34,42,"[2029,2032]",2,0
35,43,"[2032,2018]",2,0
36,44,"[2024,2027]",2,0
37,45,"[2031,2032]",2,0
38,46,"[2028,2032]",2,0
39,47,"[2018,2018]",2,0
40,48,"[2018,2027]",2,0
41,49,"[2021,2018]",2,0
42,50,"[2019,2020]",2,0
43,51,"[2031,2025]",2,0
44,52,"[2018,2030]",2,0
45,53,"[2018,2023]",2,0
46,54,"[2023,2022,2021]",2,0
47,55,"[2018,2024]",2,0
48,56,"[2031,2026,2030]",2,0
49,57,"[2032,2030,2029]",2,0
50,58,"[2031,2027]",2,0
51,59,"[2023,2022,2031]",2,0
52,61,"[2034,2035,2036,2037]",2,0
53,62,"[2037,2038]",2,0
54,63,[2039],1,0
55,64,[2040],1,0
56,65,[2041],1,0
57,66,"[2042,2043]",2,0
58,67,"[2042,2043]",2,0
59,68,[2044],1,0
60,69,[2044],1,0
61,70,"[2045,2046,2047]",2,0
62,71,"[2045,2046,2047,2048]",2,0
63,72,"[2045,2046,2047,2049,2050]",2,0
64,73,[2035],1,0
65,74,"[2052,2053]",2,0
66,76,"[2052,2053,2054,2055]",2,0
67,77,"[2054,2055,2056,2057]",2,0
68,78,"[2058,2054,2055,2059,2056,2060]",2,0
69,79,"[2061,2059,2056]",2,0
70,80,"[2059,2060,2056,2062,2061,2058]",2,0
71,81,"[2061,2062,2060,2059]",2,0
72,82,"[2063,2064,2065,2066]",2,0
73,83,"[2067,2068,2069,2070]",2,0
74,84,"[2071,2072]",2,0
