"rownum","rid","[rid]","[rid]","[rid]","[rid]","i32"
0,18116,[],[],[1921],[],3
1,9927,[],[],[1114],[],3
2,9926,[],[],[1113],[],3
3,4124,[],[],[550],[],3
4,4165,[],[],[552],[],3
5,13289,[],[],[1435],[],3
6,10766,[],[],[843],[],3
7,17685,[2582],[],[],[],3
8,18180,[],[],[],"[568,569]",3
9,18248,[3589],[],[],[],3
10,18453,[],[],[1944],[],3
11,10295,[],[],[485],[],3
12,18679,"[1728,1729,74]",[],[],[],3
13,18957,[3589],[],[],[],3
14,4134,[],[],[575],[],3
15,19028,[7237],[],[],[],3
16,19029,[7238],[],[],[],3
17,19030,[7239],[],[],[],3
18,18421,[],[],[],[589],1
19,18737,[],[],[],[608],1
20,19089,[],[],[2041],[],3
21,19354,"[7364,7365,7366]","[1347,1348]",[],[648],3
22,12167,[],[],[1337],[],3
23,19160,[7299],[],[2031],[],3
24,19077,[],[],[2024],[],3
