"rownum","Id","Order","Width","Height","TotalCount","i32","Name","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,41,2,"Flask",36,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",36,""
1,"Amulet",2,1,1,114,1,"Amulet",83,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",84,""
2,"Ring",3,1,1,127,1,"Ring",95,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",95,""
3,"Claw",4,2,2,44,2,"Claw",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",5,1,3,25,3,"Dagger",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",6,1,3,26,3,"Wand",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",22,""
6,"Sword",7,2,3,136,3,"Sword",54,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",55,""
7,"Axe",8,2,4,66,4,"Axe",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",9,2,4,116,4,"Mace",49,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",49,""
9,"Bow",10,2,4,70,4,"Bow",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",11,2,4,94,4,"Staff",36,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",37,""
11,"Quiver",12,2,3,54,3,"Quiver",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",21,""
12,"Belt",13,2,1,136,1,"Belt",55,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",55,""
13,"Gloves",14,2,2,178,2,"Gloves",80,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",80,""
14,"Boots",15,2,2,174,2,"Boots",72,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",72,""
15,"Body Armour",16,2,3,210,3,"Body Armour",91,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",92,""
16,"Helmet",17,2,2,250,2,"Helmet",102,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",103,""
17,"Shield",18,2,4,160,4,"Shield",67,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",68,""
18,"Map",19,1,1,32,1,"Map",30,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",30,""
19,"Jewel",20,1,1,192,1,"Jewel",108,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",108,""
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
