"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2310,140,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4443,140,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",5011,140,1044,2,1
4,"EssenceBloodworm",4309,140,"",1,""
5,"Essence Elemental Swarm 1st stage",394,140,113,4,1
6,"Essence Elemental Swarm 2nd stage",395,140,113,2,1
7,"Essence Elemental Swarm 3rd stage",396,140,113,2,1
8,"Essence Rock Golem",4563,140,"",1,1
9,"Essence Explosive Insect",1560,140,"",1,1
10,"Volatile Flameblood",5038,140,"",1,1
11,"Obsidian Golem",4244,140,"",1,1
12,"TormentedBetrayerBeacon",7430,140,"",1,""
13,"BlightDaemonFire",7744,140,113,1,""
14,"BlightDaemonCold",7746,140,115,1,""
15,"BlightDaemonLightning",7748,140,447,1,""
16,"BlightDaemonPhysical",7750,140,522,1,""
17,"BlightDaemonChaos",7752,140,1059,1,""
18,"MapVolatile",5050,140,"",1,""
19,"LegionVolatile",5041,140,"",1,""
