"rownum","Id","MiscAnimated","[i32]","[string]","string","string","string","string","i32","rid","rid","rid","rid","bool","i32"
0,"ChargeEndurance",2,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
1,"ChargeFrenzy",4,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
2,"ChargePower",3,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
3,"ChargeEnduranceElder",1787,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
4,"ChargeFrenzyElder",1788,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
5,"ChargePowerElder",1786,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
6,"ChargePowerAlternate",678,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
7,"ChargeFrenzyBloodDance",4138,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
8,"ChargeFrenzySuper",863,[],[],"orb_finish","","","",0,"","","","","",0
9,"ChargeSpirit",1690,[],[],"orb_finish","","","",0,"","","","","",0
10,"ChargeSiphoning",1828,[],[],"orb_finish","","","",0,536,"",537,"","",0
11,"ChargeVoid",1831,[],[],"orb_finish","","","",0,"","","","","",0
12,"ChargeDivine",2898,[],[],"orb_finish","","","",0,"","","","","",0
13,"ChargeInspiration",3479,[],[],"orb_finish","","","",0,538,539,"","",1,0
14,"ChargeBrutal",5088,[],[],"orb_finish","","","",0,538,539,537,"",1,0
15,"ChargeAffliction",5089,[],[],"orb_finish","","","",0,538,539,537,"",1,0
16,"ChargeAbsorption",5090,[],[],"orb_finish","","","",0,538,539,537,"",1,0
17,"BloodlinesChargeZeal",479,[],[],"orb_finish","","","",0,"","","","","",0
18,"BloodlinesChargeVigor",480,[],[],"orb_finish","","","",0,"","","","","",0
19,"CurseTemporalChains",34,[],[],"orb_finish","","","",0,"","","","","",0
20,"CurseTemporalChainsNew",4551,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0,"","","","","",0
21,"IzaroTemporalChains",860,[],[],"orb_finish","","","",0,"","","","","",0
22,"IzaroDeathTemporalChains",883,[],[],"orb_finish","","","",0,"","","","","",0
23,"CurseEnfeeble",41,[],[],"orb_finish","","","",0,"","","","","",0
24,"CurseVulnerability",44,[],[],"orb_finish","","","",0,"","","","","",0
25,"IzaroVulnerabilityOrb",862,[],[],"orb_finish","","","",0,"","","","","",0
26,"IzaroDeathVulnerabilityOrb",885,[],[],"orb_finish","","","",0,"","","","","",0
