"rownum","QuestFlag","i32","StatsKeys","StatValues","QuestKey","i32","ClientStringsKey","i32","StatValuesHardmode","ClientStringHardmode","rid"
0,116,1,[],[],4,0,"",0,[],"",""
1,46,1,[],[],6,0,"",0,[],"",""
2,228,0,[],[],3,0,"",2,[],"",""
3,263,1,[],[],8,0,"",0,[],"",""
4,54,0,"[1902,619,177]","[6,10,6]",16,0,"",0,"[6,10,6]","",""
5,56,0,"[131,95,141]","[300,20,15]",17,0,"",0,"[300,20,15]","",""
6,89,0,"[450,1033,26]","[60,2,20]",18,0,"",0,"[60,2,20]","",""
7,103,0,[],[],10,0,"",2,[],"",""
8,122,2,[],[],15,0,"",0,[],"",""
9,459,1,[],[],23,0,"",2,[],"",""
10,217,1,[],[],30,0,"",0,[],"",""
11,793,1,[],[],39,0,"",2,[],"",""
12,1068,1,[],[],65,0,"",0,[],"",""
13,1093,1,[],[],69,0,"",2,[],"",""
14,1171,1,[],[],72,0,"",0,[],"",""
15,1189,1,[],[],75,0,"",0,[],"",""
16,1183,0,[],[],73,0,"",2,[],"",""
17,1196,1,[],[],76,0,"",0,[],"",""
18,1277,1,[],[],77,0,"",0,[],"",""
19,1383,1,[],[],85,0,"",0,[],"",""
20,1313,1,[],[],82,0,"",2,[],"",""
21,1448,1,[],[],91,0,"",2,[],"",""
22,1435,1,[],[],89,0,"",0,[],"",""
23,1457,1,[],[],92,0,"",0,[],"",""
24,1569,1,[],[],97,0,"",0,[],"",""
25,1561,1,[],[],94,0,"",0,[],"",""
26,1619,0,[],[],96,0,"",2,[],"",""
27,1668,0,[],[],101,0,"",2,[],"",""
28,1674,1,[],[],103,0,"",0,[],"",""
29,1660,2,[],[],100,0,"",0,[],"",""
30,654,2,[],[],"",0,"",0,[],"",""
31,655,2,[],[],"",0,"",0,[],"",""
32,656,2,[],[],"",0,"",0,[],"",""
33,657,2,[],[],"",0,"",0,[],"",""
34,899,0,[],[],"",2,"",0,[],"",""
35,992,0,[],[],"",2,"",0,[],"",""
36,993,0,[],[],"",2,"",0,[],"",""
37,900,0,[],[],"",2,"",0,[],"",""
38,1085,0,"[141,150]","[-30,-30]",68,0,2899,0,"[-30,-30]",2899,""
39,59,0,"[141,150]","[-30,-30]",100,0,2900,0,"[-30,-30]",2900,""
40,2347,3,[],[],"",0,"",0,[],"",""
41,2290,3,[],[],"",0,"",2,[],"",""
42,2291,3,[],[],"",0,"",3,[],"",""
43,2292,3,[],[],"",0,"",3,[],"",""
44,2293,3,"[141,150]","[-30,-30]","",0,2899,3,"[-30,-30]",2899,""
45,2294,3,[],[],"",0,"",3,[],"",""
46,2295,3,[],[],"",0,"",3,[],"",""
47,2296,3,"[141,150]","[-30,-30]","",0,2900,3,"[-30,-30]",2900,""
48,2603,3,[],[],"",0,"",0,[],"",""
49,2604,3,[],[],"",0,"",2,[],"",""
50,2605,3,[],[],"",0,"",3,[],"",""
51,2606,3,[],[],"",0,"",3,[],"",""
52,2607,3,"[141,150]","[-30,-30]","",0,2899,3,"[-30,-30]",2899,""
53,2608,3,[],[],"",0,"",3,[],"",""
54,2609,3,[],[],"",0,"",3,[],"",""
55,2610,3,"[141,150]","[-30,-30]","",0,2900,3,"[-30,-30]",2900,""
56,3008,0,[],[],"",2,"",0,[],"",1
57,3009,0,[],[],"",2,"",0,[],"",1
58,3010,0,[],[],"",2,"",0,[],"",1
59,3011,0,[],[],"",2,"",0,[],"",1
60,3012,0,[],[],"",2,"",0,[],"",2
61,3013,0,[],[],"",2,"",0,[],"",2
62,3014,0,[],[],"",2,"",0,[],"",2
63,3015,0,[],[],"",2,"",0,[],"",2
64,3016,0,[],[],"",2,"",0,[],"",3
65,3017,0,[],[],"",2,"",0,[],"",3
66,3018,0,[],[],"",2,"",0,[],"",3
67,3019,0,[],[],"",2,"",0,[],"",3
