"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","i32","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]"
0,"Acceleration",0,"",365,30,1,366,"","",50,45,3,"",[9895],"",1,"",6036,6035,"","",[]
1,"Lightning",0,"",377,80,4,"",2788,2789,0,45,2,"",[9895],"","","",6038,6037,"","",[]
2,"Cold",0,"",376,80,4,"",2790,2791,0,45,0,"",[9895],"","","",6040,6039,"","",[]
3,"Fire",0,"",375,0,10,"",2786,2787,0,45,1,"",[9895],"","","",6042,6041,"","",[]
4,"Arc",0,"",378,0,10,"",2794,2795,0,45,2,"","[516,9895]","","","",6044,6043,"","",[]
5,"Criticals",0,"",373,30,1,374,"","",50,45,7,"",[9895],"",1,"",6046,6045,"","",[]
6,"Brutal",0,"",369,30,1,370,"","",50,45,5,"",[9895],"",1,"",6048,6047,"","",[]
7,"Thorns",0,"",371,0,40,372,"","",50,45,6,"","[519,9895]","",1,"",6050,6049,"","",[]
8,"Regen",0,1,367,30,1,368,"","",50,45,4,"",[9895],"",1,"",6052,6051,"","",[]
9,"Massive",0,"",385,60,10,386,"","",50,45,4,"",[9895],"",1,"",6054,6053,"","",[]
10,"Defence",0,"",387,80,25,388,"","",50,45,6,"",[9895],"",1,"",6056,6055,"","",[]
11,"Resistance",0,"",389,80,40,390,"","",50,45,6,"",[9895],"",1,"",6058,6057,"","",[]
12,"GodMode",0,"",391,10,60,392,"","",50,45,6,"",[9895],"",1,"",6060,6059,"","",[]
13,"Multi",0,"",382,10,60,381,"","",50,45,7,"",[9895],"",1,"",6062,6061,"","",[]
14,"Curses",0,"",384,0,25,383,"",3072,50,45,5,"","[526,9895]","","","",6064,6063,"","",[]
15,"Skeletons",0,"",379,40,25,"",2796,2797,0,45,8,"",[9895],"","","",6066,6065,"","",[]
16,"Smoke",0,"",380,60,40,"",2792,2793,0,45,9,"",[9895],"","","",6068,6067,"","",[]
17,"PVPAcceleration",45,"",365,100,0,"","","",0,12,3,1,[],"","","",6070,6069,"","",[]
18,"PVPRegen",45,1,367,100,0,"","","",0,12,4,1,[],"","","",6072,6071,"","",[]
19,"PVPBrutal",45,"",369,100,0,"","","",0,20,5,1,[],"","","",6074,6073,"","",[]
20,"CTFBrutal",45,"",369,100,0,"","","",0,20,5,1,[],1,"","",6076,6075,"","",[]
21,"CTFRegen",45,1,367,100,0,"","","",0,20,4,1,[],1,"","",6078,6077,"","",[]
22,"CTFMassive",45,"",385,100,0,"","","",0,20,4,1,[],1,"","",6080,6079,"","",[]
23,"CTFDefence",45,"",387,100,0,"","","",0,20,6,1,[],1,"","",6082,6081,"","",[]
24,"AccelerationLesser",0,"",394,30,1,"","","",0,20,3,"",[],"",1,1,6036,6083,"","",[]
25,"BrutalLesser",0,"",395,30,1,"","","",0,20,5,"",[],"",1,1,6048,6084,"","",[]
26,"RegenLesser",0,"",396,30,1,"","","",0,20,4,"",[],"",1,1,6052,6085,"","",[]
27,"MassiveLesser",0,"",397,60,1,"","","",0,20,4,"",[],"",1,1,6054,6086,"","",[]
28,"ResistanceLesser",0,"",398,80,1,"","","",0,20,6,"",[],"",1,1,6058,6087,"","",[]
29,"DefenceLesser",0,"",399,80,1,"","","",0,20,6,"",[],"",1,1,6056,6088,"","",[]
30,"Resonating",0,"",400,0,2,401,"","",50,45,10,"",[9895],"",1,"",6090,6089,"","",[]
31,"Gloom",0,"",402,0,2,403,"","",50,45,11,"",[9895],"",1,"",6092,6091,"","",[]
32,"RoyaleShrineAccelerating",60,"",404,100,0,"","","",0,10,3,"",[],"","","",6036,6035,1,"",[]
33,"RoyaleShrineBrutal",60,"",405,100,0,"","","",0,10,5,"",[],"","","",6048,6047,1,"",[]
34,"RoyaleShrineBurning",60,"",406,0,0,"",2786,2787,0,10,1,"",[],"","","",6042,6041,1,"",[]
35,"RoyaleShrineCharged",60,"",407,100,0,"","","",0,10,10,"",[],"","","",6090,6089,1,"",[]
36,"RoyaleShrineDiamond",60,"",408,100,0,"","","",0,10,7,"",[],"","","",6046,6045,1,"",[]
37,"RoyaleShrineEchoing",60,"",409,100,0,"","","",0,10,7,"",[],"","","",6062,6061,1,"",[]
38,"RoyaleShrineFreezing",60,"",410,0,0,"",2790,2791,0,10,0,"",[],"","","",6040,6039,1,"",[]
39,"RoyaleShrineGloom",60,"",411,0,0,"","","",0,10,11,"",[],"","","",6064,6091,1,"",[]
40,"RoyaleShrineHexing",60,"",412,100,0,"","",3072,0,10,5,"",[],"","","",6064,6063,1,"",[]
41,"RoyaleShrineImpenetrable",60,"",413,0,0,"","","",0,10,6,"",[],"","","",6056,6055,1,"",[]
42,"RoyaleShrineLightning",60,"",414,0,0,"",2788,2789,0,10,2,"",[],"","","",6038,6037,1,"",[]
43,"RoyaleShrineMassive",60,"",415,100,0,"","","",0,10,4,"",[],"","","",6054,6053,1,"",[]
44,"RoyaleShrineReplenishing",60,"",416,100,0,"","","",0,10,4,"",[],"","","",6052,6051,1,"",[]
45,"RoyaleShrineResistance",60,"",417,100,0,"","","",0,10,6,"",[],"","","",6058,6057,1,"",[]
46,"RoyaleShrineShrouded",60,"",418,0,0,"",2792,2793,0,10,9,"",[],"","","",6068,6067,1,"",[]
47,"RoyaleShrineStatic",60,"",419,0,0,"",2794,2795,0,10,2,"",[],"","","",6044,6043,1,"",[]
48,"Greed",0,"",424,0,0,423,"","",50,45,12,"",[9895],"",1,"",6109,6108,"","",[]
49,"BrineKing",0,"",482,0,0,483,"","",50,45,0,"",[9895],"",1,"",6443,6439,"",31786,"[2202,2203,2204,2205,2206]"
50,"Lunaris",0,"",484,0,0,485,"","",50,45,0,"",[9895],"",1,"",6444,6440,"",31783,"[2207,2208,2209,2210]"
51,"Solaris",0,"",486,0,0,487,"","",50,45,1,"",[9895],"",1,"",6445,6441,"",31784,"[2211,2212,2213,2214]"
52,"Arakaali",0,"",488,0,0,489,"","",50,45,11,"",[9895],"",1,"",6446,6442,"",31785,"[2215,2216,2217,2218]"
