"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5549,100,0,25,100
1,5550,100,0,25,100
2,5551,100,0,25,100
3,5552,100,0,25,100
4,5553,100,0,25,100
5,5554,100,10,100,100
6,5555,100,10,100,100
7,5556,100,10,100,100
8,5557,100,10,100,100
9,5558,100,25,100,100
10,5559,100,25,100,100
11,5562,100,25,100,100
12,5565,100,25,100,100
13,5568,100,25,100,100
14,5571,100,46,100,100
15,5574,100,46,100,100
16,5577,100,46,100,100
17,5580,100,46,100,100
18,5583,100,46,100,100
19,5586,20,60,100,40
20,5587,20,60,100,40
21,5588,20,60,100,40
22,5589,20,60,100,40
23,5590,20,60,100,40
24,5591,20,60,100,40
25,5592,20,60,100,40
26,5593,20,60,100,40
27,5594,20,60,100,40
