"rownum","Id","Description"
0,"BetterSellPrice","Item is overvalued by vendors"
1,"LuckyMods","Numeric modifier values are lucky\r\nHigh Level modifiers are more common"
2,"RandomModifier","Can have any Fossil modifiers"
3,"CorruptEssence","Has a Corrupt Essence modifier"
4,"Duplicate","Creates a split copy"
5,"AbyssSocket","Has an Abyssal socket"
6,"VaalMod","Has a Vaal modifier"
7,"Sockets","More sockets\r\nCan have white sockets"
8,"LabryinthEnchant","Has a Labyrinth Enchantment"
9,"Quality","Improved Quality"
10,"MorePhysical","More Physical modifiers"
11,"MoreFire","More Fire modifiers"
12,"MoreCold","More Cold modifiers"
13,"MoreLightning","More Lightning modifiers"
14,"MoreChaos","More Chaos modifiers"
15,"MoreElemental","More Elemental modifiers"
16,"MoreBleedPoison","More Physical Ailment or Chaos Ailment modifiers"
17,"MoreLife","More Life modifiers"
18,"MoreDefences","More Defence modifiers"
19,"MoreCaster","More Caster modifiers"
20,"MoreAttack","More Attack modifiers"
21,"MoreMana","More Mana modifiers"
22,"MoreSpeed","More Speed modifiers"
23,"MoreMinionAura","More Minion, Aura or Curse modifiers"
24,"MoreGemLevel","More Gem modifiers"
25,"LessCaster","Fewer Caster modifiers"
26,"LessAttack","Fewer Attack modifiers"
27,"NoPhysical","No Physical modifiers"
28,"NoFire","No Fire modifiers"
29,"NoCold","No Cold modifiers"
30,"NoLightning","No Lightning modifiers"
31,"NoChaos","No Chaos modifiers"
32,"NoLife","No Life modifiers"
33,"NoDefences","No Defence modifiers"
34,"NoElemental","No Elemental modifiers"
35,"NoBleedPoison","No Physical Ailment or Chaos Ailment Modifiers"
36,"NoMana","No Mana modifiers"
37,"NoSpeed","No Speed modifiers"
