"rownum","Id","Order","Width","Height","i32","i32","Name","i32","Image","i32"
0,"Flask",1,1,2,38,2,"Flask",29,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",33
1,"Amulet",2,1,1,99,1,"Amulet",72,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",72
2,"Ring",3,1,1,117,1,"Ring",90,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",90
3,"Claw",4,2,2,44,2,"Claw",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",21
4,"Dagger",5,1,3,25,3,"Dagger",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",22
5,"Wand",6,1,3,26,3,"Wand",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",24
6,"Sword",7,2,3,128,3,"Sword",56,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",56
7,"Axe",8,2,4,66,4,"Axe",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",31
8,"Mace",9,2,4,114,4,"Mace",52,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",53
9,"Bow",10,2,4,66,4,"Bow",30,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",30
10,"Staff",11,2,4,86,4,"Staff",37,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",37
11,"Quiver",12,2,3,50,3,"Quiver",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",22
12,"Belt",13,2,1,124,1,"Belt",51,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",51
13,"Gloves",14,2,2,162,2,"Gloves",72,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",75
14,"Boots",15,2,2,162,2,"Boots",68,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",71
15,"Body Armour",16,2,3,196,3,"Body Armour",92,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",92
16,"Helmet",17,2,2,228,2,"Helmet",99,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",102
17,"Shield",18,2,4,150,4,"Shield",68,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",69
18,"Map",19,1,1,31,1,"Map",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",31
19,"Jewel",20,1,1,165,1,"Jewel",158,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",158
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5
