"rownum","BuffDefinitions","[i32]","StatsKeys","i32","[i32]","i32","i32","[i32]"
0,859,[],"[477,447]",0,[],0,0,[]
1,878,[],"[6260,6264]",0,[],1,0,[]
2,904,[],[346],25,"[1,2,0]",2,0,[]
3,906,"[1,1]",[477],0,[],3,0,[]
4,908,[],"[173,172,6268,1118]",0,[],4,0,[]
5,910,[],"[24,477,70,177]",0,[],5,0,[]
6,1090,[],"[24,70,216,177,477]",0,[],6,0,[]
7,903,[],"[6399,6400,6401]",0,[],7,0,[]
8,1151,[1],[],30,[2],8,0,[]
9,1265,[],[],0,[],9,0,[]
10,1312,[],"[177,70]",0,[],10,0,[]
11,1395,[],[24],0,[],11,0,[]
12,1406,[],"[718,24]",0,[],12,0,[]
13,1432,[],"[43,44,611,5014,477]",0,[],13,0,[]
14,1433,[],"[50,51,7448,477]",0,[],14,0,[]
15,1434,[],"[57,58,7449,477,659]",0,[],15,0,[]
16,1435,[],"[28,29,477,1910]",0,[],16,0,[]
17,1443,[],[140],0,[],17,0,[]
18,1447,[],[1961],200,"[2,9,13]",18,100,[]
19,1447,[],[1961],200,"[2,9,13]",19,85,[]
20,1447,[],[1961],200,"[2,9,13]",20,70,[]
21,1447,[],[1961],200,"[2,9,13]",21,55,[]
22,1447,[],[1961],200,"[2,9,13]",22,35,[]
23,1419,[],"[5893,5894,5896,5897,346]",74,"[2,9,10]",23,0,[]
24,1420,[],"[5893,5894,5896,5897,346]",55,"[2,9,10]",24,0,[]
25,1458,[],"[5893,5894,5896,5897,346]",74,"[2,9,18]",25,0,[]
26,1459,[],"[5893,5894,5896,5897,346]",55,"[2,9,18]",26,0,[]
27,911,[],"[24,477,70,177,3424]",0,[],28,0,[]
28,907,"[1,1,1]",[477],0,[],29,0,[]
29,909,[],"[173,172,6268,1118,10660]",0,[],30,0,[]
30,905,[],[346],35,"[1,0]",31,0,[]
31,912,[],"[595,659]",0,[],32,0,[]
32,1661,[],[1960],23,"[2,4,9]",33,0,[]
33,1661,[],[1960],11,"[2,4,9]",34,0,[]
34,1722,[],"[477,151,153]",16,"[2,10]",35,0,[]
35,1725,[],[346],0,[],36,0,[]
36,1741,[-8],[1964],120,"[2,9,10]",37,0,[]
37,1745,[],[477],28,"[1,9,14]",38,0,[]
38,1724,[],[346],120,"[0,1,2,9]",39,0,[]
39,1752,[],"[139,138]",0,[],40,0,[]
40,1661,[],[1960],23,"[2,3,9]",41,0,[]
41,1661,[],[1960],11,"[2,3,9]",42,0,[]
42,1780,[],[2576],14,[2],43,0,[]
43,1781,[],[2576],14,[2],44,0,[400]
44,1807,[],[],0,[],45,0,[]
45,1872,[],[1958],150,"[2,9,13]",46,55,[]
46,1809,[10],[],0,[],1000,0,"[1,50]"
