"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","i32","i32","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","[rid]","bool"
0,987,0,339,[],[],8515,"",[],[],0,"",[],1,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
1,988,0,339,[],[],8515,"",[],[],0,"",[],1,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
2,989,0,339,[],[],8515,"",[],[],0,"",[],1,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
3,3906,0,339,[],[],8515,"",[],[],0,"",[],3,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
4,3913,0,339,[],[],8515,"",[],[],0,"",[],3,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
5,3920,0,339,[],[],8515,"",[],[],0,"",[],3,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
6,3920,1,339,[1234],[20],6442,"",[],[],0,"",[7381],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],288,0,0,[],30,0,[],[],[],[],[],""
7,5635,0,339,[],[],8515,"",[],[],0,"",[],3,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
8,5636,0,339,[],[],8515,"",[],[],0,"",[],3,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
9,5637,0,339,[],[],8515,"",[],[],0,"",[],3,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
10,5638,0,339,[],[],8515,"",[],[],0,"",[],3,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
11,453,0,484,[10607],[1],8452,"",[],[],0,473,[],4,"","","",[],344,0,0,[],150,0,[],[],[],[],[],""
12,453,1,484,[10607],[1],8479,1,[],[],0,473,[],4,"","","",[],344,0,56,[],0,0,[],[],[],[],[],""
13,453,2,484,[10607],[1],8490,1,"[175,318,4570]","[200,400,1]",0,473,[],0,"","","",[],460,0,53,[],0,0,[],[],[],[],[],""
14,453,3,484,[10607],[1],8483,1,[1215],[200],0,473,[],0,"","","",[],344,0,52,[],0,0,[],[],[],[],[],""
15,2427,0,339,[],[],8515,"",[],[],0,"",[],2,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
16,2427,1,642,[],[],8471,40,[173],[4],0,"",[],2,"","","",[],542,0,49,[],0,0,[],[],[],[],[],""
17,2390,0,339,[],[],8515,"",[],[],0,"",[],2,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
18,2390,1,642,[],[],8471,40,[173],[4],0,"",[],2,"","","",[],542,0,49,[],0,0,[],[],[],[],[],""
19,2395,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
20,2395,2,1885,[],[],8535,51,"[173,2513]","[4,10]",0,"",[1886],0,"","","",[],636,0,81,[],-50,0,[],[],[],[],[],""
21,2395,3,1885,[],[],8537,51,"[3223,5782]","[20,-40]",0,"",[1886],0,"","","",[],716,0,82,[],-50,0,[],[],[],[],[],""
22,2395,4,1885,[],[],8477,51,"[173,2513]","[0,5]",0,"",[1886],0,"","","",[],796,0,51,[],0,0,[],[],[],[],[],""
23,2430,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
24,2430,2,1885,[],[],8535,51,"[173,2513]","[4,10]",0,"",[1886],0,"","","",[],636,0,81,[],-50,0,[],[],[],[],[],""
25,2430,3,1885,[],[],8537,51,"[3223,5782]","[20,-40]",0,"",[1886],0,"","","",[],716,0,82,[],-50,0,[],[],[],[],[],""
26,2430,4,1885,[],[],8477,51,"[173,2513]","[0,5]",0,"",[1886],0,"","","",[],796,0,51,[],0,0,[],[],[],[],[],""
27,2453,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
28,2453,3,1970,[214],[8],8501,51,"[175,634,6184]","[50,-60,2]",0,"",[],0,"","","",[],1040,0,62,[],0,0,[],[],[],[],[],""
29,2393,0,346,[],[],8515,"",[],[],0,"",[],0,"","","",[],1066,0,0,[],0,0,[],[],[],[],[],""
30,2393,1,2762,[],[],8496,24,[],[],0,"",[],0,"","","",[],1092,0,57,[],0,0,[],[],[],[],[],""
31,2393,2,1076,[],[],8498,32,[],[],0,"",[],0,"","","",[],1116,0,58,[],0,0,[],[],[],[],[],""
32,2393,3,1208,[],[],8492,32,"[1826,612,357]","[20,50,-2400]",0,"",[],0,"","","",[],1218,0,55,[],0,0,[],[],[],[],[],""
33,2393,4,1208,[2163],[3],8543,32,[],[],0,"",[],0,"","","",[],1262,0,0,[],-40,0,[],[],[],[],[],""
34,1018,0,339,[],[],8515,"",[],[],0,"",[],5,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
35,1020,0,339,[],[],8515,"",[],[],0,"",[],5,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
