"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,7780
1,0,2,7781
2,0,3,7782
3,0,4,7783
4,1,1,7768
5,1,2,7769
6,1,3,7770
7,1,4,7771
8,2,1,7772
9,2,2,7773
10,2,3,7774
11,2,4,7775
12,3,1,7776
13,3,2,7777
14,3,3,7778
15,3,4,7779
16,4,1,7788
17,4,2,7789
18,4,3,7790
19,4,4,7791
20,5,1,7792
21,5,2,7793
22,5,3,7794
23,5,4,7795
24,6,1,7800
25,6,2,7801
26,6,3,7802
27,6,4,7803
28,7,1,7804
29,7,2,7805
30,7,3,7806
31,7,4,7807
32,8,1,7808
33,8,2,7809
34,8,3,7810
35,8,4,7811
36,9,1,7812
37,9,2,7813
38,9,3,7814
39,9,4,7815
40,10,1,7816
41,10,2,7817
42,10,3,7818
43,10,4,7819
44,11,1,7820
45,11,2,7821
46,11,3,7822
47,11,4,7823
48,12,1,7824
49,12,2,7825
50,12,3,7826
51,12,4,7827
52,13,1,7796
53,13,2,7797
54,13,3,7798
55,13,4,7799
56,14,1,7828
57,14,2,7829
58,14,3,7830
59,14,4,7831
60,15,1,7832
61,15,2,7833
62,15,3,7834
63,15,4,7835
