"rownum","Id","ChestsKey","SpawnWeight","MinLabyrinthTier","MaxLabyrinthTier"
0,"Metadata/Chests/Labyrinth/Izaro/IzaroChest1",364,200,1,3
1,"Metadata/Chests/Labyrinth/Izaro/IzaroChest2",365,100,1,3
2,"Metadata/Chests/Labyrinth/Izaro/IzaroChest3",366,50,1,3
3,"Metadata/Chests/Labyrinth/Izaro/IzaroChest4",367,5,1,3
4,"Metadata/Chests/Labyrinth/Izaro/IzaroChest5",368,200,1,3
5,"Metadata/Chests/Labyrinth/Izaro/IzaroChest6",369,100,1,3
6,"Metadata/Chests/Labyrinth/Izaro/IzaroChest7",370,200,1,3
7,"Metadata/Chests/Labyrinth/Izaro/IzaroChest8",371,100,1,3
8,"Metadata/Chests/Labyrinth/Izaro/IzaroChest9",372,200,1,3
9,"Metadata/Chests/Labyrinth/Izaro/IzaroChest10",373,100,1,3
10,"Metadata/Chests/Labyrinth/Izaro/IzaroChest11",374,200,1,3
11,"Metadata/Chests/Labyrinth/Izaro/IzaroChest12",375,100,1,3
12,"Metadata/Chests/Labyrinth/Izaro/IzaroChest14",377,100,1,3
13,"Metadata/Chests/Labyrinth/Izaro/IzaroChest15",378,100,1,3
14,"Metadata/Chests/Labyrinth/Izaro/IzaroChest16",379,500,1,3
15,"Metadata/Chests/Labyrinth/Izaro/IzaroChest17",380,100,1,3
16,"Metadata/Chests/Labyrinth/Izaro/IzaroChest18",381,100,1,3
17,"Metadata/Chests/Labyrinth/Izaro/IzaroChest20",383,5,1,3
18,"Metadata/Chests/Labyrinth/Izaro/IzaroChest21",384,200,4,4
19,"Metadata/Chests/Labyrinth/Izaro/IzaroChest22",385,50,4,4
20,"Metadata/Chests/Labyrinth/Izaro/IzaroChest23",386,200,4,4
21,"Metadata/Chests/Labyrinth/Izaro/IzaroChest24",387,15,4,4
22,"Metadata/Chests/Labyrinth/Izaro/IzaroChest13",376,50,4,4
23,"Metadata/Chests/Labyrinth/Izaro/IzaroChest19",382,20,4,4
24,"Metadata/Chests/Labyrinth/Izaro/IzaroChest25",389,120,4,4
25,"Metadata/Chests/Labyrinth/Izaro/IzaroChest26",390,160,4,4
26,"Metadata/Chests/Labyrinth/Izaro/IzaroChest27",391,200,4,4
27,"Metadata/Chests/Labyrinth/Izaro/IzaroChest28",392,200,4,4
28,"Metadata/Chests/Labyrinth/Izaro/IzaroChest29",393,200,4,4
29,"Metadata/Chests/Labyrinth/Izaro/IzaroChest30",394,200,4,4
30,"Metadata/Chests/Labyrinth/Izaro/IzaroChest31",395,200,4,4
31,"Metadata/Chests/Labyrinth/Izaro/IzaroChest32",396,200,4,4
32,"Metadata/Chests/Labyrinth/Izaro/IzaroChest33",397,200,4,4
33,"Metadata/Chests/Labyrinth/Izaro/IzaroChest34",398,200,4,4
34,"Metadata/Chests/Labyrinth/Izaro/IzaroChest35",399,120,4,4
35,"Metadata/Chests/Labyrinth/Izaro/IzaroChest36",400,200,4,4
36,"Metadata/Chests/Labyrinth/Izaro/IzaroChest37",401,200,4,4
37,"Metadata/Chests/Labyrinth/Izaro/IzaroChest38",402,15,4,4
38,"Metadata/Chests/Labyrinth/Izaro/IzaroChest39",403,200,4,4
39,"Metadata/Chests/Labyrinth/Izaro/IzaroChest40",404,200,4,4
40,"Metadata/Chests/Labyrinth/Izaro/IzaroChest41",388,100,4,4
41,"Metadata/Chests/Labyrinth/Izaro/IzaroChest42",405,200,5,5
42,"Metadata/Chests/Labyrinth/Izaro/IzaroChest43",406,200,5,5
43,"Metadata/Chests/Labyrinth/Izaro/IzaroChest45",408,100,5,5
44,"Metadata/Chests/Labyrinth/Izaro/IzaroChest46",409,50,5,5
45,"Metadata/Chests/Labyrinth/Izaro/IzaroChest47",410,200,5,5
46,"Metadata/Chests/Labyrinth/Izaro/IzaroChest48",411,20,5,5
47,"Metadata/Chests/Labyrinth/Izaro/IzaroChest49",412,100,5,5
48,"Metadata/Chests/Labyrinth/Izaro/IzaroChest50",413,150,5,5
49,"Metadata/Chests/Labyrinth/Izaro/IzaroChest51",414,150,5,5
50,"Metadata/Chests/Labyrinth/Izaro/IzaroChest52",415,100,5,5
51,"Metadata/Chests/Labyrinth/Izaro/IzaroChest53",416,50,5,5
52,"Metadata/Chests/Labyrinth/Izaro/IzaroChest54",417,100,5,5
53,"Metadata/Chests/Labyrinth/Izaro/IzaroChest55",418,200,5,5
54,"Metadata/Chests/Labyrinth/Izaro/IzaroChest56",419,200,5,5
55,"Metadata/Chests/Labyrinth/Izaro/IzaroChest57",420,10,5,5
56,"Metadata/Chests/Labyrinth/Izaro/IzaroChest58",421,60,5,5
57,"Metadata/Chests/Labyrinth/Izaro/IzaroChest59",422,100,5,5
58,"Metadata/Chests/Labyrinth/Izaro/IzaroChest60",423,50,5,5
59,"Metadata/Chests/Labyrinth/Izaro/IzaroChest62",425,200,5,5
