"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","i32","bool","bool","[i32]","[i32]","i32","bool"
0,6134,1942,1944,1,1,20,60,1,20,120,"",1,[],[],0,1
1,5875,2189,2189,1,1,20,60,1,20,120,"",1,[],[],0,1
2,6133,2189,2189,1,1,20,60,1,20,120,1,1,[],[],0,1
3,6444,2623,2623,1,1,20,60,1,20,120,"","",[],[],0,1
4,6445,2623,2623,1,1,20,60,1,20,120,"",1,[],[],0,1
5,6446,2623,2623,1,1,20,60,1,20,120,"",1,[],[],0,1
6,4696,1074,1074,1,1,20,60,1,20,120,"","",[],[],0,1
7,7202,3467,3467,1,1,20,60,0,20,120,"","",[],[],0,1
8,7404,3737,3737,1,1,20,60,1,20,120,"",1,[],[],0,1
9,7405,3737,3737,1,1,20,60,1,20,120,"",1,[],[],0,1
10,7408,3737,3737,1,1,105,105,1,40,120,1,1,[],[],0,1
11,7409,3737,3737,1,1,105,105,1,40,120,1,1,[],[],0,1
12,7745,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
13,7746,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
14,7747,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
15,7748,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
16,7749,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
17,7750,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
18,7751,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
19,7752,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
20,7753,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
21,7755,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
22,7757,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
23,7758,4399,4399,1,"",15,30,1,15,120,"",1,[],[],30,""
24,8216,4399,4399,1,1,15,0,1,5,60,"","",[],[],0,""
