"rownum","Id","Value","i32"
0,"MonsterDamageReductionImprovement",690,100
1,"MonsterAccuracyBase",13,1
2,"MonsterAccuracyIncremental",38,1
3,"MonsterAccuracyImprovement",300,100
4,"MonsterEvasionBase",40,1
5,"MonsterEvasionIncremental",12,1
6,"MonsterEvasionIncrementalDexterity",10,1
7,"MonsterEvasionImprovement",253,100
8,"EnergyShieldRatioOfLife",40,1
9,"OldLeechModsEffectiveness",20,1
10,"AscendancyRespecCost",5,1
11,"SkillDamageBaseEffectiveness",3885209,1000000
12,"SkillDamageIncrementalEffectiveness",360246,1000000
13,"MaxHideoutDoodads",750,1
