"rownum","MetamorphosisRewardTypesKey","i32","Description"
0,0,0,"Drops additional Currency Items"
1,0,1,"Drops additional Currency Items"
2,0,2,"Drops additional Currency Items"
3,0,3,"Drops additional Currency Items"
4,0,4,"Drops additional Currency Items"
5,0,5,"Drops additional Currency Items"
6,0,6,"Drops additional Currency Items"
7,0,7,"Drops additional Currency Items"
8,0,8,"Drops additional Currency Items"
9,0,9,"Drops additional Currency Items"
10,0,10,"Drops additional Currency Items"
11,0,11,"Drops additional Currency Items"
12,0,12,"Drops additional Currency Items"
13,0,13,"Drops additional Currency Items"
14,0,14,"Drops additional Currency Items"
15,0,15,"Drops additional Currency Items"
16,1,0,"Drops a Unique Item"
17,1,1,"Drops additional Unique Items"
18,1,2,"Drops a League-specific Unique Item"
19,2,0,"Drops additional Quality Gems"
20,2,1,"Drops additional Quality Gems"
21,2,2,"Drops additional Quality Gems"
22,2,3,"Drops additional Quality Gems"
23,2,4,"Drops additional Quality Gems"
24,2,5,"Drops additional Quality Gems"
25,2,6,"Drops additional Quality Gems"
26,2,7,"Drops a valuable Gem"
27,2,8,"Drops a valuable Gem"
28,2,9,"Drops a valuable Gem"
29,2,10,"Drops a valuable Gem"
30,2,11,"Drops a valuable Gem"
31,2,12,"Drops a valuable Gem"
32,2,13,"Drops a valuable Gem"
33,3,0,"Drops additional Maps"
34,3,1,"Drops additional Maps"
35,3,2,"Drops additional Maps"
36,3,3,"Drops additional Maps"
37,3,4,"Drops additional Maps"
38,3,5,"Drops additional Maps"
39,3,6,"Drops additional Maps"
40,3,7,"Drops additional Maps"
41,3,8,"Drops additional Maps"
42,3,9,"Drops additional Maps"
43,4,0,"Drops additional Rare Jewellery"
44,4,1,"Drops additional Rare Jewellery"
45,4,2,"Drops additional Rare Jewellery"
46,4,3,"Drops additional Rare Jewellery"
47,4,4,"Drops additional Atlas Jewellery"
48,4,5,"Drops additional Incursion Jewellery"
49,4,6,"Drops additional Incursion Jewellery"
50,4,7,"Drops additional Incursion Jewellery"
51,4,8,"Drops additional Incursion Jewellery"
52,4,9,"Drops additional Shaper or Elder Jewellery"
53,4,10,"Drops additional Shaper or Elder Jewellery"
54,4,11,"Drops additional Veiled Jewellery"
55,4,12,"Drops additional Veiled Jewellery"
56,4,13,"Drops additional Unique Jewellery"
57,4,14,"Drops additional Jewels"
58,4,15,"Drops additional Jewels"
59,4,16,"Drops additional Jewels"
60,4,17,"Drops additional Jewels"
61,5,0,"Drops additional Rare Armour"
62,5,1,"Drops additional Rare Armour"
63,5,2,"Drops additional Rare Armour"
64,5,3,"Drops additional Rare Armour"
65,5,4,"Drops additional Unique Armour"
66,5,5,"Drops additional Shaper Armour"
67,5,6,"Drops additional Elder Armour"
68,5,7,"Drops additional Veiled Armour"
69,5,8,"Drops additional Veiled Armour"
70,5,9,"Drops additional Incursion Armour"
71,5,10,"Drops additional Incursion Armour"
72,5,11,"Drops additional Incursion Armour"
73,5,12,"Drops additional Incursion Armour"
74,5,13,"Drops additional Incursion Armour"
75,5,14,"Drops additional Incursion Armour"
76,5,15,"Drops additional Incursion Armour"
77,5,16,"Drops additional Incursion Armour"
78,5,17,"Drops a 6-linked Unique Body Armour"
79,6,0,"Drops a Rare Weapon"
80,6,1,"Drops a Rare Weapon"
81,6,2,"Drops a Rare Weapon"
82,6,3,"Drops additional Rare Weapons"
83,6,4,"Drops a Unique Weapon"
84,6,5,"Drops a Shaper Weapon"
85,6,6,"Drops an Elder Weapon"
86,6,7,"Drops a Veiled Weapon"
87,6,8,"Drops a Veiled Weapon"
88,6,9,"Drops an Incursion Weapon"
89,6,10,"Drops an Incursion Weapon"
90,6,11,"Drops an Incursion Weapon"
91,6,12,"Drops an Incursion Weapon"
92,6,13,"Drops an Incursion Weapon"
93,6,14,"Drops an Incursion Weapon"
94,6,15,"Drops an Incursion Weapon"
95,6,16,"Drops an Incursion Weapon"
96,6,17,"Drops an Incursion Weapon"
97,6,18,"Drops an Incursion Weapon"
98,6,19,"Drops an Incursion Weapon"
99,6,20,"Drops an Incursion Weapon"
100,6,21,"Drops an Incursion Weapon"
101,6,22,"Drops an Incursion Weapon"
102,6,23,"Drops a 6-linked Weapon"
103,6,24,"Drops a 30% Quality Weapon"
104,7,0,"Drops an Abyssal Jewel"
105,7,1,"Drops additional Abyssal Jewels"
106,7,2,"Drops a Stygian Vise"
107,7,3,"Drops an Abyss Unique Item"
108,8,0,"Drops additional Perandus Coins"
109,8,1,"Drops additional Perandus Coins"
110,8,2,"Drops additional Perandus Coins"
111,9,0,"Drops additional Currency Shards"
112,9,1,"Drops additional Currency Shards"
113,9,2,"Drops additional valuable Currency Shards"
114,9,3,"Drops additional Harbinger Currency"
115,9,4,"Drops additional Harbinger Currency"
116,9,5,"Drops additional Harbinger Currency"
117,9,6,"Drops additional Harbinger Currency"
118,9,7,"Drops a Beachhead Unique Map"
119,9,8,"Drops a Beachhead Unique Map"
120,9,9,"Drops a Beachhead Unique Map"
121,10,0,"Drops additional Breach Splinters"
122,10,1,"Drops additional Breach Splinters"
123,10,2,"Drops additional Breach Splinters"
124,10,3,"Drops a Breach Blessing"
125,10,4,"Drops a Breachstone"
126,10,5,"Drops a Breachstone"
127,10,6,"Drops a Breachstone"
128,10,7,"Drops a Breachstone"
129,11,0,"Drops additional Essences"
130,11,1,"Drops additional Essences"
131,11,3,"Drops additional Essences"
132,12,1,"Drops additional Essences"
133,12,2,"Drops additional Essences"
134,12,3,"Drops additional Essences"
135,12,4,"Drops additional Essences"
136,13,0,"Drops additional Map Fragments"
137,13,1,"Drops additional Map Fragments"
138,13,2,"Drops additional Map Fragments"
139,13,3,"Drops additional Map Fragments"
140,13,4,"Drops additional Map Fragments"
141,13,5,"Drops additional Map Fragments"
142,13,6,"Drops additional Map Fragments"
143,13,7,"Drops additional Map Fragments"
144,14,0,"Drops additional Rusted Scarabs"
145,14,1,"Drops additional Polished Scarabs"
146,14,2,"Drops additional Gilded Scarabs"
147,15,0,"Drops additional Fossils"
148,15,1,"Drops additional Fossils"
149,15,2,"Drops additional Fossils"
150,15,3,"Drops additional Fossils"
151,15,4,"Drops additional Fossils"
152,15,5,"Drops additional Fossils"
153,15,6,"Drops a Resonator"
154,16,0,"Drops additional Silver Coins"
155,16,1,"Drops additional Silver Coins"
156,16,2,"Drops additional Silver Coins"
157,16,3,"Drops additional Silver Coins"
158,16,4,"Drops additional Silver Coins"
159,16,5,"Drops additional Silver Coins"
160,16,6,"Drops an Itemised Prophecy"
161,16,7,"Drops Itemised Prophecies"
162,16,8,"Drops Itemised Prophecies"
163,16,9,"Drops Itemised Prophecies"
164,16,10,"Drops an Itemised Prophecy"
165,16,11,"Drops an Itemised Prophecy"
166,16,12,"Drops an Itemised Prophecy"
167,16,13,"Drops an Itemised Prophecy"
168,16,14,"Drops an Itemised Prophecy"
169,16,15,"Drops an Itemised Prophecy"
170,16,16,"Drops an Itemised Prophecy"
171,16,17,"Drops an Itemised Prophecy"
172,16,18,"Drops an Itemised Prophecy"
173,16,19,"Drops an Itemised Prophecy"
174,16,20,"Drops an Itemised Prophecy"
175,16,21,"Drops an Itemised Prophecy"
176,17,0,"Drops additional Divination Cards"
177,17,1,"Drops additional Divination Cards"
178,17,2,"Drops additional Divination Cards"
179,17,3,"Drops additional Divination Cards"
180,17,4,"Drops additional Divination Cards"
181,17,5,"Drops additional Divination Cards"
182,17,6,"Drops additional Divination Cards"
183,17,7,"Drops additional Divination Cards"
184,18,0,"Drops additional Currency Items"
185,18,1,"Drops additional Currency Items"
186,18,2,"Drops additional Currency Items"
187,18,3,"Drops additional Currency Items"
188,18,4,"Drops additional Currency Items"
189,18,5,"Drops additional Currency Items"
190,18,6,"Drops additional Quality Gems"
191,18,7,"Drops additional Quality Gems"
192,18,8,"Drops a Map Item"
193,18,9,"Drops additional Rare Jewellery"
194,18,10,"Drops additional Rare Armour"
195,18,11,"Drops additional Rare Weapons"
196,19,0,"Drops additional Rare Talismans"
197,19,1,"Drops additional Rare Talismans"
198,19,2,"Drops additional Rare Talismans"
199,19,3,"Drops additional Rare Talismans"
200,19,4,"Drops additional Rare Talismans"
201,19,5,"Drops additional Rare Talismans"
202,19,6,"Drops additional Rare Talismans"
203,19,7,"Drops additional Rare Talismans"
204,19,8,"Drops additional Rare Talismans"
205,19,11,"Drops additional Rare Talismans"
206,19,12,"Drops additional Rare Talismans"
207,19,13,"Drops a Talisman Unique Item"
208,20,0,"Drops Enchanted Gloves"
209,20,1,"Drops Enchanted Boots"
210,20,2,"Drops an Enchanted Helmet"
211,20,3,"Drops an Offering to the Goddess"
212,20,4,"Drops an Itemised Prophecy"
213,21,1,"Drops additional Legion Incubators"
214,21,2,"Drops additional Legion Incubators"
215,21,3,"Drops additional Legion Incubators"
216,21,4,"Drops additional Legion Incubators"
217,22,0,"Drops additional Blight Oils"
218,22,1,"Drops additional Blight Oils"
219,22,2,"Drops additional Blight Oils"
220,22,3,"Drops additional Blight Oils"
221,22,4,"Drops additional Blight Oils"
222,22,5,"Drops additional Blight Oils"
223,22,6,"Drops additional Blight Oils"
224,22,7,"Drops additional Blight Oils"
225,22,8,"Drops additional Blight Oils"
226,22,9,"Drops additional Blight Oils"
227,22,10,"Drops additional Blight Oils"
228,22,11,"Drops additional Blight Oils"
229,22,12,"Drops additional Blight Oils"
230,22,13,"Drops additional Blight Oils"
231,22,14,"Drops additional Blight Oils"
232,22,15,"Drops additional Blight Oils"
233,22,16,"Drops a Blighted Map"
234,22,17,"Drops a Blighted Map"
235,22,18,"Drops a Blighted Map"
236,22,19,"Drops a Blighted Map"
237,22,20,"Drops a Blighted Map"
238,22,21,"Drops a Blighted Map"
239,22,22,"Drops a Blighted Map"
240,22,23,"Drops a Blighted Map"
241,22,24,"Drops a Blighted Map"
242,22,25,"Drops a Blighted Map"
243,22,26,"Drops a Blighted Map"
244,22,27,"Drops a Blighted Map"
245,22,28,"Drops a Blighted Map"
