"rownum","StatsKey","MonsterPacksKeys"
0,1021,"[107,108,109,110,111,112,113,114,251]"
1,1020,"[163,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,201,306,325,330,404,408,202,203,204,205,206,437,438,439]"
2,1022,"[129,130,131,132,133]"
3,1023,"[172,173,174,175,176,177,213]"
4,1024,"[150,151,152,153,154,155,156,286,287,288]"
5,1025,"[123,165,166,167,172,190,230,231,232,251,252,253,254,255,256,257,297,339,346]"
6,2019,"[121,128,139,157,212,289,311,320,322,137,411,413,414,415,421]"
7,2020,"[263,264,265,266,267]"
8,5309,"[346,347,348,349,350,351,352]"
9,2021,"[170,299,302,303,304,305]"
10,5630,"[214,215,216,217,218,219,220,221,222]"
11,5631,"[258,259,260,261]"
12,6326,"[389,390,391,392,397,398,399,400,401,276,275]"
13,6327,"[393,394,395,396,405,406,407,410,273]"
14,6328,"[124,125,126,365,381,382,423,127]"
15,6896,"[358,359,360,361,362,363,430,426,427,428,429,425,447,448]"
16,7999,"[223,224,225,226,227,228,229,230,231,232,233]"
