"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","i32","i32","i32","rid","i32","bool"
0,168,[163],1175,0,990,2565,287,125,41,""
1,169,[171],1177,1,2565,2565,112,115,41,""
2,326,"[340,325]",1178,2,2565,2565,606,117,41,""
3,338,"[24,226,337]",1174,3,2565,243,1155,11,41,""
4,333,"[328,331]",1179,4,2565,2565,68,118,41,""
5,336,[334],1180,5,2565,2565,592,126,41,""
6,130,[114],1176,6,2565,2565,91,106,41,""
7,392,"[390,391]",1181,13,2565,2565,372,130,41,""
8,396,[393],1182,14,2565,2565,660,131,41,""
9,409,[407],1183,15,2565,2565,351,105,41,""
10,501,[501],1184,21,2565,2565,1092,"",40,1
11,510,[502],1185,22,2565,2565,1093,"",40,1
12,511,[503],1186,23,2565,2565,1094,"",40,1
13,512,[504],1187,24,2565,2565,1095,"",40,1
