"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
0,4797,0,0,0,100,"[11,25,5,4,14,0]",5006,"","","","","","",1,1,"",""
1,5006,2880,0,0,100,"[11,25,24,5,4,14,0]","",1,"","",0,"","",1,1,"",""
2,4798,61,0,0,100,"[11,25,4,14,1,38]",5015,"","","","","","",1,1,"",""
3,4838,4889,0,0,100,"[11,25,4,14,5]",5006,"","","","","","",1,1,"",""
4,5015,70,0,0,100,"[11,25,24,4,14,1,38]","",1,"","",61,"","",1,1,"",""
5,4799,98,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,"",""
6,4851,4857,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,"",""
7,4800,7520,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,"",""
8,4801,4875,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,"",""
9,4802,102,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
10,4803,6875,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,"",""
11,5036,104,100,0,0,"[9,25,24,13,14,33,7]","",1,"","","","","",1,1,"",""
12,5016,4956,0,0,0,"[25,4,5,22]","","","","","","","",1,1,"",""
13,4804,7573,100,0,0,"[9,25,13,14,40,7]",5018,"","","","","","",1,1,"",""
14,5018,7577,100,0,0,"[9,25,24,13,14,40,7]","",1,"","",7573,"","",1,1,"",""
15,4805,165,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
16,4806,186,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","",1,1,"",""
17,4807,226,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,"",""
18,4808,236,0,100,0,"[10,25,13,7,36,33]",5024,"","","","","","",1,1,"",""
19,5024,7571,0,100,0,"[10,25,24,13,7,36,15,33]","",1,"","",236,"","",1,1,"",""
20,4809,4935,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,"",""
21,4810,244,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","",1,1,"",""
22,4811,256,100,0,0,"[9,25,4,15,34]","","","","","","","",1,1,"",""
23,5012,258,100,0,0,"[9,25,24,4,15,34]","",1,"","",256,"","",1,1,"",""
24,4812,262,40,60,0,"[10,25,13,7,36]","","","","","","","",1,1,"",""
25,4813,273,0,60,40,"[10,25,13,22,35,7]","","","","","","","",1,1,"",""
26,4814,305,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","",1,1,"",""
27,4817,311,0,60,40,"[10,25,4,14,0]",5017,"","","","","","",1,1,"",""
28,5017,7572,0,60,40,"[10,25,24,4,14,0]","",1,"","",311,"","",1,1,"",""
29,4818,6867,0,60,40,"[10,25,4,14,0]","","","","","","","",1,1,"",""
30,4819,6876,0,60,40,"[10,25,4,5,14,33]","","","","","","","",1,1,"",""
31,4820,329,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
32,4825,330,0,100,0,"[10,25,13,5,33,6]","","","","","","","",1,1,"",""
33,4826,502,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",12571,"","","",1,1,433,""
34,4827,503,0,100,0,"[13,10,16]","","","Supports attack skills.",12666,"","","",1,1,"",""
35,4828,505,0,100,0,"[10,16,5]","","","Supports projectile skills.",12610,"","","",1,1,450,""
36,4829,507,0,100,0,"[10,16,5]","","","Supports projectile skills.",12598,"","","",1,1,"",""
37,4831,509,0,100,0,"[10,16,5]","","","Supports projectile skills.",12586,"","","",1,1,"",""
38,4832,511,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies.",12575,"","","",1,1,443,""
39,4833,513,40,60,0,"[13,10,16]","","","Supports attack skills.",12577,"","","",1,1,"",""
40,4834,514,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect.",12594,"","","",1,1,461,""
41,4835,516,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies.",12674,"","","",1,1,455,""
42,4815,7511,0,40,60,"[11,25,4,14,1,15]",5020,"","","","","","",1,1,"",""
43,5020,7518,0,40,60,"[11,25,24,4,14,15,1]","",1,"","",7511,"","",1,1,"",""
44,4816,538,0,0,100,"[11,25,4,8]","","","","","",10294,"",1,1,"",""
