"rownum","BaseItemTypesKey","Critical","Speed","DamageMin","DamageMax","RangeMax","Null6"
0,3708,500,833,1,1,13,0
1,3709,700,714,5,9,120,0
2,3710,700,833,9,16,120,0
3,3711,700,667,9,17,120,0
4,3712,700,769,14,27,120,0
5,3713,700,769,12,37,120,0
6,3714,800,833,23,42,120,0
7,3715,700,741,22,40,120,0
8,3716,700,833,26,48,120,0
9,3717,700,667,21,38,120,0
10,3718,700,769,28,52,120,0
11,3719,700,769,21,64,120,0
12,3720,800,833,33,61,120,0
13,3721,700,741,31,57,120,0
14,3722,700,833,38,71,120,0
15,3723,700,667,29,53,120,0
16,3724,700,769,35,65,120,0
17,3725,700,769,25,75,120,0
18,3726,800,833,35,64,120,0
19,3727,700,741,33,61,120,0
20,3728,750,714,16,30,120,0
21,3729,750,714,25,46,120,0
22,3730,750,714,29,54,120,0
23,3731,700,714,30,55,120,0
24,3732,700,800,5,9,120,0
25,3733,600,667,6,10,10,0
26,3734,600,690,4,17,10,0
27,3735,630,690,3,26,10,0
28,3736,610,667,7,27,10,0
29,3737,630,690,8,34,10,0
30,3738,650,769,10,41,10,0
31,3739,630,690,11,43,10,0
32,3740,650,833,15,59,10,0
33,3741,620,741,14,54,10,0
34,3742,600,714,11,45,10,0
35,3743,630,714,7,62,10,0
36,3744,610,667,13,52,10,0
37,3745,630,714,15,59,10,0
38,3746,650,833,19,75,10,0
39,3747,630,690,16,64,10,0
40,3748,650,833,22,87,10,0
41,3749,650,741,19,74,10,0
42,3750,650,714,19,76,10,0
43,3751,630,714,10,86,10,0
44,3752,610,667,19,74,10,0
45,3753,630,714,20,79,10,0
46,3754,650,833,24,95,10,0
47,3755,630,667,18,73,10,0
48,3756,650,833,24,97,10,0
49,3757,620,741,22,88,10,0
50,3758,630,714,12,46,10,0
51,3759,630,714,18,71,10,0
52,3760,630,714,20,79,10,0
53,3761,630,690,12,47,10,0
54,3762,630,690,18,73,10,0
55,3763,630,690,21,85,10,0
56,3764,620,625,4,11,11,0
57,3765,650,667,6,17,11,0
58,3766,630,645,7,23,11,0
59,3767,600,625,12,22,11,0
60,3768,630,645,12,31,11,0
61,3769,650,769,16,43,11,0
62,3770,600,625,14,38,11,0
63,3771,630,667,12,46,11,0
64,3772,630,667,15,44,11,0
65,3773,650,769,20,53,11,0
66,3774,630,667,15,51,11,0
67,3775,600,625,23,43,11,0
68,3776,630,667,20,53,11,0
69,3777,650,769,26,68,11,0
70,3778,600,625,21,56,11,0
71,3779,630,667,17,69,11,0
72,3780,630,667,21,64,11,0
73,3781,650,769,30,78,11,0
74,3782,630,667,21,73,11,0
75,3783,600,625,29,55,11,0
76,3784,630,667,26,68,11,0
77,3785,650,769,29,76,11,0
78,3786,600,625,25,65,11,0
79,3787,630,667,18,71,11,0
80,3788,630,667,23,68,11,0
81,3789,600,625,13,24,11,0
82,3790,600,625,20,37,11,0
83,3791,600,625,22,41,11,0
84,3792,500,667,6,11,11,0
85,3793,500,690,10,15,11,0
86,3794,500,667,11,21,11,0
87,3795,500,769,12,35,11,0
88,3796,500,741,19,34,11,0
89,3797,500,714,14,42,11,0
90,3798,500,833,27,50,11,0
91,3799,500,769,29,48,11,0
92,3800,500,741,26,46,11,0
93,3801,500,769,32,50,11,0
94,3802,500,667,25,46,11,0
95,3803,500,833,26,79,11,0
96,3804,500,769,35,65,11,0
97,3805,500,714,24,71,11,0
98,3806,500,833,45,83,11,0
99,3807,500,769,45,75,11,0
100,3808,500,741,40,71,11,0
101,3809,500,769,49,77,11,0
102,3810,500,667,38,70,11,0
103,3811,500,833,38,114,11,0
104,3812,500,769,47,87,11,0
105,3813,500,714,30,90,11,0
106,3814,500,833,54,100,11,0
107,3815,500,769,51,85,11,0
108,3816,500,741,44,79,11,0
109,3817,500,769,21,44,11,0
110,3818,500,769,32,67,11,0
111,3819,500,769,38,79,11,0
112,3820,500,690,5,11,11,0
113,3821,500,909,3,23,11,0
114,3822,500,645,4,9,11,0
115,3823,500,667,6,14,11,0
116,3824,500,645,5,22,11,0
117,3825,500,690,15,21,11,0
118,3826,500,714,16,30,11,0
119,3827,500,690,18,33,11,0
120,3828,500,667,20,33,11,0
121,3829,500,769,19,54,11,0
122,3830,500,870,28,60,11,0
123,3831,500,769,25,53,11,0
124,3832,500,645,13,53,11,0
125,3833,500,769,37,53,11,0
126,3834,500,833,38,70,11,0
127,3835,500,769,36,66,11,0
128,3836,500,667,34,55,11,0
129,3837,500,769,30,86,11,0
130,3838,500,870,44,94,11,0
131,3839,500,769,39,83,11,0
132,3840,500,645,20,80,11,0
133,3841,500,769,54,78,11,0
134,3842,500,833,53,98,11,0
135,3843,500,769,46,86,11,0
136,3844,500,667,41,68,11,0
137,3845,500,769,35,99,11,0
138,3846,500,714,37,80,11,0
139,3847,600,625,18,33,11,0
140,3848,600,625,27,51,11,0
141,3849,600,625,34,63,11,0
142,3850,550,645,5,11,14,0
143,3851,550,625,4,17,14,0
144,3852,600,667,11,20,14,0
145,3853,550,645,11,25,14,0
146,3854,550,625,12,29,14,0
147,3855,650,769,12,46,14,0
148,3856,550,625,18,33,14,0
149,3857,570,714,19,44,14,0
150,3858,600,645,19,40,14,0
151,3859,550,667,13,51,14,0
152,3860,600,714,25,46,14,0
153,3861,550,667,21,50,14,0
154,3862,550,625,21,49,14,0
155,3863,650,769,18,73,14,0
156,3864,550,625,28,51,14,0
157,3865,570,714,29,67,14,0
158,3866,600,645,29,60,14,0
159,3867,550,667,19,75,14,0
160,3868,600,714,35,65,14,0
161,3869,550,667,29,69,14,0
162,3870,550,625,27,64,14,0
163,3871,650,769,22,87,14,0
164,3872,550,625,32,60,14,0
165,3873,570,714,31,72,14,0
166,3874,600,667,32,66,14,0
167,3875,500,690,6,8,11,0
168,3876,500,714,8,13,11,0
169,3877,500,690,13,16,11,0
170,3878,500,769,15,27,11,0
171,3879,500,690,13,31,11,0
172,3880,500,714,19,32,11,0
173,3881,500,833,32,40,11,0
174,3882,500,714,21,43,11,0
175,3883,500,741,28,42,11,0
176,3884,500,800,31,51,11,0
177,3885,500,714,33,42,11,0
178,3886,500,870,37,69,11,0
179,3887,500,714,25,59,11,0
180,3888,500,769,38,63,11,0
181,3889,500,833,53,67,11,0
182,3890,500,714,33,69,11,0
183,3891,500,741,44,66,11,0
184,3892,500,800,48,80,11,0
185,3893,500,714,49,62,11,0
186,3894,500,870,54,101,11,0
