"rownum","Id","PanelImage","HeaderImage","Screenshots","Description","League","bool","ItemImages","HoverImages","TrailerVideoLink","BackgroundImage","bool","bool"
0,"Delve1","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading1",[],"In Path of Exile: Delve, you will delve into the Azurite Mine's infinite depths to extract treasure and discover its subterranean secrets.\nOur latest expansion features an infinite dungeon and socketable currency items, as well as a bunch of new unique items, skill gems, balance changes, graphics engine improvements and more!","Delve","",[],[],"","","",""
1,"Delve2","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel2/Screenshot3""]","Left untouched for over 250 years, the Azurite Mine has been consumed by a malevolent darkness that cast out the Eternal Empire. Niko, an inventor, has harnessed the power of Voltaxic Sulphite to create a machine called the Crawler that can pierce the darkness. Delve into the mine but don't leave the Crawler's light for long or you'll be crushed by the darkness. \r\nThe Crawler will speed up if you get ahead of it.","Delve",1,[],[],"","","",""
2,"Delve3","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel3/Screenshot3""]","The Azurite Mine is full of treasures for those brave enough to risk the darkness for short periods of time. Use flares to venture farther away from the Crawler's path, and dynamite to destroy unstable walls which conceal even greater rewards.","Delve","",[],[],"","","",""
3,"Delve4","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel4/Screenshot3""]","Any Azurite you find in the mine can be traded to Niko at his base camp. In return, he offers to upgrade the Crawler and can sell you flares, dynamite and crafting materials to aid your exploration.","Delve",1,[],[],"","","",""
4,"Delve5","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading5","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel5/Screenshot3""]","Deep in the Azurite Mine, you'll discover many different biomes. As you delve even deeper, you may encounter lost cities from Wraeclast's dark history. Each environment has its own monsters, bosses, encounters and rewards.","Delve","",[],[],"","","",""
5,"Delve6","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading6",[],"The ancient civilisations created special crafting items that can be socketed with fossils to modify their behaviour.","Delve",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/GlyphicFossil"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/JaggedFossil"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/Reroll2x1A"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/Reroll2x2B"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/Upgrade1x1A"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/HelmetDexInt11""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/GlyphicFossilHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/JaggedFossilHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/Reroll2x1AHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/Reroll2x2BHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/Upgrade1x1AHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel6/HelmetDexInt11Hover""]","","","",""
6,"Delve7","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading7",[],"The Azurite Mine is Path of Exile's first infinite dungeon. The deeper you delve, the harder the game gets. In Delve, you'll find encounters that are much harder than end-game Maps. Your progress is only limited by the power of your character build. The Depth Ladder tracks who has delved the deepest into the mine.","Delve","",[],[],"","","",""
7,"Delve8","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading8",[],"Path of Exile: Delve includes ten powerful new or completely reworked skills, centered around two character archetypes: the Guardian and the Pathfinder. Play as a holy warrior who strikes down foes with lightning damage while benefiting teammates and minions, or as a chaotic archer who uses nature- and poison-based skills to pin and suffocate enemies.","Delve",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/DominatingBlow"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/RainofSporesGem"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/SmiteGem"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/Unknown1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/Unknown2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/Unknown3"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/Unknown4"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/Unknown5"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/Unknown6"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/Unknown7""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/DominatingBlowHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/RainofSporesGemHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/SmiteGemHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/UnknownHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/UnknownHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/UnknownHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/UnknownHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/UnknownHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/UnknownHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel8/UnknownHover""]","","","",""
8,"Delve9","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading9",[],"A Path of Exile expansion is not complete without powerful new items to discover! Delve includes 7 new Divination Cards and 18 new Unique Items which have a focus on creating powerful new build opportunities.","Delve","","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/CerebusLimb"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/Doryanis"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/TheGreySpire"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/ThePrimordialChain""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/CerebusLimbHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/DoryanisHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/TheGreySpireHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel9/ThePrimordialChainHover""]","","","",""
9,"Delve10","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Delve/Heading10",[],"In your travels across Wraeclast, you may very rarely discover a Timeworn Reliquary Key. This key will open a portal to the Timeworn Reliquary which contains one of 150 Unique Relics from past Path of Exile leagues.","Delve",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/AbyssBoots"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/RigwaldsQuills"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/SpiderArmourBody"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/TasaliosSign"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/VaultMap3""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/AbyssBootsHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/RigwaldsQuillsHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/SpiderArmourBodyHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/TasaliosSignHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delve/Panel10/VaultMap3Hover""]","","","",""
