"rownum","i32","[rid]","i32","i32","i32","i32","i32","bool","i32","bool","bool","[rid]","i32","i32","i32","i32","i32","bool","bool","i32","bool","i32","i32","bool","bool","bool","i32","bool","bool","i32","row"
0,1,[2815],0,0,24,0,4,1,0,"","",[],1,0,4,0,0,"","",7,"",25,0,1,"","",0,"","",13,13
1,2,[2825],0,0,40,0,2,1,0,"","",[],1,0,4,0,0,"","",7,"",25,0,1,"","",0,"","",13,13
2,3,[2765],0,0,56,0,4,1,0,1,"",[],1,0,4,90,0,"","",7,"",110,-65,1,"","",0,"","",13,13
3,4,[2765],0,0,72,0,4,1,0,1,1,[],1,0,4,-90,0,"","",7,"",110,65,1,"","",0,"","",13,13
4,5,[2821],0,0,88,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",18,0,"","","",0,"","",13,13
5,6,[2822],0,0,104,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",18,0,"","","",0,"","",13,13
6,7,[2868],0,0,120,0,4,1,0,1,"",[],3,0,4,0,0,1,"",7,"",111,0,"","","",0,"","",13,13
7,8,[2913],0,0,136,0,4,1,0,1,"",[],1,0,4,0,0,"","",7,"",20,0,"","","",0,"","",13,13
8,9,[2924],0,0,152,0,4,1,0,1,"",[],1,0,2,0,0,1,"",7,"",15,0,"","","",0,"","",13,13
9,10,"[3135,3136,3137]",0,0,200,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",55,0,"","","",0,"","",13,13
10,11,[3141],0,0,216,0,4,1,0,1,"",[],1,0,4,0,0,"","",7,"",110,0,"","","",0,"","",13,13
11,12,[3155],0,0,232,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",27,0,"","","",0,"","",13,13
12,13,[3154],0,0,248,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",10,0,"","","",0,"","",13,13
13,14,[3159],0,0,264,0,4,1,0,"","",[],1,0,4,0,0,"","",7,"",25,0,1,"","",0,"","",13,13
14,15,[3160],0,0,280,0,4,1,0,1,"",[],3,0,4,0,0,1,"",7,"",111,0,"","","",0,"","",13,13
15,16,[3198],0,0,296,0,2,1,0,"","",[],1,0,2,180,0,"","",7,"",25,0,"","","",0,"","",13,13
16,17,[3271],0,0,312,0,4,1,0,1,"",[],4,11,4,0,0,"","",7,"",20,0,"","","",0,"","",13,13
17,18,[3084],0,0,328,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",37,0,"","","",0,"","",13,13
18,19,[3306],0,0,344,0,4,1,0,1,"",[],1,0,2,0,0,"","",7,"",37,0,"","","",0,"","",13,13
