"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32"
0,1074,6099,"",15,1,5
1,1075,5952,"",1,1,5
2,1076,5966,"",2,6,10
3,1077,5965,"",15,6,10
4,1249,6011,"",16,1,5
5,1078,6089,"",12,1,5
6,1079,6091,"",4,1,5
7,1080,5950,"",5,1,5
8,1081,5956,"",2,1,5
9,1082,5957,"",12,1,5
10,1083,5960,"",2,1,5
11,1084,6097,"",2,6,10
12,1085,6083,"",2,1,5
13,1086,6054,"",4,1,5
14,1087,6026,"",9,1,5
15,1088,6047,"",15,6,10
16,1089,5971,"",4,1,5
17,1090,6020,"",7,6,10
18,1091,5970,"",15,1,5
19,1092,5993,"",16,6,10
20,1093,5947,"",15,1,5
21,1094,6094,"",5,6,10
22,1095,6090,"",11,1,5
23,1096,6095,"",4,11,15
24,1097,5986,"",4,1,5
25,1098,7470,"",4,0,0
26,1099,6025,"",5,6,10
27,1100,9373,"",5,0,0
28,1101,5959,"",8,1,5
29,1102,6042,"",14,6,10
30,1103,6055,"",5,1,5
31,1104,6041,"",4,11,15
32,1105,5979,"",3,11,15
33,1244,6030,"",3,1,5
34,1246,6024,"",9,1,5
35,1247,6051,"",6,1,5
36,1248,6046,"",11,1,5
37,1250,5975,"",15,1,5
38,1251,5983,"",10,1,5
39,1106,6093,"",14,6,10
40,1107,6088,"",14,1,5
41,1108,6080,"",2,1,5
42,1109,6049,"",3,1,5
43,1110,9922,"",3,0,0
44,1111,5958,"",1,1,5
45,1112,5961,"",4,6,10
46,1113,5988,"",3,6,10
47,1114,6036,"",3,6,10
48,1115,5977,"",4,6,10
49,1116,6001,"",3,1,5
50,1117,6081,"",13,1,5
51,1118,6087,"",2,1,5
52,1119,5951,"",4,1,5
53,1120,5967,"",12,11,15
54,1121,5963,"",3,6,10
55,1122,5987,"",8,1,5
56,1123,5989,"",3,1,5
57,1124,5995,"",4,1,5
58,1125,6003,"",5,1,5
59,1126,6989,"",5,0,0
60,1127,6000,"",2,11,15
61,1128,9691,"",2,0,0
62,1129,6029,"",16,6,10
63,1130,6082,"",14,6,10
64,1131,6076,"",11,6,10
65,1132,6032,"",14,6,10
66,1133,6037,"",14,6,10
67,1134,5984,"",3,1,5
68,1135,5972,"",4,1,5
69,1136,9923,"",4,0,0
70,1137,5992,"",4,6,10
71,1138,7165,"",4,0,0
72,1139,6022,"",9,6,10
73,1140,9304,"",9,0,0
74,1141,6021,"",15,11,15
75,1142,5997,"",5,6,10
76,1143,6023,"",4,6,10
77,1144,6098,"",12,11,15
78,1145,6092,"",3,11,15
79,1146,6061,"",15,6,10
80,1147,5962,"",2,11,15
81,1148,6105,"",2,0,0
82,1149,5981,"",2,6,10
83,1150,6016,"",2,1,5
84,1151,6018,"",13,11,15
85,1152,8076,"",13,0,0
86,1153,5996,"",5,6,10
87,1154,6005,"",13,0,0
88,1155,7101,"",13,0,0
89,1156,6006,"",2,0,0
90,1158,6050,"",14,6,10
91,1159,6086,"",3,6,10
92,1160,9921,"",3,0,0
93,1161,6101,"",3,11,15
94,1162,5978,"",14,11,15
95,1163,5969,"",14,11,15
96,1164,6035,"",9,6,10
97,1165,6033,"",2,6,10
98,1166,6039,"",9,6,10
99,1167,6015,"",3,6,10
100,1168,7084,"",3,0,0
101,1169,5998,"",2,6,10
102,1170,6009,"",3,6,10
103,1171,9690,"",3,0,0
104,1172,6045,"",10,6,10
105,1173,6085,"",8,6,10
106,1174,6038,"",3,11,15
107,1175,6077,"",4,6,10
108,1176,5990,"",3,0,0
109,1177,6031,"",4,6,10
110,1178,6027,"",9,11,15
111,1179,5999,"",3,6,10
112,1180,6004,"",14,0,0
113,1181,6008,"",3,0,0
114,1182,7008,"",3,0,0
115,1183,6010,"",3,6,10
116,1184,6013,"",4,6,10
117,1185,8075,"",4,0,0
118,1186,6040,"",2,11,15
119,1187,5994,"",11,6,10
120,1188,5976,"",11,6,10
121,1189,5985,"",5,6,10
122,1190,6007,"",13,11,15
123,1191,6048,"",5,6,10
124,1192,5953,"",15,6,10
125,1193,5973,"",1,0,0
126,1194,5974,"",4,6,10
127,1196,6079,"",3,11,15
128,1197,6074,"",3,11,15
129,1198,6012,"",2,6,10
130,1199,7051,"",2,0,0
131,1200,5991,"",9,0,0
132,1201,5949,"",16,11,15
133,1202,5968,"",10,6,10
134,1203,6028,"",14,11,15
135,1204,7105,"",16,0,0
136,1205,6034,"",3,6,10
137,1206,7319,"",3,0,0
138,1207,5982,"",3,11,15
139,1208,6056,"",2,11,15
140,1209,5954,"",15,6,10
141,1210,6084,"",1,6,10
142,1211,6019,"",5,11,15
143,1212,6043,"",3,11,15
144,1213,6053,"",3,11,15
145,1214,6017,"",2,6,10
146,1215,5955,"",7,11,15
147,1216,6058,"",3,11,15
148,1217,6057,"",14,11,15
149,1218,5964,"",3,11,15
150,1219,6060,"",11,11,15
151,1220,6100,"",5,11,15
152,1221,6044,"",2,11,15
153,1222,6096,"",10,11,15
154,1223,6052,"",4,11,15
155,1224,6075,"",14,11,15
156,1225,6078,"",3,11,15
157,1226,6073,"",4,11,15
158,1227,6014,"",15,11,15
159,1228,6072,"",6,11,15
160,1242,5980,"",15,0,0
161,1243,6002,"",11,0,0
162,1252,6059,"",12,0,0
163,1229,6062,"",16,0,0
164,1230,6063,"",16,0,0
165,1232,6064,"",16,0,0
166,1231,6065,"",16,0,0
167,1234,6067,"",16,0,0
168,1240,5948,"",2,0,0
