"rownum","MonsterVarietiesKey","bool","rid"
0,2277,1,""
1,2281,1,15
2,2283,1,38
3,2295,1,""
4,2296,1,27
5,2300,1,15
6,2302,1,55
7,2265,1,5
8,2269,1,19
9,2273,1,26
10,2329,1,40
11,2332,1,48
12,2333,1,71
13,2317,1,25
14,2321,1,7
15,2323,1,54
16,2309,1,28
17,2312,1,9
18,2314,1,35
19,2287,1,8
20,2288,1,6
21,2292,1,70
22,2275,1,88
23,2284,1,15
24,2303,1,27
25,2326,1,8
26,2315,1,78
27,2282,"",23
28,2301,"",36
29,2274,"",18
30,2328,"",32
31,2322,"",34
32,2313,"",13
33,2291,"",35
34,4077,"",""
35,4079,"",""
36,4078,"",""
37,2342,"",""
38,2343,"",""
39,2346,"",""
40,2340,"",""
41,2344,"",""
42,2341,"",""
43,2345,"",""
44,2266,"",5
45,2278,"",""
46,2297,"",27
47,2310,"",28
48,2324,"",54
49,2330,"",40
50,2289,"",6
51,2293,1,78
52,2307,1,""
53,2294,1,""
54,2316,1,""
55,2327,1,""
56,2286,1,""
57,2308,1,81
