"rownum","Id","[i32]","Size","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32"
0,"StraightEnd",[],1,360,[75],[100],[0],[0],[200],[2],1
1,"StraightEnd2",[8],1,360,[75],[100],[0],[0],[200],[2],1
2,"StraightEnd3",[9],1,360,[90],[130],[0],[0],[200],[2],3
3,"StraightEnd4",[10],1,360,[90],[130],[0],[0],[200],[2],4
4,"StraightEnd5",[11],1,360,[90],[130],[0],[0],[200],[2],5
5,"StraightEnd6",[12],1,360,[90],[130],[0],[0],[200],[2],6
6,"StraightEnd7",[13],1,360,[90],[130],[0],[0],[200],[2],7
7,"StraightEnd8",[14],1,360,[90],[130],[0],[0],[200],[2],8
8,"StraightEndSplit",[],1,180,[30],[70],[0],[0],[200],[2],1
9,"StraightEndSplit2",[],3,190,[30],[70],[0],"[0,0,9000]","[200,200,16000]",[2],3
10,"StraightEndSplit3",[],4,200,[30],[70],[0],"[0,0,9000,9000]","[200,200,16000,16000]",[2],4
11,"StraightEndSplit4",[],5,210,[30],[70],[0],"[0,0,0,9000,9000]","[200,200,200,16000,16000]",[2],5
12,"StraightEndSplit5",[],6,220,[30],[70],[0],"[0,0,0,0,9000,9000]","[200,200,200,200,16000,16000]",[2],6
13,"StraightEndSplit6",[],7,230,[30],[70],[0],"[0,0,0,9000,9000,16000,16000]","[200,200,200,16000,16000,23000,23000]",[2],7
14,"StraightEndSplit7",[],8,240,[30],[70],[0],"[0,0,0,0,9000,9000,16000,16000]","[200,200,200,200,16000,16000,23000,23000]",[2],8
15,"DaisyChain2",[16],1,360,[40],[80],[0],[0],[200],[],2
16,"DaisyChain2_Split1",[],2,90,"[40,30]","[80,60]",[0],"[0,6000]","[200,16000]","[3,3]",2
17,"DaisyChain3",[18],1,360,[40],[80],[0],[0],[200],[],4
18,"DaisyChain3_Split1",[19],2,90,"[40,30]","[80,60]",[0],[0],[200],"[3,3]",4
19,"DaisyChain3_Split2",[],2,90,"[40,30]","[80,60]",[0],"[6000,16000]","[16000,26000]","[2,2]",2
20,"DaisyChain4",[21],1,360,[40],[80],[0],[0],[200],[],8
21,"DaisyChain4_Split1",[22],2,90,"[40,30]","[80,60]",[0],[0],[200],[2],8
22,"DaisyChain4_Split2",[23],2,90,"[40,30]","[80,60]",[0],[6000],[16000],[2],4
23,"DaisyChain4_Split3",[],2,90,"[40,30]","[80,60]",[0],[16000],[26000],[3],2
24,"DaisyChain5",[25],1,360,[40],[80],[0],[0],[200],[],16
25,"DaisyChain5_Split1",[26],2,90,"[40,30]","[80,60]",[0],[16000],[26000],[2],16
26,"DaisyChain5_Split2",[27],2,90,"[40,30]","[80,60]",[0],[16000],[26000],[2],8
27,"DaisyChain5_Split3",[28],2,90,"[40,30]","[80,60]",[0],[6000],[16000],[3],4
28,"DaisyChain5_Split4",[],2,90,"[40,30]","[80,60]",[0],"[0,0]","[200,200]","[3,3]",2
29,"DaisyChain6",[30],1,360,[40],[80],[0],[0],[200],[],24
30,"DaisyChain6_Split1",[31],2,90,"[40,30]","[80,60]",[0],[26000],[36000],[2],24
31,"DaisyChain6_Split2",[32],2,90,"[40,30]","[80,60]",[0],[26000],[36000],[2],12
32,"DaisyChain6_Split3",[33],2,90,"[40,30]","[80,60]",[0],[16000],[26000],[2],6
