"rownum","Id","rid","[f32]","[rid]","[string]"
0,"FireSurgeMultiSpeed",4511,"[1,2,3]","[4511,4511,4511]","[""slow"",""medium"",""fast""]"
1,"ColdSurgeMultiSpeed",4928,"[1,2,3]","[4928,4928,4928]","[""slow"",""medium"",""fast""]"
2,"LightningSurgeMultiSpeed",4927,"[1,2,3]","[4927,4927,4927]","[""slow"",""medium"",""fast""]"
3,"FlameSurge3",2396,[],[],[]
4,"ColdSurge1",2409,[],[],[]
5,"GemlingColdSurge",2454,[],[],[]
6,"LightningSurge1",2410,[],[],[]
7,"ChaosSurge1",2411,[],[],[]
8,"HolySurge1",2420,[],[],[]
9,"PoisonSurge1",2421,[],[],[]
10,"AuraSurgeRed1",2415,[],[],[]
11,"AuraSurgePurple1",2417,[],[],[]
12,"AuraSurgeGreen1",2413,[],[],[]
13,"AuraSurgeLightGreen1",2414,[],[],[]
14,"AuraSurgeGolden1",2418,[],[],[]
15,"AuraSurgeBlue1",2416,[],[],[]
16,"FocusSurge",2500,[],[],[]
17,"VortexSurge",2616,[],[],[]
18,"HuntsmanAuraStart",2890,[],[],[]
19,"MadcapPhaseRunStart",2848,[],[],[]
20,"MoltenShellCast",3104,[],[],[]
21,"StygianMoltenShellCast",3995,[],[],[]
22,"MoltenShellCastViper",4948,[],[],[]
23,"VaalMoltenShellCast",3105,[],[],[]
24,"StygianVaalMoltenShellCast",4005,[],[],[]
25,"AuraSurgeOrange1",2419,[],[],[]
26,"MinionFocusFireSurge",3378,[],[],[]
27,"PolarisBlackAuraStart",3546,[],[],[]
28,"PolarisWhiteAuraStart",3547,[],[],[]
29,"FrenzyArrowBaseSurge",3609,[],[],[]
30,"ArrowBaseSurgeFire",3727,[],[],[]
31,"ArrowBaseSurgeIce",3728,[],[],[]
32,"ArrowBaseSurgeLightning",3729,[],[],[]
33,"ArrowBaseSurgePhys",3730,[],[],[]
34,"ArrowBaseSurgePhysRed",3731,[],[],[]
35,"ArrowBaseSurgeChaos",3732,[],[],[]
36,"BladeBurstSurge",3848,[],[],[]
37,"IllusionistBladeBlastSurgeEffect",3949,[],[],[]
38,"SawbladeBladeBlastSurgeEffect",3959,[],[],[]
39,"AuraSurgeScientist",3932,[],[],[]
40,"StygianSurgeNew",5174,[],[],[]
41,"DarkSurge",4021,[],[],[]
42,"AngelicAuraEffect",4026,[],[],[]
43,"DemonicAuraEffect",4027,[],[],[]
44,"MicrotransactionDragonHunterSurge",4031,[],[],[]
45,"DesecrateStygianSurge",4000,[],[],[]
46,"GhostflameSurge",2451,[],[],[]
47,"FlameSurgeNew",4258,[],[],[]
48,"CelestialSurge",2452,[],[],[]
49,"HarbingerSurge",2453,[],[],[]
50,"ColdSurgeNew",4259,[],[],[]
51,"LightningSurgeNew",4260,[],[],[]
52,"DetonateBrandsSurge",4339,[],[],[]
53,"SunriseAuraEffect",4422,[],[],[]
54,"NightfallAuraEffect",4423,[],[],[]
55,"VoidSurge",4809,[],[],[]
56,"BladeVortexIllusionist",4849,[],[],[]
57,"AutomatonSurge",4850,[],[],[]
58,"DeathWishSurge",4876,[],[],[]
59,"DarkwoodSurge",4913,[],[],[]
60,"ChaoticEthercraftAura",4933,[],[],[]
61,"EnragedEthercraftAura",4934,[],[],[]
62,"SavageEthercraftAura",4935,[],[],[]
63,"TranquilEthercraftAura",4936,[],[],[]
64,"BlasphemySurge",4963,[],[],[]
65,"SufferingSurge",5068,[],[],[]
66,"MiserySurge",5091,[],[],[]
67,"BlueDragonSurge",5094,[],[],[]
68,"RedDragonSurge",5095,[],[],[]
69,"CombinedDragonSurge",5096,[],[],[]
70,"MicrotransactionFrostVikingSurge",5176,[],[],[]
71,"FirestormCelestialSurge",5222,[],[],[]
72,"MicrotransactionLightbringerSurge",5232,[],[],[]
73,"MicrotransactionDarkshardSurge",5233,[],[],[]
74,"BloodTendrilsSurge",5237,[],[],[]
75,"BloodSurgeSurge",5242,[],[],[]
76,"ArcPurpleSurge",5243,[],[],[]
77,"RadiantSurge",5244,[],[],[]
78,"MicrotransactionMerchantSurge",5260,[],[],[]
79,"CelestialWaveOfConvictionSurge",5284,[],[],[]
80,"StygianWaveOfConvictionSurge",5285,[],[],[]
81,"FrenzyArrowSurgeArcane",5325,[],[],[]
82,"SummonRavenSurge",5343,[],[],[]
83,"SummonBloodRavenSurge",5344,[],[],[]
84,"SummonBeesSurge",5345,[],[],[]
85,"CelestialSummonRagingSpiritSurge",5346,[],[],[]
86,"SummonArcaneEyeSurge",5537,[],[],[]
87,"PainSuppressionSurge",5349,[],[],[]
88,"SunSurge",5361,[],[],[]
89,"BloodreapSurge",5418,[],[],[]
90,"IceShotVaalOrbSurge",131,[],[],[]
91,"RighteousFireLightbringerSurge",5454,[],[],[]
92,"ArrowSurgeStygianPuncture",5521,[],[],[]
93,"AbsolutionBlastSurge",5556,"[1,2,3]","[5556,5556,5556]","[""slow"",""medium"",""fast""]"
94,"OverseerSurge",5557,[],[],[]
95,"ScavengerSurge",5558,[],[],[]
96,"BloodTendrilsSurgeTranscendence",5609,[],[],[]
97,"VoidEmperorBladeBurstSurgeEffect",5635,[],[],[]
98,"ManaSurgeMultiSpeed",5644,"[1,2,3]","[5644,5644,5644]","[""slow"",""medium"",""fast""]"
99,"ColdSnapOverseerSurge",5653,[],[],[]
100,"VortexSurgeMyrmidon",5670,[],[],[]
101,"ArrowSurgeFireMystic",5680,[],[],[]
102,"StormCultistLightningSurge",5721,[],[],[]
103,"EyeOfWinterCelestialSurge",5751,[],[],[]
